algorithm,budget,coverage,cost_per_coverage,time
greedy,440,55,7.90909,10
random,440,43,10.2326,0
bad_greedy,440,41,10.3415,0
k=1,440,55,7.90909,613
k=2,440,55,7.90909,18146
dynamic,280,53,5.28302,211
greedy,280,53,5.22642,9
random,280,37,7.43243,0
bad_greedy,280,43,6.48837,0
k=1,280,53,5.22642,576
k=2,280,53,5.22642,16400
dynamic,280,49,5.71429,1081
greedy,280,49,5.44898,10
random,280,36,7.75,0
bad_greedy,280,40,6.5,0
k=1,280,49,5.34694,601
k=2,280,49,5.34694,18121
dynamic,280,52,5.38462,380
greedy,280,52,5.17308,11
random,280,39,7.15385,0
bad_greedy,280,40,6.675,0
k=1,280,52,5.11538,632
k=2,280,52,5.09615,20890
dynamic,280,56,5,871
greedy,280,56,4.66071,11
random,280,38,7.31579,0
bad_greedy,280,46,6.02174,0
k=1,280,56,4.66071,703
k=2,280,56,4.66071,17472
dynamic,280,51,5.45098,272
greedy,280,50,5.54,10
random,280,31,9,0
bad_greedy,280,39,6.84615,0
k=1,280,50,5.54,609
k=2,280,50,5.54,18464
dynamic,440,58,7.58621,532
greedy,440,58,6.93103,11
random,440,45,9.75556,0
bad_greedy,440,45,9.28889,0
k=1,440,58,6.93103,616
k=2,440,58,6.93103,18546
dynamic,440,58,7.56897,832
greedy,440,58,7.13793,11
random,440,40,10.95,0
bad_greedy,440,49,8.65306,0
k=1,440,58,7.13793,673
k=2,440,58,7.13793,19869
dynamic,440,60,7.26667,24048
greedy,440,59,6.89831,12
random,440,41,10.6829,0
bad_greedy,440,45,9.17778,0
k=1,440,59,6.89831,709
k=2,440,59,6.89831,21731
dynamic,440,60,7.26667,5686
greedy,440,59,7.11864,12
random,440,40,10.975,0
bad_greedy,440,46,9.5,0
k=1,440,59,7.11864,724
k=2,440,59,7.11864,21915
dynamic,440,57,7.7193,541
greedy,440,56,7.64286,10
random,440,40,10.975,0
bad_greedy,440,44,9.5,0
k=1,440,56,7.60714,554
k=2,440,56,7.60714,16776
dynamic,280,54,5.18519,788
greedy,280,54,5.18519,10
random,280,24,11.5833,0
bad_greedy,280,38,7.13158,0
k=1,280,54,5.18519,569
k=2,280,54,5.18519,17352
dynamic,280,55,5.07273,1530
greedy,280,54,4.85185,10
random,280,33,8.48485,0
bad_greedy,280,41,6.34146,0
k=1,280,54,4.85185,605
k=2,280,54,4.85185,18602
dynamic,280,53,5.28302,557
greedy,280,53,5,10
random,280,31,9.03226,0
bad_greedy,280,43,6.34884,0
k=1,280,53,5,566
k=2,280,53,5,17356
dynamic,280,53,5.28302,355
greedy,280,52,5.25,9
random,280,38,7.36842,0
bad_greedy,280,35,7.88571,0
k=1,280,52,5.25,575
k=2,280,52,5.23077,16881
dynamic,280,52,5.36538,212
greedy,280,51,5.17647,10
random,280,43,6.46512,0
bad_greedy,280,35,7.45714,0
k=1,280,51,5.13725,597
k=2,280,51,5.13725,17869
dynamic,520,59,8.79661,54970
greedy,520,59,8.66102,12
random,520,43,12.093,0
bad_greedy,520,48,10.7917,0
k=1,520,59,8.61017,659
k=2,520,59,8.61017,20043
dynamic,520,60,8.65,6600
greedy,520,60,6.73333,11
random,520,47,11,0
bad_greedy,520,50,9.88,0
k=1,520,60,6.73333,633
k=2,520,60,6.73333,19276
dynamic,520,60,6.78333,922
greedy,520,60,6.15,11
random,520,46,11.2826,0
bad_greedy,520,46,10.7391,0
k=1,520,60,6.15,643
k=2,520,60,6.15,19151
dynamic,520,59,8.81356,1714
greedy,520,59,8.37288,12
random,520,40,13,0
bad_greedy,520,50,9.94,0
k=1,520,59,8.33898,641
k=2,520,59,8.33898,20159
dynamic,520,60,8.63333,2151
greedy,520,60,7.85,12
random,520,45,11.5556,0
bad_greedy,520,48,10.4792,0
k=1,520,60,7.85,726
k=2,520,60,7.85,22564
dynamic,520,59,8.81356,880
greedy,520,58,8.44828,12
random,520,48,10.7917,0
bad_greedy,520,42,12.0714,0
k=1,520,58,8.41379,656
k=2,520,58,8.41379,19999
dynamic,520,60,8.66667,778
greedy,520,59,7.55932,10
random,520,49,10.5918,0
bad_greedy,520,45,10.9111,0
k=1,520,59,7.55932,606
k=2,520,59,7.55932,18324
dynamic,520,59,8.81356,6739
greedy,520,59,8.55932,12
random,520,41,12.6829,0
