algorithm,coverage,time,coverage per budget
greedy,25,1,17.28
dynamic,29,509,15.2759
brute_force,29,4010,14.8276
greedy,28,1,14.8929
dynamic,28,304,15.9286
brute_force,28,1503,15.3571
greedy,26,1,17.0769
dynamic,30,627,14.8333
brute_force,30,2459,13.8667
greedy,29,1,14.9655
dynamic,27,178,16.4444
brute_force,27,1756,16.4444
greedy,25,1,17
dynamic,29,643,15.5172
brute_force,29,1385,14.6552
greedy,28,1,14.3929
dynamic,28,301,15.9643
brute_force,28,2190,14.9643
greedy,26,1,17
dynamic,27,217,16.5185
brute_force,27,1767,15.5926
greedy,25,1,16.52
dynamic,29,333,14.7241
brute_force,29,1081,14.7241
greedy,28,1,14.7857
dynamic,26,168,16.6923
brute_force,26,2644,15.6154
greedy,24,1,17.5833
dynamic,28,1343,15.9643
brute_force,28,3248,14.7143
greedy,26,1,17.1923
dynamic,28,615,15.7857
brute_force,28,2308,15.2143
greedy,25,1,16.8
dynamic,26,434,17.1538
brute_force,26,1015,15.4231
greedy,24,0,17.7083
dynamic,29,457,15.5172
brute_force,29,13083,15.5172
greedy,26,1,17.2308
dynamic,28,316,16.0714
brute_force,28,2700,15.2857
greedy,26,1,16.3462
dynamic,27,551,16.4444
brute_force,27,5560,14.7778
greedy,26,1,15.8077
dynamic,27,242,16.6296
brute_force,27,608,15.7407
greedy,26,1,17.0385
dynamic,28,566,15.8214
brute_force,28,3768,15.25
greedy,26,1,16.6923
dynamic,29,353,15.4828
brute_force,29,1261,13.7931
greedy,27,1,15.2593
dynamic,28,488,15.9643
brute_force,28,1371,14.7857
greedy,25,0,16.52
dynamic,29,333,15.3448
brute_force,29,1160,14.3103
greedy,28,1,14.4643
dynamic,27,189,16.6667
brute_force,27,1012,14.7037
greedy,27,0,15.3333
dynamic,28,158,15.7857
brute_force,28,1373,13.3929
greedy,28,0,15.3571
dynamic,29,405,14.3448
brute_force,29,1685,13.4828
greedy,28,1,14.2143
dynamic,29,646,15.3103
brute_force,29,5656,14.2069
greedy,28,1,15.0714
dynamic,30,397,14.1667
brute_force,30,1938,14.1667
greedy,28,0,15.7857
dynamic,24,447,18.75
brute_force,24,963,16.2083
greedy,23,1,18.6522
dynamic,28,363,15.8571
brute_force,28,1185,14.2143
greedy,26,0,15.9615
dynamic,30,382,14.9333
brute_force,30,6665,14.7333
greedy,28,1,15.8571
dynamic,28,548,15.9643
brute_force,28,1264,14.3214
greedy,27,0,15.2963
dynamic,27,335,16.037
brute_force,27,1928,14.5926
greedy,25,1,16.76
dynamic,30,310,14.9333
brute_force,30,4984,14.5
greedy,28,1,14.25
dynamic,29,270,14.7931
brute_force,29,7657,13.9655
greedy,28,1,14.8571
dynamic,24,202,18.75
brute_force,24,1142,17.5833
greedy,23,1,19.087
dynamic,29,943,15.3103
brute_force,29,4781,15.2414
greedy,28,1,14.8571
dynamic,28,946,15.9286
brute_force,28,1750,14.6786
greedy,27,1,15.6296
dynamic,27,335,16.0741
brute_force,27,1312,14.9259
greedy,25,1,16.64
dynamic,26,140,16.8846
brute_force,26,491,16.1923
greedy,24,0,17.125
dynamic,24,279,18.0833
brute_force,24,387,18.0833
greedy,22,0,19.9091
dynamic,28,208,16.0714
brute_force,28,683,16.0714
greedy,26,0,15.7692
dynamic,27,275,16.2593
brute_force,27,1715,15.4444
greedy,25,1,17.92
dynamic,30,562,14.3333
brute_force,30,2703,14.3
greedy,27,1,14.8519
dynamic,25,153,17.92
brute_force,25,1930,16.48
greedy,24,1,17.5833
dynamic,28,777,15.8929
brute_force,28,918,15.8929
greedy,26,1,17.1538
dynamic,28,325,15.7857
brute_force,28,1625,15.4286
greedy,26,1,15.4615
dynamic,25,674,18
brute_force,25,1581,16.36
greedy,24,1,17.6667
dynamic,26,678,17.2308
brute_force,26,1024,14.7692
greedy,24,1,18.2917
dynamic,27,325,16
brute_force,27,953,15.2222
greedy,25,0,17.88
dynamic,25,575,17.44
brute_force,25,823,17.44
greedy,24,0,18.25
dynamic,24,530,18.5
brute_force,24,967,17.25
greedy,23,1,18.3478
dynamic,29,109,15.3793
brute_force,29,2108,15.3793
greedy,27,1,16.4444
dynamic,24,182,18.75
brute_force,24,425,17.75
greedy,22,0,18.8182
dynamic,28,275,15.9286
brute_force,28,1420,14.3929
greedy,26,1,16.1154
dynamic,26,313,17.1923
