k=1,100,8,12.5,4,63
k=2,100,8,12.5,4,2661
greedy,100,100,0.75,1,2
random,100,74,1.35135,1,0
bad_greedy,100,96,1.03125,1,1
k=1,100,100,0.66,1,28
k=2,100,100,0.63,1,1295
greedy,100,38,2.63158,2,2
random,100,18,5.55556,2,0
bad_greedy,100,18,5.55556,2,1
k=1,100,37,2.7027,2,58
k=2,100,36,2.77778,2,2285
greedy,100,100,0.99,3,2
random,100,65,1.53846,3,0
bad_greedy,100,92,1.06522,3,1
k=1,100,100,0.96,3,23
k=2,100,100,0.94,3,1122
greedy,100,12,4.66667,4,2
random,100,2,32.5,4,0
bad_greedy,100,6,9,4,1
k=1,100,12,4.66667,4,56
k=2,100,12,4.66667,4,2368
greedy,100,100,0.85,1,2
random,100,81,1.23457,1,0
bad_greedy,100,92,1.08696,1,1
k=1,100,100,0.83,1,20
k=2,100,100,0.8,1,976
greedy,100,39,2.5641,2,2
random,100,9,11.1111,2,0
bad_greedy,100,11,9.09091,2,2
k=1,100,39,2.5641,2,48
k=2,100,39,2.5641,2,2041
greedy,100,100,0.94,3,2
random,100,67,1.49254,3,0
bad_greedy,100,82,1.18293,3,2
k=1,100,100,0.92,3,23
k=2,100,100,0.9,3,1086
greedy,100,4,12.75,4,2
random,100,4,16,4,0
bad_greedy,100,1,50,4,1
k=1,100,5,13,4,57
k=2,100,5,13,4,2233
greedy,100,100,0.94,1,2
random,100,67,1.47761,1,0
bad_greedy,100,88,1.125,1,1
k=1,100,100,0.9,1,21
k=2,100,100,0.88,1,965
greedy,100,42,2.38095,2,2
random,100,18,5.55556,2,0
bad_greedy,100,15,6.66667,2,1
k=1,100,42,2.38095,2,49
k=2,100,42,2.38095,2,2103
greedy,100,99,1,3,2
random,100,61,1.63934,3,0
bad_greedy,100,83,1.18072,3,1
k=1,100,99,0.979798,3,21
k=2,100,99,0.969697,3,949
greedy,100,9,5.77778,4,3
random,100,5,12.4,4,0
bad_greedy,100,1,52,4,1
k=1,100,9,5.77778,4,61
k=2,100,9,5.77778,4,2357
greedy,100,100,0.7,1,2
random,100,64,1.5625,1,0
bad_greedy,100,97,1,1,1
k=1,100,100,0.66,1,21
k=2,100,100,0.66,1,981
greedy,100,35,2.85714,2,2
random,100,22,4.54545,2,0
bad_greedy,100,13,7.69231,2,1
k=1,100,35,2.85714,2,51
k=2,100,35,2.85714,2,2000
greedy,100,100,0.99,3,2
random,100,69,1.44928,3,0
bad_greedy,100,86,1.13953,3,1
k=1,100,100,0.95,3,20
k=2,100,100,0.93,3,962
greedy,100,5,10.8,4,2
random,100,6,10.8333,4,0
bad_greedy,100,6,16.6667,4,1
k=1,100,6,10.8333,4,57
k=2,100,6,10.8333,4,2311
greedy,100,100,0.84,1,2
random,100,73,1.36986,1,0
bad_greedy,100,91,1.06593,1,1
k=1,100,100,0.81,1,20
k=2,100,100,0.78,1,964
greedy,100,39,2.5641,2,2
random,100,14,7.14286,2,0
bad_greedy,100,20,5,2,1
k=1,100,39,2.5641,2,49
k=2,100,39,2.5641,2,2135
greedy,100,99,1,3,2
random,100,66,1.51515,3,0
bad_greedy,100,85,1.17647,3,1
k=1,100,100,0.96,3,22
k=2,100,100,0.93,3,1087
greedy,100,9,5.77778,4,2
random,100,1,89,4,0
bad_greedy,100,1,51,4,1
k=1,100,9,5.77778,4,57
k=2,100,9,5.77778,4,2236
greedy,100,100,1,1,2
random,100,72,1.375,1,0
bad_greedy,100,87,1.14943,1,1
k=1,100,100,0.97,1,20
k=2,100,100,0.95,1,1117
greedy,100,39,2.5641,2,3
random,100,13,7.69231,2,0
bad_greedy,100,17,5.88235,2,1
k=1,100,38,2.63158,2,53
k=2,100,36,2.77778,2,2167
greedy,100,97,0.979381,3,3
random,100,67,1.49254,3,0
bad_greedy,100,77,1.27273,3,1
k=1,100,98,0.979592,3,20
k=2,100,99,1.0101,3,1525
greedy,100,9,7.33333,4,3
random,100,4,13.25,4,0
bad_greedy,100,3,16.6667,4,1
k=1,100,9,7.33333,4,68
k=2,100,9,7.33333,4,3375
greedy,100,100,0.92,1,4
random,100,68,1.47059,1,0
bad_greedy,100,89,1.1236,1,1
k=1,100,100,0.83,1,21
k=2,100,100,0.81,1,1193
greedy,100,34,2.94118,2,2
random,100,23,4.34783,2,0
bad_greedy,100,23,4.34783,2,1
k=1,100,34,2.94118,2,52
k=2,100,34,2.94118,2,2936
greedy,100,96,1,3,2
random,100,61,1.63934,3,0
bad_greedy,100,76,1.28947,3,1
k=1,100,97,1.03093,3,36
k=2,100,97,1,3,1639
greedy,100,7,7.85714,4,4
random,100,2,33,4,0
bad_greedy,100,4,13,4,2
k=1,100,7,7.85714,4,83
k=2,100,7,7.85714,4,3292
greedy,100,100,0.83,1,3
random,100,70,1.42857,1,0
bad_greedy,100,91,1.07692,1,1
k=1,100,100,0.78,1,18
k=2,100,100,0.78,1,1234
greedy,100,37,2.7027,2,7
random,100,17,5.88235,2,0
bad_greedy,100,14,7.14286,2,2
k=1,100,36,2.77778,2,79
k=2,100,34,2.94118,2,3146
greedy,100,95,1.02105,3,3
random,100,46,2.15217,3,0
bad_greedy,100,73,1.36986,3,1
k=1,100,96,1.04167,3,38
k=2,100,96,1.02083,3,1409
greedy,100,8,6.625,4,4
random,100,2,25.5,4,0
bad_greedy,100,6,8.33333,4,1
k=1,100,8,6.625,4,81
k=2,100,8,6.625,4,2756
greedy,100,100,0.86,1,2
random,100,80,1.25,1,0
bad_greedy,100,87,1.14943,1,1
k=1,100,100,0.8,1,22
k=2,100,100,0.8,1,1110
greedy,100,46,2.17391,2,3
random,100,26,3.84615,2,0
bad_greedy,100,30,3.33333,2,1
k=1,100,46,2.17391,2,52
k=2,100,45,2.22222,2,2342
greedy,100,99,0.949495,3,2
random,100,65,1.53846,3,0
bad_greedy,100,82,1.19512,3,1
k=1,100,99,0.939394,3,23
k=2,100,99,0.939394,3,1337
greedy,100,6,8.33333,4,2
random,100,2,31,4,0
bad_greedy,100,6,8.33333,4,1
k=1,100,6,8.33333,4,58
