greedy,100,100,0.75,1,2
random,100,68,1.47059,1,0
bad_greedy,100,92,1.07609,1,1
k=1,100,100,0.71,1,19
k=2,100,100,0.7,1,931
greedy,100,37,2.7027,2,2
random,100,20,5,2,0
bad_greedy,100,22,4.54545,2,1
k=1,100,37,2.7027,2,52
k=2,100,36,2.77778,2,2615
greedy,100,99,0.959596,3,5
random,100,70,1.42857,3,0
bad_greedy,100,85,1.14118,3,3
k=1,100,100,1,3,44
k=2,100,100,0.99,3,1438
greedy,100,14,7.14286,4,3
random,100,7,9.57143,4,0
bad_greedy,100,11,9.09091,4,1
k=1,100,14,7.14286,4,61
k=2,100,14,7.14286,4,2644
greedy,100,100,0.86,1,2
random,100,66,1.5,1,0
bad_greedy,100,94,1.05319,1,1
k=1,100,100,0.81,1,18
k=2,100,100,0.79,1,938
greedy,100,35,2.85714,2,2
random,100,23,4.34783,2,0
bad_greedy,100,17,5.88235,2,1
k=1,100,35,2.85714,2,49
k=2,100,35,2.85714,2,2136
greedy,100,95,1,3,2
random,100,69,1.44928,3,0
bad_greedy,100,84,1.15476,3,1
k=1,100,96,1.03125,3,24
k=2,100,96,1.02083,3,1542
greedy,100,9,5.66667,4,3
random,100,9,8.88889,4,0
bad_greedy,100,1,50,4,1
k=1,100,9,5.66667,4,75
k=2,100,9,5.66667,4,3503
greedy,100,100,0.9,1,5
random,100,64,1.5625,1,0
bad_greedy,100,87,1.11494,1,4
k=1,100,100,0.88,1,29
k=2,100,100,0.86,1,1266
greedy,100,38,2.63158,2,2
random,100,16,6.25,2,0
bad_greedy,100,15,6.66667,2,1
k=1,100,38,2.63158,2,60
k=2,100,37,2.7027,2,2911
greedy,100,90,1.08889,3,3
random,100,57,1.75439,3,0
bad_greedy,100,73,1.36986,3,1
k=1,100,91,1.08791,3,28
k=2,100,91,1.06593,3,1419
greedy,100,5,11,4,2
random,100,2,25,4,0
bad_greedy,100,5,20,4,1
k=1,100,5,11,4,93
k=2,100,6,11.8333,4,2320
greedy,100,99,1,1,2
random,100,68,1.45588,1,0
bad_greedy,100,79,1.25316,1,1
k=1,100,100,1,1,38
k=2,100,100,0.98,1,1403
greedy,100,38,2.63158,2,2
random,100,18,5.55556,2,0
bad_greedy,100,21,4.7619,2,1
k=1,100,38,2.63158,2,53
k=2,100,38,2.63158,2,2446
greedy,100,98,1,3,2
random,100,56,1.76786,3,0
bad_greedy,100,82,1.19512,3,1
k=1,100,98,0.969388,3,22
k=2,100,98,0.959184,3,1106
greedy,100,9,5.66667,4,2
random,100,5,20,4,0
