algorithm,budget,coverage,cost per coverage unit
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,5,3
brute_force,20,5,3
greedy,20,5,3
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,9,2.22222
brute_force,20,9,2.22222
greedy,20,5,2
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.75
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,5,2.4
brute_force,20,5,2.4
greedy,20,5,2.4
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,3,4.33333
brute_force,20,3,4.33333
greedy,20,3,4.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,4.25
brute_force,20,4,3.5
greedy,20,3,3.33333
dynamic,20,4,3.75
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,3,4.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,3,4.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,5,2.8
brute_force,20,5,2.8
greedy,20,5,2.8
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,6,2.83333
brute_force,20,6,2.83333
greedy,20,6,2.83333
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,4,3.75
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,10,2
brute_force,20,10,2
greedy,20,7,1.42857
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,3.5
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,3.6
brute_force,20,5,3.6
greedy,20,3,3.33333
dynamic,20,6,2.16667
brute_force,20,6,2.16667
greedy,20,6,2.16667
dynamic,20,5,4
brute_force,20,5,4
greedy,20,2,8
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,4,5
brute_force,20,4,5
greedy,20,3,3.33333
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,5
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,2,6.5
brute_force,20,2,6.5
greedy,20,2,6.5
dynamic,20,6,3
brute_force,20,6,3
greedy,20,6,3
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,4
brute_force,20,4,4
greedy,20,4,4
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,6,3
brute_force,20,6,3
greedy,20,6,3
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,4,3.5
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,4,3.75
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,3,3.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,6,3.16667
brute_force,20,6,3.16667
greedy,20,4,2.75
dynamic,20,4,4.75
brute_force,20,4,4.75
greedy,20,3,4.33333
dynamic,20,9,2.22222
brute_force,20,9,2.22222
greedy,20,5,2
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,4,3.75
dynamic,20,4,4
brute_force,20,4,4
greedy,20,3,3.33333
dynamic,20,6,1.66667
brute_force,20,6,1.66667
greedy,20,6,1.66667
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,3,5
brute_force,20,3,5
greedy,20,2,5
dynamic,20,10,2
brute_force,20,10,2
greedy,20,5,2
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,3,6.66667
brute_force,20,3,3.66667
greedy,20,3,3.66667
dynamic,20,7,2.14286
brute_force,20,7,2.14286
greedy,20,7,2.14286
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,3,6.66667
brute_force,20,3,6.66667
greedy,20,2,5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,5,2
dynamic,20,3,6.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,3,5.33333
brute_force,20,3,5.33333
greedy,20,2,5
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,4,3.25
brute_force,20,4,3.25
greedy,20,4,3.25
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,5,3.2
brute_force,20,5,3.2
greedy,20,5,3.2
dynamic,20,6,3.16667
brute_force,20,6,3.16667
greedy,20,6,3.16667
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,3,6.66667
brute_force,20,3,6.66667
greedy,20,2,5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,4,4.5
brute_force,20,4,4.5
greedy,20,4,4.5
dynamic,20,5,3.6
brute_force,20,5,3.6
greedy,20,5,3.6
dynamic,20,5,3.4
brute_force,20,5,3.4
greedy,20,4,2.5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,7,2.28571
brute_force,20,7,2.28571
greedy,20,6,1.66667
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,3,3.66667
brute_force,20,3,3.66667
greedy,20,3,3.66667
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,3.25
dynamic,20,4,3.5
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,5,2.8
brute_force,20,5,2.6
greedy,20,4,2.5
dynamic,20,6,1.83333
brute_force,20,6,1.83333
greedy,20,6,1.83333
dynamic,20,5,3.2
brute_force,20,5,3.2
greedy,20,5,3.2
dynamic,20,7,1.42857
brute_force,20,7,1.42857
greedy,20,7,1.42857
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,5,2.6
brute_force,20,5,2.6
greedy,20,4,2.5
dynamic,20,3,6.66667
brute_force,20,3,5.33333
greedy,20,3,5.33333
dynamic,20,5,3.6
brute_force,20,5,3.6
greedy,20,5,3.6
dynamic,20,4,5
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,4,5
brute_force,20,4,5
greedy,20,3,3.33333
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,5,3
brute_force,20,5,3
greedy,20,5,3
dynamic,20,6,1.66667
brute_force,20,6,1.66667
greedy,20,6,1.66667
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,3,4.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,3,4
brute_force,20,3,4
greedy,20,3,4
dynamic,20,1,10
brute_force,20,1,10
greedy,20,1,10
dynamic,20,8,2.5
brute_force,20,8,2.5
greedy,20,5,2
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.75
dynamic,20,4,3.25
brute_force,20,4,3.25
greedy,20,4,3.25
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,6,1.83333
brute_force,20,6,1.83333
greedy,20,6,1.83333
dynamic,20,9,2.22222
brute_force,20,9,2.22222
greedy,20,5,2
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,4,4
brute_force,20,4,4
greedy,20,3,4
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,4,4.5
brute_force,20,4,4.5
greedy,20,4,4.5
dynamic,20,6,3
brute_force,20,6,3
greedy,20,6,3
dynamic,20,6,1.83333
brute_force,20,6,1.83333
greedy,20,6,1.83333
dynamic,20,3,4.33333
brute_force,20,3,4.33333
greedy,20,3,4.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,5,3
brute_force,20,5,3
greedy,20,5,3
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,5,3.6
brute_force,20,5,3.6
greedy,20,5,3.6
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,4,3.5
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,5,3
brute_force,20,5,3
greedy,20,4,2.5
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,4,4.75
brute_force,20,4,4.75
greedy,20,4,4.75
dynamic,20,5,3.6
brute_force,20,5,3.6
greedy,20,4,2.5
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,7,2.57143
brute_force,20,7,2.57143
greedy,20,7,2.57143
dynamic,20,3,5
brute_force,20,3,5
greedy,20,3,5
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,8,2.5
brute_force,20,8,2.5
greedy,20,6,1.66667
dynamic,20,5,2.8
brute_force,20,5,2.8
greedy,20,4,2.75
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,4,3.75
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,5,4
brute_force,20,5,4
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,3,6.66667
brute_force,20,3,6.66667
greedy,20,2,5
dynamic,20,3,6.66667
brute_force,20,3,6.66667
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,5,2.6
brute_force,20,5,2.6
greedy,20,5,2.6
dynamic,20,9,2.22222
brute_force,20,9,2.22222
greedy,20,7,1.42857
dynamic,20,4,3.25
brute_force,20,4,3.25
greedy,20,4,3.25
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,5,2
dynamic,20,4,3.5
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,3,5.66667
brute_force,20,3,5.66667
greedy,20,2,5
dynamic,20,5,2.8
brute_force,20,5,2.8
greedy,20,4,2.5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,3,3.33333
dynamic,20,3,6.66667
brute_force,20,3,6.66667
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,3,3.33333
dynamic,20,2,6.5
brute_force,20,2,6.5
greedy,20,2,6.5
dynamic,20,4,5
brute_force,20,4,5
greedy,20,3,3.33333
dynamic,20,4,4
brute_force,20,4,4
greedy,20,4,4
dynamic,20,5,2.6
brute_force,20,5,2.6
greedy,20,5,2.6
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,2,5
brute_force,20,2,5
greedy,20,2,5
dynamic,20,2,5.5
brute_force,20,2,5.5
greedy,20,2,5.5
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,5
brute_force,20,4,4.75
greedy,20,3,3.33333
dynamic,20,3,5.66667
brute_force,20,3,5.66667
greedy,20,2,5
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,4,5
brute_force,20,4,4
greedy,20,4,4
dynamic,20,6,1.66667
brute_force,20,6,1.66667
greedy,20,6,1.66667
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,4.25
brute_force,20,4,4.25
greedy,20,4,4.25
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,11,3.09091
brute_force,40,11,3.09091
greedy,40,11,3.09091
dynamic,40,10,4
brute_force,40,10,4
greedy,40,9,4
dynamic,40,11,3.54545
brute_force,40,11,3.54545
greedy,40,11,3.54545
dynamic,40,6,5.16667
brute_force,40,6,5
greedy,40,6,5
dynamic,40,7,5.14286
brute_force,40,7,5.14286
greedy,40,6,6.33333
dynamic,40,13,3
brute_force,40,13,3
greedy,40,12,3
dynamic,40,9,3.77778
brute_force,40,9,3.77778
greedy,40,9,3.77778
dynamic,40,11,3
brute_force,40,11,3
greedy,40,11,3
dynamic,40,11,2.81818
brute_force,40,11,2.81818
greedy,40,11,2.81818
dynamic,40,9,3.55556
brute_force,40,9,3.55556
greedy,40,8,2.75
dynamic,40,10,3.5
brute_force,40,10,3.5
greedy,40,10,3.5
dynamic,40,6,4
brute_force,40,6,4
greedy,40,6,4
dynamic,40,10,3.5
brute_force,40,10,3.5
greedy,40,9,3.77778
dynamic,40,8,4.125
brute_force,40,8,4.125
greedy,40,8,4.125
dynamic,40,8,4.75
brute_force,40,8,4.75
greedy,40,8,4.75
dynamic,40,10,3.7
brute_force,40,10,3.7
greedy,40,7,5.28571
dynamic,40,10,3.6
brute_force,40,10,3.6
greedy,40,10,3.6
dynamic,40,10,3.8
brute_force,40,10,3.8
greedy,40,10,3.8
dynamic,40,7,5.14286
brute_force,40,7,5.14286
greedy,40,7,5.14286
dynamic,40,8,5
brute_force,40,8,4.5
greedy,40,8,4.5
dynamic,40,7,5
brute_force,40,7,5
greedy,40,7,5
dynamic,40,12,3.25
brute_force,40,12,3.25
greedy,40,12,3.25
dynamic,40,6,5.16667
brute_force,40,6,5.16667
greedy,40,5,4.6
dynamic,40,6,5.66667
brute_force,40,6,5.66667
greedy,40,6,5.66667
dynamic,40,10,3.7
brute_force,40,10,3.7
greedy,40,10,3.7
dynamic,40,7,4.42857
brute_force,40,7,4.42857
greedy,40,7,4.42857
dynamic,40,9,4
brute_force,40,9,4
greedy,40,9,4
dynamic,40,10,3.9
brute_force,40,10,3.9
greedy,40,10,3.9
dynamic,40,10,3.6
brute_force,40,10,3.6
greedy,40,9,4.11111
dynamic,40,8,4.75
brute_force,40,8,4.75
greedy,40,8,4.75
dynamic,40,8,4
brute_force,40,8,4
greedy,40,8,4
dynamic,40,12,3.16667
brute_force,40,12,3.16667
greedy,40,12,3.16667
dynamic,40,9,4
brute_force,40,9,4
greedy,40,7,2.85714
dynamic,40,11,3.36364
brute_force,40,11,3.36364
greedy,40,11,3.36364
dynamic,40,6,6.16667
brute_force,40,6,6.16667
greedy,40,6,6.33333
dynamic,40,10,3.8
brute_force,40,10,3.6
greedy,40,10,3.6
dynamic,40,8,4.625
brute_force,40,8,4.625
greedy,40,8,4.75
dynamic,40,9,3.77778
brute_force,40,9,3.55556
greedy,40,9,4.33333
dynamic,40,8,4.875
brute_force,40,8,4.75
greedy,40,8,4.875
dynamic,40,8,5
brute_force,40,8,5
greedy,40,6,5
dynamic,40,9,3.77778
brute_force,40,9,3.77778
greedy,40,9,3.77778
dynamic,40,9,3.88889
brute_force,40,9,3.88889
greedy,40,8,4.125
dynamic,40,8,5
brute_force,40,8,5
greedy,40,6,3.33333
dynamic,40,13,2.92308
brute_force,40,13,2.84615
greedy,40,12,2.5
dynamic,40,10,3.7
brute_force,40,10,3.6
greedy,40,10,3.6
dynamic,40,10,3.5
brute_force,40,10,3.3
greedy,40,10,3.3
dynamic,40,8,3.5
brute_force,40,8,3.5
greedy,40,8,3.5
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,8,5
brute_force,40,8,5
greedy,40,7,5.14286
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,7,5.57143
brute_force,40,7,5.57143
greedy,40,7,5.57143
dynamic,40,6,5
brute_force,40,6,5
greedy,40,6,5
dynamic,40,9,4
brute_force,40,9,4
greedy,40,8,3.875
dynamic,40,5,7.8
brute_force,40,5,7.8
greedy,40,4,8.75
dynamic,40,9,3.11111
brute_force,40,9,3.11111
greedy,40,9,3.11111
dynamic,40,9,3.44444
brute_force,40,9,3.44444
greedy,40,9,3.44444
dynamic,40,9,4.11111
brute_force,40,9,4.11111
greedy,40,9,4.11111
dynamic,40,9,4.22222
brute_force,40,9,4.22222
greedy,40,9,4.22222
dynamic,40,10,3.8
brute_force,40,10,3.8
greedy,40,10,3.8
dynamic,40,10,3.9
brute_force,40,10,3.9
greedy,40,10,3.9
dynamic,40,10,3.6
brute_force,40,10,3.6
greedy,40,10,3.6
dynamic,40,8,4.5
brute_force,40,8,4.5
greedy,40,8,4.5
dynamic,40,7,5.71429
brute_force,40,7,5.71429
greedy,40,6,4.16667
dynamic,40,8,4.75
brute_force,40,8,4.75
greedy,40,6,4.16667
dynamic,40,8,4.875
brute_force,40,8,4.875
greedy,40,7,5.14286
dynamic,40,6,3.33333
brute_force,40,6,3.33333
greedy,40,6,3.33333
dynamic,40,6,5.33333
brute_force,40,6,5.33333
greedy,40,6,5.33333
dynamic,40,10,4
brute_force,40,10,4
greedy,40,9,3.33333
dynamic,40,7,4.57143
brute_force,40,7,4.57143
greedy,40,7,4.57143
dynamic,40,11,3.63636
brute_force,40,11,3.63636
greedy,40,9,2.22222
dynamic,40,7,5.71429
brute_force,40,7,4.85714
greedy,40,7,4.85714
dynamic,40,10,3.7
brute_force,40,10,3.7
greedy,40,10,3.7
dynamic,40,11,3.45455
brute_force,40,11,3.45455
greedy,40,10,3.1
dynamic,40,10,3.2
brute_force,40,10,3.2
greedy,40,10,3.2
dynamic,40,8,5
brute_force,40,8,4.5
greedy,40,8,4.5
dynamic,40,7,5.57143
brute_force,40,7,5.57143
greedy,40,5,5
dynamic,40,12,2.66667
brute_force,40,12,2.66667
greedy,40,12,2.66667
dynamic,40,7,5
brute_force,40,7,5
greedy,40,7,5
dynamic,40,8,4.875
brute_force,40,8,4.875
greedy,40,8,4.875
dynamic,40,6,5.16667
brute_force,40,6,5.16667
greedy,40,6,5.16667
dynamic,40,10,3.5
brute_force,40,10,3.5
greedy,40,10,3.7
dynamic,40,8,4.25
brute_force,40,8,4.25
greedy,40,8,4.25
dynamic,40,7,5.71429
brute_force,40,7,5.71429
greedy,40,6,5.16667
dynamic,40,11,3.18182
brute_force,40,11,3.18182
greedy,40,11,3.18182
dynamic,40,7,5.71429
brute_force,40,7,5.71429
greedy,40,6,5.66667
dynamic,40,7,5.42857
brute_force,40,7,5.42857
greedy,40,5,5.2
dynamic,40,9,4.11111
brute_force,40,9,4.11111
greedy,40,9,4.11111
dynamic,40,7,4.57143
brute_force,40,7,4.57143
greedy,40,7,4.57143
dynamic,40,8,4
brute_force,40,8,4
greedy,40,8,4
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,11,3.54545
brute_force,40,11,3
greedy,40,11,3
dynamic,40,10,3.9
brute_force,40,10,3.9
greedy,40,10,3.9
dynamic,40,11,3.63636
brute_force,40,11,3.63636
greedy,40,9,3.33333
dynamic,40,10,4
brute_force,40,10,4
greedy,40,8,3.75
dynamic,40,6,6.16667
brute_force,40,6,6.16667
greedy,40,5,6
dynamic,40,10,3.7
brute_force,40,10,3.7
greedy,40,10,3.7
dynamic,40,6,5.83333
brute_force,40,6,4.66667
greedy,40,6,4.66667
dynamic,40,7,4.71429
brute_force,40,7,4
greedy,40,7,4
dynamic,40,9,4.22222
brute_force,40,9,3
greedy,40,9,3
dynamic,40,12,3.25
brute_force,40,12,3.25
greedy,40,11,3.18182
dynamic,40,11,3.36364
brute_force,40,11,3.36364
greedy,40,9,4.11111
dynamic,40,9,4
brute_force,40,9,4
greedy,40,9,4
dynamic,40,8,4
brute_force,40,8,4
greedy,40,8,4
dynamic,40,10,3.8
brute_force,40,10,3.3
greedy,40,10,3.3
dynamic,40,8,4.75
brute_force,40,8,4.75
greedy,40,7,4.28571
dynamic,40,10,4
brute_force,40,10,4
greedy,40,7,4.57143
dynamic,40,9,4.44444
brute_force,40,9,4.44444
greedy,40,8,3.75
dynamic,40,13,3.07692
brute_force,40,13,3.07692
greedy,40,12,3
dynamic,40,11,3.45455
brute_force,40,11,3.45455
greedy,40,11,3.45455
dynamic,40,9,4.33333
brute_force,40,9,3.44444
greedy,40,9,3.44444
dynamic,40,9,3.66667
brute_force,40,9,2.66667
greedy,40,9,2.66667
dynamic,40,11,3.27273
brute_force,40,11,3.27273
greedy,40,11,3.27273
dynamic,40,8,4.875
brute_force,40,8,4.875
greedy,40,8,4.875
dynamic,40,5,7.8
brute_force,40,5,7.8
greedy,40,5,7.8
dynamic,40,9,2.55556
brute_force,40,9,2.55556
greedy,40,9,2.55556
dynamic,40,6,6
brute_force,40,6,6
greedy,40,6,6
dynamic,40,9,4.22222
brute_force,40,9,4.22222
greedy,40,8,4
dynamic,40,8,4
brute_force,40,8,4
greedy,40,8,4
dynamic,40,7,5.14286
brute_force,40,7,5.14286
greedy,40,5,4
dynamic,40,7,5.71429
brute_force,40,7,5.14286
greedy,40,6,4.33333
dynamic,40,6,3.66667
brute_force,40,6,3.66667
greedy,40,6,6.33333
dynamic,40,8,3.125
brute_force,40,8,3.125
greedy,40,8,3.125
dynamic,40,9,4.11111
brute_force,40,9,4.11111
greedy,40,8,3
dynamic,40,4,8
brute_force,40,4,7.25
greedy,40,4,7.25
dynamic,40,7,5.57143
brute_force,40,7,5.57143
greedy,40,6,6.33333
dynamic,40,9,3.88889
brute_force,40,9,3.88889
greedy,40,9,3.88889
dynamic,40,5,7.8
brute_force,40,5,7.8
greedy,40,5,7.8
dynamic,40,12,3.08333
brute_force,40,12,3.08333
greedy,40,12,3.08333
dynamic,40,9,3.44444
brute_force,40,9,3.44444
greedy,40,9,3.44444
dynamic,40,8,4.125
brute_force,40,8,4.125
greedy,40,8,4.125
dynamic,40,6,5.16667
brute_force,40,6,5.16667
greedy,40,6,5.16667
dynamic,40,8,5
brute_force,40,8,5
greedy,40,7,4.28571
dynamic,40,11,2.81818
brute_force,40,11,2.81818
greedy,40,11,2.81818
dynamic,40,14,2.64286
brute_force,40,14,2.64286
greedy,40,12,2.5
dynamic,40,8,4.75
brute_force,40,8,4.75
greedy,40,8,4.75
dynamic,40,7,4.71429
brute_force,40,7,3.57143
greedy,40,7,3.57143
dynamic,40,9,4.22222
brute_force,40,9,4.22222
greedy,40,9,4.22222
dynamic,40,8,4.125
brute_force,40,8,4.125
greedy,40,8,4.75
dynamic,40,8,5
brute_force,40,8,4.75
greedy,40,6,4.66667
dynamic,40,9,4
brute_force,40,9,4
greedy,40,9,4.22222
dynamic,40,11,2.90909
brute_force,40,11,2.81818
greedy,40,11,2.81818
dynamic,40,6,6.66667
brute_force,40,6,6.66667
greedy,40,5,4.6
dynamic,40,6,5
brute_force,40,6,5
greedy,40,6,5
dynamic,40,8,3.125
brute_force,40,8,3.125
greedy,40,8,3.125
dynamic,40,7,5.14286
brute_force,40,7,2.85714
greedy,40,7,4.57143
dynamic,40,7,5.42857
brute_force,40,7,5
greedy,40,5,5
dynamic,40,7,4.42857
brute_force,40,7,4.42857
greedy,40,7,4.42857
dynamic,40,8,4.875
brute_force,40,8,4.875
greedy,40,7,3
dynamic,40,8,4.25
brute_force,40,8,4.25
greedy,40,8,4.25
dynamic,40,9,2.77778
brute_force,40,9,2.77778
greedy,40,9,2.77778
dynamic,40,10,3.5
brute_force,40,10,3.5
greedy,40,10,3.5
dynamic,40,9,4.44444
brute_force,40,9,4.44444
greedy,40,6,3.83333
dynamic,40,6,6
brute_force,40,6,6
greedy,40,6,6
dynamic,40,7,5.42857
brute_force,40,7,5.28571
greedy,40,6,4.83333
dynamic,40,12,3.33333
brute_force,40,12,3.33333
greedy,40,11,3.18182
dynamic,40,9,4.44444
brute_force,40,9,4.44444
greedy,40,7,5.28571
dynamic,40,10,3.7
brute_force,40,10,3.7
greedy,40,10,3.7
dynamic,40,4,6.25
brute_force,40,4,6.25
greedy,40,4,6.25
dynamic,40,11,3
brute_force,40,11,3
greedy,40,11,3
dynamic,40,10,3
brute_force,40,10,3
greedy,40,10,3
dynamic,40,8,3
brute_force,40,8,3
greedy,40,8,4.375
dynamic,40,7,5.28571
brute_force,40,7,5
greedy,40,7,5
dynamic,40,9,4.33333
brute_force,40,9,4.33333
greedy,40,9,4.33333
dynamic,40,9,4.44444
brute_force,40,9,4.44444
greedy,40,7,4.28571
dynamic,40,8,5
brute_force,40,8,4.875
greedy,40,8,4.875
dynamic,40,6,6.66667
brute_force,40,6,6.66667
greedy,40,5,6.4
dynamic,40,5,7.8
brute_force,40,5,7.8
greedy,40,5,7.8
dynamic,40,8,5
brute_force,40,8,5
greedy,40,6,5.16667
dynamic,40,10,3.4
brute_force,40,10,3.4
greedy,40,10,3.4
dynamic,40,12,2.66667
brute_force,40,12,2.66667
