greedy,100,7,10.7143,2,5,0
random,100,3,30.3333,2,5,0
bad_greedy,100,7,14.2857,2,5,0
k=1,100,7,10.7143,2,5,21
k=2,100,7,10.7143,2,5,1173
greedy,100,13,7,3,5,1
random,100,2,48,3,5,0
bad_greedy,100,12,6.91667,3,5,0
k=1,100,13,7,3,5,27
k=2,100,13,7,3,5,1147
greedy,100,4,14.25,4,5,1
random,100,2,43.5,4,5,0
bad_greedy,100,2,27.5,4,5,0
k=1,100,4,14.25,4,5,24
k=2,100,4,14.25,4,5,1157
greedy,100,7,9.42857,2,5,1
random,100,2,47,2,5,0
bad_greedy,100,4,24,2,5,0
k=1,100,8,10.5,2,5,23
k=2,100,8,10.5,2,5,1122
greedy,100,13,7,3,5,1
random,100,2,48,3,5,0
bad_greedy,100,12,6.91667,3,5,0
k=1,100,13,7,3,5,38
k=2,100,13,7,3,5,1157
greedy,100,3,19.6667,4,5,0
random,100,2,42.5,4,5,0
bad_greedy,100,1,50,4,5,0
k=1,100,3,19.6667,4,5,24
k=2,100,3,19.6667,4,5,1170
greedy,100,10,9.6,2,5,1
random,100,5,17,2,5,0
bad_greedy,100,7,11.7143,2,5,0
k=1,100,10,9.6,2,5,23
k=2,100,10,9,2,5,1134
greedy,100,14,6.57143,3,5,1
random,100,9,10.5556,3,5,0
bad_greedy,100,14,5.85714,3,5,0
k=1,100,15,6.06667,3,5,23
k=2,100,15,6.06667,3,5,1150
greedy,100,3,17.3333,4,5,1
random,100,1,89,4,5,0
bad_greedy,100,3,17.3333,4,5,0
k=1,100,4,18,4,5,22
k=2,100,4,18,4,5,1164
greedy,100,11,8.27273,2,5,1
random,100,2,45.5,2,5,0
bad_greedy,100,8,12.375,2,5,0
k=1,100,11,8.27273,2,5,34
k=2,100,11,8.27273,2,5,1116
greedy,100,15,6.06667,3,5,1
random,100,9,11.1111,3,5,0
bad_greedy,100,13,6,3,5,0
k=1,100,15,5.93333,3,5,24
k=2,100,15,5.93333,3,5,1269
greedy,100,7,12.4286,4,5,2
random,100,2,35.5,4,5,0
bad_greedy,100,1,55,4,5,0
k=1,100,7,12.4286,4,5,32
k=2,100,7,12.4286,4,5,1293
greedy,100,7,14,2,5,1
random,100,4,23.25,2,5,0
bad_greedy,100,7,14,2,5,0
k=1,100,7,11.8571,2,5,29
k=2,100,7,11.8571,2,5,1231
greedy,100,12,8,3,5,2
random,100,3,31,3,5,0
bad_greedy,100,10,9.1,3,5,0
k=1,100,12,8,3,5,25
k=2,100,12,8,3,5,1406
greedy,100,3,17.6667,4,5,2
random,100,2,30.5,4,5,0
bad_greedy,100,3,17.6667,4,5,1
k=1,100,3,17.6667,4,5,35
k=2,100,3,17.6667,4,5,1353
greedy,100,8,10.25,2,5,1
random,100,4,21,2,5,0
bad_greedy,100,5,15.6,2,5,0
k=1,100,9,11.1111,2,5,26
k=2,100,9,11.1111,2,5,1283
greedy,100,9,9,3,5,1
random,100,4,24.25,3,5,0
bad_greedy,100,9,9,3,5,0
k=1,100,12,7.83333,3,5,27
k=2,100,12,7.41667,3,5,1239
greedy,100,6,11.8333,4,5,1
random,100,2,39,4,5,0
bad_greedy,100,2,25.5,4,5,0
k=1,100,6,11.8333,4,5,25
k=2,100,6,11.8333,4,5,1274
greedy,100,9,7.88889,2,5,0
random,100,5,20,2,5,0
bad_greedy,100,9,7.88889,2,5,0
k=1,100,9,7.88889,2,5,23
k=2,100,9,7.88889,2,5,1191
greedy,100,13,7.30769,3,5,0
random,100,1,91,3,5,0
bad_greedy,100,11,8.27273,3,5,0
k=1,100,13,7.30769,3,5,25
k=2,100,13,7.30769,3,5,1155
greedy,100,5,10.8,4,5,1
random,100,3,20.3333,4,5,0
bad_greedy,100,5,10.8,4,5,0
k=1,100,5,10.8,4,5,23
k=2,100,5,10.8,4,5,1144
greedy,100,11,8.63636,2,5,1
random,100,7,11.8571,2,5,0
bad_greedy,100,8,11.25,2,5,0
k=1,100,11,8.45455,2,5,23
k=2,100,11,8.45455,2,5,1140
greedy,100,11,7.45455,3,5,0
