algorithm,coverage,cost_per_coverage,radius,time
k=1,28,53.2857,3,62
k=2,28,53.2857,3,3004
greedy,28,53.25,3,3
random,15,98.8667,3,0
bad_greedy,25,57.48,3,1
k=1,28,53.25,3,62
k=2,28,53.25,3,3073
greedy,27,53.2593,3,3
random,12,124,3,0
bad_greedy,24,60.9167,3,1
k=1,27,53.2593,3,61
k=2,27,53.2593,3,3018
greedy,84,17.5714,18,3
random,47,31.2766,18,0
bad_greedy,45,32.2222,18,1
k=1,85,17.5176,18,44
k=2,85,17.5176,18,2147
greedy,83,17.7229,18,3
random,55,26.6909,18,0
bad_greedy,35,41.7143,18,1
k=1,84,17.7619,18,41
k=2,84,17.5952,18,1988
greedy,85,16.8,18,3
random,59,25.0678,18,0
bad_greedy,55,27.1636,18,1
k=1,85,16.8,18,32
k=2,85,16.8,18,1497
greedy,82,17.8659,18,3
random,53,28.283,18,0
bad_greedy,59,25.0678,18,1
k=1,82,17.3902,18,33
k=2,82,17.3902,18,1632
greedy,81,17.3951,18,3
random,46,31.8913,18,0
bad_greedy,58,24.6379,18,1
k=1,82,17.7439,18,43
k=2,82,17.439,18,2014
greedy,89,16.1685,18,3
random,67,22.0597,18,0
bad_greedy,49,29.2653,18,1
k=1,90,16.1778,18,30
k=2,90,16.1778,18,1547
greedy,82,17.561,18,3
random,61,24.4918,18,0
bad_greedy,47,30.4681,18,1
k=1,82,17.8659,18,39
k=2,82,17.7561,18,1857
greedy,82,18.0488,18,3
random,67,22.0746,18,0
bad_greedy,52,28.75,18,1
k=1,83,17.8675,18,44
k=2,83,17.6265,18,2070
greedy,89,16.809,18,3
random,29,51.4828,18,0
bad_greedy,54,26.2593,18,1
k=1,89,16.618,18,38
k=2,89,16.6067,18,1875
greedy,85,17.2118,18,3
random,56,26.25,18,0
bad_greedy,56,25.3393,18,1
k=1,87,16.9885,18,30
k=2,87,16.954,18,1486
greedy,29,49.1379,4,3
random,12,123.583,4,0
bad_greedy,25,59.8,4,1
k=1,29,49.1379,4,62
k=2,29,49.1379,4,3049
greedy,31,48.129,4,3
random,13,111.538,4,0
bad_greedy,24,59.4167,4,1
k=1,31,48.129,4,61
k=2,31,48.129,4,2979
greedy,28,52.1071,4,3
random,16,91.5625,4,0
bad_greedy,24,59.0833,4,1
k=1,28,52.1071,4,62
k=2,28,52.1071,4,3009
greedy,32,46.75,4,3
random,13,112.615,4,0
bad_greedy,26,57.5769,4,1
k=1,32,46.75,4,61
k=2,32,46.75,4,2995
greedy,28,51.0714,4,3
random,13,115.385,4,0
bad_greedy,24,62.1667,4,1
k=1,28,51.0714,4,62
k=2,28,51.0714,4,3032
greedy,32,46.2188,4,3
random,13,114.692,4,0
bad_greedy,26,56.6154,4,1
k=1,32,46.2188,4,61
k=2,32,46.2188,4,2967
greedy,29,50.4138,4,3
random,15,97.2667,4,0
bad_greedy,27,54.963,4,1
k=1,29,50.4138,4,63
k=2,29,50.4138,4,3022
greedy,31,47.8387,4,3
random,19,78.1579,4,0
bad_greedy,24,61.9167,4,1
k=1,31,47.8387,4,60
k=2,31,47.8387,4,2990
greedy,27,54.1111,4,3
random,10,146.4,4,0
bad_greedy,24,59.875,4,1
k=1,27,54.1111,4,62
k=2,27,54.1111,4,3057
greedy,29,50.8621,4,3
random,14,107.071,4,0
bad_greedy,24,58.375,4,1
k=1,29,50.8621,4,62
k=2,29,50.8621,4,3048
greedy,87,17.069,18,3
random,50,29.96,18,0
bad_greedy,53,27.4151,18,1
k=1,87,16.4943,18,38
k=2,88,16.9886,18,1838
greedy,86,16.8953,18,3
random,49,29.5306,18,0
bad_greedy,51,29.0784,18,1
k=1,87,17.1724,18,37
k=2,87,17.1724,18,1770
greedy,87,16.5632,18,3
random,64,22.8438,18,0
bad_greedy,57,26.3158,18,1
k=1,87,16.4598,18,38
k=2,87,16.4483,18,1870
greedy,90,16.6667,18,3
random,63,23.8095,18,0
bad_greedy,53,27.5094,18,1
k=1,90,16.2444,18,38
k=2,90,16.2444,18,1888
greedy,87,17.0805,18,3
random,48,31.0417,18,0
bad_greedy,53,28.1132,18,1
k=1,88,16.5682,18,34
k=2,88,16.5682,18,1527
greedy,82,18.2561,18,3
random,54,27.3519,18,0
bad_greedy,69,21.5652,18,1
k=1,82,18.2561,18,43
k=2,82,18.2561,18,2158
greedy,79,18.2785,18,4
random,52,28.5577,18,0
bad_greedy,38,37.9474,18,1
k=1,80,18.175,18,48
k=2,80,18.175,18,2417
greedy,84,17.8214,18,4
random,53,28.3019,18,0
bad_greedy,57,24.9649,18,2
k=1,84,17.8214,18,50
k=2,84,17.8214,18,2418
greedy,90,15.9444,18,3
random,71,20.6901,18,0
bad_greedy,44,32.2727,18,1
k=1,92,16.087,18,37
k=2,92,16.087,18,1830
greedy,86,17.0698,18,4
random,47,31.8723,18,0
bad_greedy,45,31.6,18,1
k=1,86,17.0698,18,43
k=2,86,17.0698,18,1883
greedy,76,19.4211,13,4
random,39,37.5128,13,0
bad_greedy,47,30.7234,13,1
k=1,77,19.3506,13,50
k=2,77,19.3506,13,2428
greedy,71,20.9296,13,3
random,36,40.5833,13,0
bad_greedy,42,34.9286,13,1
k=1,72,20.4722,13,50
k=2,72,20.4306,13,2444
greedy,74,20.1892,13,3
random,40,36.35,13,0
bad_greedy,47,31.4894,13,1
k=1,75,19.9867,13,43
k=2,75,19.9867,13,2114
greedy,77,18.8442,13,3
random,42,35.5952,13,0
bad_greedy,53,27.6038,13,1
k=1,77,18.8442,13,47
k=2,77,18.8442,13,2277
greedy,73,20.5479,13,3
random,29,51.6552,13,0
bad_greedy,45,33.1333,13,1
k=1,73,20.5479,13,43
k=2,73,20.5479,13,2211
greedy,75,19.5733,13,3
random,40,37.275,13,0
bad_greedy,43,32.8837,13,2
k=1,75,19.5733,13,45
k=2,75,19.5733,13,2159
greedy,77,19.4156,13,3
random,43,34.2558,13,0
bad_greedy,39,36.4103,13,1
k=1,78,19.1667,13,39
k=2,78,19.1667,13,1906
greedy,70,20.9571,13,3
random,43,34.8605,13,0
bad_greedy,41,34.5366,13,1
k=1,70,20.9571,13,51
k=2,70,20.9571,13,2482
greedy,72,20.625,13,3
random,39,38.0513,13,0
bad_greedy,45,33.1778,13,1
k=1,72,20.1528,13,50
k=2,73,20.5479,13,2442
greedy,69,21,13,3
random,27,54.7037,13,0
bad_greedy,38,38.7632,13,1
k=1,70,20.7143,13,52
k=2,70,20.7143,13,2406
greedy,32,46.7188,5,3
random,16,92.6875,5,0
bad_greedy,24,58.9167,5,1
k=1,32,46.25,5,59
k=2,32,45.9375,5,2958
greedy,37,40.4595,5,3
random,12,121,5,0
bad_greedy,28,51.0357,5,1
k=1,37,40.4595,5,62
k=2,37,40.4595,5,3057
greedy,34,43.9412,5,3
random,17,85.8235,5,0
bad_greedy,23,61.4348,5,1
k=1,34,43.9412,5,57
k=2,34,43.9412,5,2848
greedy,33,44.0606,5,3
random,12,124.5,5,0
bad_greedy,26,54.6154,5,1
k=1,33,43.5758,5,60
k=2,33,43.5758,5,2918
greedy,39,38.2564,5,3
random,16,92.75,5,0
bad_greedy,31,46.3226,5,1
k=1,39,38.2564,5,59
k=2,39,38.2564,5,2825
greedy,33,43.6667,5,3
random,12,124.083,5,0
bad_greedy,25,56.52,5,1
k=1,33,43.6667,5,57
k=2,33,43.6667,5,2901
greedy,31,46.7097,5,3
random,12,122.583,5,0
bad_greedy,25,58.04,5,1
k=1,32,46.6875,5,62
k=2,32,46.6875,5,2967
greedy,34,43.7059,5,3
random,17,88.0588,5,0
bad_greedy,26,57.1923,5,1
k=1,34,43.7059,5,64
k=2,34,43.7059,5,3296
greedy,36,39.6111,5,4
random,15,99.2,5,0
bad_greedy,28,52.5357,5,1
k=1,36,39.6111,5,61
k=2,36,39.6111,5,3273
greedy,37,39,5,3
random,22,68.0455,5,0
bad_greedy,29,51.5517,5,1
k=1,37,39,5,62
k=2,37,39,5,3205
greedy,84,17.7619,19,3
random,38,38.9474,19,0
bad_greedy,55,26.6364,19,2
k=1,84,17.7619,19,63
k=2,84,17.7619,19,3203
greedy,86,17.2209,19,4
random,48,31.0833,19,0
bad_greedy,50,29.7,19,1
k=1,86,17.2209,19,63
k=2,86,17.2209,19,2717
greedy,80,18.175,19,4
random,58,25.6379,19,0
bad_greedy,53,27.0377,19,2
k=1,81,18.1605,19,49
k=2,81,18.1605,19,2318
greedy,84,17.6667,19,3
random,54,26.963,19,0
bad_greedy,42,35.1429,19,1
k=1,85,17.5647,19,59
k=2,85,17.4353,19,2476
greedy,80,18.15,19,3
random,64,23.2031,19,0
bad_greedy,48,30.0208,19,1
k=1,81,18.2469,19,51
k=2,81,18.0617,19,2499
greedy,83,17.8675,19,3
random,59,24.9322,19,0
bad_greedy,50,28.48,19,1
k=1,83,17.8675,19,41
k=2,83,17.8675,19,2074
greedy,89,16.1124,19,3
random,55,27.1273,19,0
bad_greedy,63,22.6349,19,1
k=1,89,16.1124,19,32
k=2,89,16.1124,19,1638
greedy,90,16.3333,19,4
random,63,23.7778,19,0
bad_greedy,67,21.1493,19,1
k=1,90,16.0222,19,36
k=2,90,15.9778,19,1586
greedy,84,17.3571,19,3
random,56,26.3036,19,0
bad_greedy,53,27.7925,19,1
k=1,85,17.6353,19,37
k=2,85,17.5765,19,1804
greedy,92,15.8261,19,3
random,71,20.9577,19,0
bad_greedy,56,26.5714,19,1
k=1,92,15.2609,19,29
k=2,92,15.2609,19,1533
greedy,67,21.6418,14,4
random,52,28.25,14,0
bad_greedy,46,31.6304,14,1
k=1,68,21.4559,14,49
k=2,68,21.4559,14,2401
greedy,73,20.3288,14,4
random,33,45.1515,14,0
bad_greedy,39,37.1282,14,1
k=1,74,20.1757,14,59
k=2,74,20.1757,14,2761
greedy,74,20.1622,14,3
random,30,48.6333,14,0
bad_greedy,36,40.6389,14,1
k=1,74,19.8649,14,51
k=2,74,19.8378,14,2666
greedy,68,21.8382,14,3
random,36,41.1944,14,0
bad_greedy,38,37.1053,14,1
k=1,69,21.4058,14,53
k=2,69,21.4058,14,3137
greedy,73,20.1096,14,4
random,43,34.2093,14,0
bad_greedy,37,39.8919,14,1
k=1,74,20.0135,14,51
k=2,74,19.9865,14,2567
greedy,68,21.8529,14,4
random,45,33.3111,14,0
bad_greedy,42,35.5476,14,1
k=1,68,21.7647,14,62
k=2,68,21.7647,14,2931
greedy,75,19.48,14,4
random,37,40.2162,14,0
bad_greedy,46,31.3043,14,1
k=1,75,19.4533,14,53
k=2,75,19.4533,14,2104
greedy,76,19.7105,14,3
random,46,32.3478,14,0
bad_greedy,49,29.2857,14,1
k=1,76,19.0789,14,50
k=2,76,18.9474,14,2481
greedy,76,19.5526,14,3
random,34,43.7353,14,0
bad_greedy,37,39.8649,14,1
k=1,76,19.5526,14,43
k=2,76,19.5526,14,2121
greedy,72,20.7639,14,4
random,36,41,14,0
bad_greedy,42,34.881,14,1
k=1,72,20.5417,14,68
k=2,72,20.5417,14,2627
greedy,45,33.1111,6,3
random,22,66,6,0
bad_greedy,27,54.0741,6,1
k=1,45,33.1111,6,58
k=2,45,33.1111,6,2977
greedy,36,41.2222,6,3
random,18,82.5556,6,0
bad_greedy,29,51.6552,6,1
k=1,36,41.1389,6,66
k=2,36,41.1389,6,3275
greedy,43,33.5814,6,3
random,14,106.286,6,0
bad_greedy,26,56.6923,6,1
k=1,43,33.5814,6,66
k=2,43,33.5814,6,2866
greedy,35,41.9429,6,3
random,18,83,6,0
bad_greedy,28,52.8929,6,1
k=1,35,41.9429,6,63
k=2,35,41.9429,6,3025
greedy,40,36.775,6,5
random,12,123.5,6,0
bad_greedy,27,55.5185,6,1
k=1,40,36.775,6,176
k=2,40,36.775,6,10299
greedy,37,39.2703,6,3
random,11,133,6,0
bad_greedy,26,54.1538,6,1
k=1,37,39.2703,6,326
k=2,37,39.2703,6,9000
greedy,37,38.5676,6,3
random,16,92.5625,6,0
bad_greedy,28,51.2857,6,1
k=1,37,38.5676,6,60
k=2,37,38.5676,6,2994
greedy,50,29.66,6,3
random,17,85.7647,6,0
bad_greedy,34,42.0294,6,1
k=1,50,29.66,6,53
k=2,50,29.66,6,2767
greedy,40,36.225,6,3
random,15,98.5333,6,0
bad_greedy,32,46.0938,6,1
k=1,40,36.225,6,58
k=2,40,36.225,6,2930
greedy,34,43.4706,6,3
random,16,93.4375,6,0
bad_greedy,28,51.75,6,1
k=1,34,43.4706,6,60
k=2,34,43.4706,6,2939
greedy,42,34.3095,7,4
random,21,68.6667,7,0
bad_greedy,35,42,7,1
k=1,42,34.3095,7,60
k=2,42,34.3095,7,3143
greedy,48,30.9792,7,3
random,21,71.0476,7,0
bad_greedy,28,51.2857,7,1
k=1,48,30.9792,7,57
k=2,48,30.9792,7,2682
greedy,42,34.5238,7,4
random,19,77.7368,7,0
bad_greedy,26,56.8846,7,1
k=1,43,34.4884,7,63
k=2,43,34.4884,7,2862
greedy,51,29.1765,7,3
random,25,59.8,7,0
bad_greedy,26,55.6154,7,1
k=1,51,29.1765,7,53
k=2,51,29.1765,7,2566
greedy,45,32.6889,7,3
random,21,68.8095,7,0
bad_greedy,35,41.8,7,1
k=1,45,32.6889,7,55
k=2,45,32.6889,7,2689
greedy,44,34.0909,7,3
random,16,91.8125,7,0
bad_greedy,26,55.7692,7,1
k=1,44,32.75,7,56
k=2,44,32.7273,7,2847
greedy,38,38.1579,7,5
random,19,78,7,0
bad_greedy,27,52.2593,7,1
k=1,38,38.1579,7,59
k=2,38,38.1579,7,2875
greedy,46,32.5217,7,3
random,26,57.6538,7,0
bad_greedy,31,47.7419,7,1
k=1,46,32.5217,7,56
k=2,46,32.5217,7,2735
greedy,45,33.2444,7,3
random,23,65.1304,7,0
bad_greedy,35,40.8571,7,1
k=1,45,33.2444,7,58
k=2,45,33.2444,7,2869
greedy,45,32.7556,7,3
random,20,73.6,7,0
bad_greedy,28,51.5357,7,1
k=1,45,32.7556,7,55
k=2,45,32.7556,7,2695
greedy,90,15.7667,19,3
random,53,28.1698,19,0
bad_greedy,61,23.7049,19,1
k=1,90,15.7556,19,35
k=2,90,15.7556,19,1671
greedy,84,17.4762,19,3
random,56,26.5179,19,0
bad_greedy,43,34.6744,19,1
k=1,85,17.2,19,43
k=2,85,17.2,19,2047
greedy,87,17.1034,19,3
random,55,26.7091,19,0
bad_greedy,53,27.3585,19,1
k=1,88,16.9886,19,35
k=2,88,16.9318,19,1782
greedy,89,16.4157,19,3
random,67,22.1791,19,0
bad_greedy,65,22.6769,19,1
k=1,89,15.9888,19,29
k=2,89,15.9888,19,1474
greedy,90,15.9333,19,3
random,55,26.8909,19,0
bad_greedy,60,24.65,19,1
k=1,90,15.6667,19,170
k=2,90,15.6556,19,5318
greedy,93,15.0753,19,3
random,63,23.1587,19,0
bad_greedy,60,23.6,19,1
k=1,93,15.043,19,97
k=2,93,15.043,19,3375
greedy,83,17.6506,19,3
random,43,34.814,19,0
bad_greedy,58,25.8103,19,1
k=1,85,17.4235,19,135
k=2,86,17.0581,19,9376
greedy,90,15.7667,19,3
random,57,26.2982,19,0
bad_greedy,58,24.8103,19,1
k=1,90,15.7667,19,35
k=2,90,15.7667,19,1668
greedy,86,16.7442,19,3
random,65,22.3692,19,0
bad_greedy,40,35.5,19,1
k=1,87,16.7931,19,34
k=2,87,16.7011,19,1724
greedy,87,16.7356,19,4
random,65,23.0308,19,0
bad_greedy,44,33.9773,19,1
k=1,88,16.8068,19,34
k=2,88,16.8068,19,1724
greedy,49,29.5714,8,3
random,19,77.1053,8,0
bad_greedy,30,48.3667,8,1
k=1,49,29.2653,8,61
k=2,49,29.2653,8,2791
greedy,47,31.0851,8,5
random,22,67.8182,8,0
bad_greedy,33,44.9394,8,1
k=1,48,30.75,8,58
k=2,48,30.75,8,2826
greedy,49,29.6531,8,3
random,29,51.4828,8,0
bad_greedy,37,38.6757,8,1
k=1,50,29.58,8,59
k=2,50,29.54,8,3337
greedy,46,31.7609,8,4
random,19,78.4737,8,0
bad_greedy,33,44.8485,8,2
k=1,46,31.7609,8,95
k=2,46,31.7609,8,3659
greedy,49,30.3673,8,3
random,25,58.48,8,0
bad_greedy,35,41.5714,8,1
k=1,49,29.2449,8,55
k=2,50,29.48,8,2706
greedy,53,27.9245,8,4
random,33,45.1212,8,0
bad_greedy,32,45.5,8,1
k=1,53,27.3774,8,58
k=2,53,27.3774,8,2517
greedy,52,28.4231,8,3
random,18,81.8333,8,0
bad_greedy,32,45.8438,8,1
k=1,52,28.2692,8,54
k=2,52,28.2692,8,2691
greedy,49,30.1224,8,3
random,25,59.24,8,0
bad_greedy,35,42,8,1
k=1,49,30.1224,8,54
k=2,49,30.1224,8,2800
greedy,49,29.6327,8,3
random,23,64.6087,8,0
bad_greedy,34,43.4118,8,1
k=1,50,29.48,8,56
k=2,50,29.48,8,2727
greedy,46,31.413,8,3
random,18,83.2778,8,0
bad_greedy,27,52.8889,8,1
k=1,47,31.5319,8,65
k=2,47,31.5106,8,2860
greedy,70,21.4,11,5
random,36,41.6389,11,0
bad_greedy,41,34.5854,11,2
k=1,70,21.4,11,80
k=2,70,21.4,11,3935
greedy,63,22.9841,11,4
random,27,55.1481,11,0
bad_greedy,43,34.4419,11,2
k=1,64,23.25,11,67
k=2,64,23.25,11,4022
greedy,63,23.6349,11,4
random,33,44.2727,11,0
bad_greedy,39,37.9231,11,2
k=1,63,23.6032,11,70
k=2,63,23.6032,11,2939
greedy,58,25.6379,11,3
random,34,43.8824,11,0
bad_greedy,33,44.0909,11,2
k=1,59,25.2034,11,69
k=2,59,24.6102,11,3055
greedy,66,22,11,3
random,30,49.2667,11,0
bad_greedy,35,42.5714,11,1
k=1,66,22,11,46
k=2,66,22,11,2365
greedy,73,20.2055,11,3
random,45,32.5111,11,0
bad_greedy,39,36.7179,11,1
k=1,73,20,11,47
k=2,73,19.8219,11,2389
greedy,68,21.6912,11,3
random,42,35.2857,11,0
bad_greedy,46,31.3478,11,1
k=1,68,21.6912,11,47
k=2,68,21.6912,11,2323
greedy,62,23.5484,11,3
random,17,86.1176,11,0
bad_greedy,39,37.1795,11,1
k=1,63,23.0476,11,54
k=2,63,23.0476,11,2673
greedy,63,23.746,11,3
random,44,33.6818,11,0
bad_greedy,30,48,11,1
k=1,63,23.2063,11,49
k=2,63,23.2063,11,2440
greedy,65,23.0462,11,3
random,24,62.3333,11,0
bad_greedy,33,43.6061,11,1
k=1,65,22.5077,11,50
k=2,65,22.5077,11,3093
greedy,56,26.3214,9,3
random,33,44.7879,9,0
bad_greedy,40,36.2,9,1
k=1,56,26.3214,9,54
k=2,56,26.3214,9,2588
greedy,57,26.1754,9,3
random,25,58.72,9,0
bad_greedy,35,42.5429,9,1
k=1,57,26.1754,9,53
k=2,57,26.1754,9,2575
greedy,61,24.1967,9,3
random,32,46.75,9,0
bad_greedy,42,34.1667,9,1
k=1,61,24.1967,9,50
k=2,61,24.1967,9,2488
greedy,53,27.9811,9,4
random,31,47.5161,9,0
bad_greedy,39,36.5385,9,1
k=1,53,27.9811,9,56
k=2,53,27.9811,9,2732
greedy,54,26.8148,9,3
random,33,44.4848,9,0
bad_greedy,30,49.8333,9,1
k=1,54,26.8148,9,53
k=2,54,26.8148,9,2540
greedy,57,26.2105,9,3
random,21,70.1429,9,0
bad_greedy,36,39.5556,9,1
k=1,57,26.2105,9,53
k=2,57,26.2105,9,2607
greedy,58,25.3793,9,3
random,31,47.7419,9,0
bad_greedy,31,46.8065,9,1
k=1,59,25.2373,9,53
k=2,59,25.1864,9,2612
greedy,63,23.2381,9,4
random,39,38,9,0
bad_greedy,37,40.1351,9,1
k=1,63,23.2381,9,49
k=2,63,23.2381,9,2487
greedy,56,25.8929,9,3
random,25,58.64,9,0
bad_greedy,40,37.5,9,1
k=1,56,25.8929,9,54
k=2,56,25.8929,9,2600
greedy,60,24.8167,9,3
random,38,39.1316,9,0
bad_greedy,35,42.0286,9,1
k=1,60,24.6667,9,51
k=2,60,24.6667,9,2526
greedy,56,25.8393,11,3
random,38,38.4737,11,0
bad_greedy,30,49.2667,11,1
k=1,57,26.193,11,53
k=2,57,26.193,11,2629
greedy,63,23.0635,11,3
random,27,55.4815,11,0
bad_greedy,35,41.2286,11,1
k=1,64,23.2031,11,49
k=2,64,23.2031,11,2397
greedy,61,24.0164,11,3
random,29,51.2414,11,0
bad_greedy,44,34.0909,11,1
k=1,63,23.5397,11,50
k=2,63,23.5397,11,2422
greedy,67,21.791,11,3
random,27,54.7037,11,0
bad_greedy,39,37.3333,11,1
k=1,67,21.7761,11,47
k=2,67,21.7761,11,2306
greedy,65,22.6,11,3
random,28,53.0357,11,0
bad_greedy,45,32.3778,11,1
k=1,66,22.6667,11,53
k=2,66,22.6061,11,2622
greedy,65,22.6462,11,3
random,37,40.3243,11,0
bad_greedy,36,40.6111,11,1
k=1,65,22.6308,11,50
k=2,65,22.6308,11,2504
greedy,71,20.8732,11,4
random,31,47.6129,11,0
bad_greedy,35,40.7143,11,1
k=1,72,20.7361,11,49
k=2,72,20.625,11,2376
greedy,65,22.6615,11,3
random,29,50.6552,11,0
bad_greedy,38,38.1579,11,1
k=1,66,22.5758,11,55
k=2,66,22.1667,11,2630
greedy,66,22.5,11,3
random,43,34.3488,11,0
bad_greedy,43,34.2791,11,1
k=1,66,22.5,11,45
k=2,66,22.5,11,2235
greedy,64,23.4062,11,3
random,22,67.4545,11,0
bad_greedy,32,44.0312,11,1
k=1,65,23.0462,11,50
k=2,65,23.0462,11,2493
greedy,81,18.1975,17,3
random,53,28.0943,17,0
bad_greedy,49,30.3878,17,1
k=1,82,18.0122,17,45
k=2,82,18.0122,17,2220
greedy,84,17.8452,17,3
random,49,29.9796,17,0
bad_greedy,43,34.186,17,1
k=1,84,17.8452,17,38
k=2,84,17.8452,17,1884
greedy,91,15.6374,17,3
random,57,26.193,17,0
bad_greedy,51,29.0392,17,1
k=1,92,15.9239,17,30
k=2,92,15.9239,17,1491
greedy,84,17.2381,17,3
random,60,24.9167,17,0
bad_greedy,47,30.8511,17,1
k=1,84,17.2381,17,36
k=2,84,17.2381,17,1732
greedy,80,18.25,17,3
random,41,36.1463,17,0
bad_greedy,55,25.8,17,1
k=1,81,18.1852,17,38
k=2,81,18.1358,17,1840
greedy,79,18.7722,17,3
random,52,28.1538,17,0
bad_greedy,41,36.0488,17,1
k=1,80,18.2,17,43
k=2,81,18.1852,17,2113
greedy,87,16.6897,17,3
random,42,34.8571,17,0
bad_greedy,51,28.8431,17,1
k=1,87,16.6897,17,31
k=2,87,16.6897,17,1523
greedy,86,17.1977,17,3
random,64,22.7812,17,0
bad_greedy,62,23.0645,17,1
k=1,87,16.9655,17,37
k=2,87,16.9655,17,1791
greedy,88,16.375,17,3
random,44,33.0682,17,0
bad_greedy,62,23.7097,17,1
k=1,89,16.3146,17,30
k=2,89,15.6966,17,1411
greedy,84,17.3214,17,3
random,47,31,17,0
bad_greedy,52,27.7885,17,1
k=1,84,17.1548,17,41
k=2,85,17.5529,17,1999
greedy,68,21.6471,12,3
random,37,39.8108,12,0
bad_greedy,41,35.122,12,1
k=1,68,21.5735,12,43
k=2,68,21.5588,12,2065
greedy,66,22.1515,12,3
random,35,41.7429,12,0
bad_greedy,41,36.0732,12,1
k=1,67,22.2388,12,49
k=2,67,22.0299,12,2450
greedy,70,20.6,12,3
random,39,37.8974,12,0
bad_greedy,45,32.9556,12,1
k=1,71,21.0141,12,52
k=2,71,21.0141,12,2473
greedy,64,22.8594,12,3
random,29,50.7931,12,0
bad_greedy,52,28.2115,12,1
k=1,64,22.4688,12,46
k=2,64,22.4688,12,2301
greedy,63,23.1587,12,3
random,33,44.8182,12,0
bad_greedy,33,44.5758,12,1
k=1,64,23.3594,12,48
k=2,64,23.3594,12,2405
greedy,71,20.6901,12,3
random,26,56.8846,12,0
bad_greedy,42,34.5476,12,1
k=1,71,20.6901,12,44
k=2,71,20.6901,12,2155
greedy,61,24.4754,12,3
random,25,59.12,12,0
bad_greedy,37,39.0541,12,1
k=1,61,23.8852,12,51
k=2,61,23.8852,12,2473
greedy,64,23.25,12,3
random,36,40.8056,12,0
bad_greedy,42,33.4762,12,1
k=1,64,23.25,12,49
k=2,64,23.25,12,2384
greedy,69,21.6232,12,4
random,31,48.0645,12,0
bad_greedy,39,37.3077,12,1
k=1,70,21.3857,12,48
k=2,70,21.3857,12,2397
greedy,69,21.4783,12,3
random,27,55.4444,12,0
bad_greedy,45,32.4444,12,1
k=1,69,21.4783,12,48
k=2,69,21.4783,12,2359
greedy,90,16.1889,18,5
random,62,24.1613,18,0
bad_greedy,63,22.746,18,2
k=1,90,15.5889,18,77
k=2,90,15.5889,18,2852
greedy,86,17.3605,18,4
random,62,24.1613,18,0
bad_greedy,58,25.0345,18,2
k=1,86,16.3953,18,62
k=2,86,16.3953,18,3363
greedy,80,18.425,18,3
random,33,44.0909,18,0
bad_greedy,42,35.3333,18,1
k=1,80,17.7625,18,60
k=2,81,18.2222,18,3004
greedy,85,17.5647,18,4
random,45,33.2667,18,0
bad_greedy,44,34.0455,18,1
k=1,86,17.3488,18,47
