algorithm,coverage,cost_per_coverage,radius,time
greedy,74,20.1757,12,5
random,35,42.3143,12,0
bad_greedy,50,28.84,12,2
k=1,74,20.1757,12,81
k=2,74,20.1757,12,3158
greedy,67,21.5522,12,3
random,35,42.8571,12,0
bad_greedy,44,33.1818,12,2
k=1,67,21.5522,12,51
k=2,67,21.5522,12,3084
greedy,72,20.5556,12,3
random,50,29.46,12,0
bad_greedy,48,31.1875,12,1
k=1,72,20.4722,12,48
k=2,72,20.0278,12,2523
greedy,73,20.4795,12,3
random,46,32,12,0
bad_greedy,40,37.275,12,1
k=1,73,20.0137,12,47
k=2,73,20.0137,12,2321
greedy,61,24.4262,12,3
random,34,43.8529,12,0
bad_greedy,40,35.3,12,1
k=1,61,24.4262,12,52
k=2,61,24.4262,12,2642
greedy,67,21.9552,12,3
random,39,37.9744,12,0
bad_greedy,48,29.875,12,1
k=1,68,21.8088,12,50
k=2,68,21.8088,12,2421
greedy,66,22.6212,12,3
random,38,38.9737,12,0
bad_greedy,41,36.3415,12,1
k=1,66,22.6212,12,49
k=2,66,22.6212,12,2372
greedy,67,21.3881,12,3
random,38,38.5789,12,0
bad_greedy,48,29.8958,12,1
k=1,68,21.5882,12,50
k=2,68,21.5882,12,2399
greedy,69,21.4058,12,4
random,28,52.9286,12,0
bad_greedy,46,30.7826,12,2
k=1,70,21.0429,12,79
k=2,71,20.8592,12,3623
greedy,68,21.1029,12,3
random,38,39.0263,12,0
bad_greedy,41,36.1707,12,2
k=1,68,21.0882,12,54
k=2,68,21.0882,12,2645
greedy,30,49.0333,3,3
random,15,99.9333,3,0
bad_greedy,25,58.92,3,1
k=1,30,49.0333,3,61
k=2,30,49.0333,3,3003
greedy,28,53.0714,3,3
random,14,105.571,3,0
bad_greedy,23,65.087,3,1
k=1,28,53.0714,3,62
k=2,28,53.0714,3,2999
greedy,26,57.6154,3,3
random,10,145.2,3,0
bad_greedy,23,63.1304,3,1
k=1,26,57.6154,3,62
k=2,26,57.6154,3,3078
greedy,29,50.931,3,3
random,15,98.9333,3,0
bad_greedy,27,53.5926,3,1
k=1,29,50.931,3,63
k=2,29,50.931,3,3072
greedy,30,49.3333,3,3
random,10,148.3,3,0
bad_greedy,23,62.087,3,1
k=1,30,49.3333,3,60
k=2,30,49.3333,3,3009
greedy,27,55.4074,3,3
random,12,123.583,3,0
bad_greedy,23,61.6087,3,1
k=1,27,55.4074,3,63
k=2,27,55.4074,3,3146
greedy,27,53.7407,3,3
random,11,135.182,3,0
bad_greedy,22,67.3636,3,1
k=1,27,53.7407,3,61
k=2,27,53.7407,3,2985
greedy,28,53.2857,3,3
random,12,122.25,3,0
bad_greedy,22,66.9545,3,1
