algorithm,coverage,cost_per_coverage,radius,time
random,100,4.35,18,0
bad_greedy,100,4.35,18,1
k=1,100,0.36,18,19
k=2,100,0.35,18,825
greedy,100,0.38,18,3
random,100,4.35,18,0
bad_greedy,100,4.35,18,1
k=1,100,0.38,18,18
k=2,100,0.38,18,819
greedy,100,0.46,18,3
random,100,4.24,18,0
bad_greedy,100,4.24,18,1
k=1,100,0.43,18,23
k=2,100,0.41,18,928
greedy,100,0.43,18,3
random,100,4.66,18,0
bad_greedy,100,4.66,18,1
k=1,100,0.37,18,19
k=2,100,0.35,18,873
greedy,100,0.39,18,3
random,100,4.63,18,0
bad_greedy,100,4.63,18,1
k=1,100,0.38,18,20
k=2,100,0.36,18,828
greedy,100,0.42,18,3
random,100,4.1,18,0
bad_greedy,100,4.1,18,1
k=1,100,0.36,18,19
k=2,100,0.35,18,864
greedy,100,1,13,3
random,100,4.98,13,0
bad_greedy,100,4.98,13,1
k=1,100,0.97,13,26
k=2,100,0.97,13,1273
greedy,100,0.92,13,3
random,100,4.72,13,0
bad_greedy,100,4.72,13,1
k=1,100,0.88,13,26
k=2,100,0.83,13,1272
greedy,100,0.7,13,3
random,100,4.27,13,0
bad_greedy,100,4.27,13,1
k=1,100,0.68,13,27
k=2,100,0.66,13,1284
greedy,100,0.9,13,3
random,100,4.52,13,0
bad_greedy,100,4.52,13,1
k=1,100,0.85,13,27
k=2,100,0.84,13,1328
greedy,100,0.77,13,4
random,100,4.49,13,0
bad_greedy,100,4.49,13,1
k=1,100,0.74,13,26
k=2,100,0.73,13,1205
greedy,100,0.82,13,3
random,100,4.63,13,0
bad_greedy,100,4.63,13,1
k=1,100,0.79,13,27
k=2,100,0.76,13,1244
greedy,100,0.62,13,3
random,100,4.43,13,0
bad_greedy,100,4.43,13,1
k=1,100,0.6,13,23
k=2,100,0.59,13,1084
greedy,100,0.87,13,3
random,100,4.59,13,0
bad_greedy,100,4.59,13,1
k=1,100,0.83,13,26
k=2,100,0.81,13,1234
greedy,100,1.1,13,3
random,100,4.86,13,0
bad_greedy,100,4.86,13,1
k=1,100,1.02,13,28
k=2,100,1,13,1367
greedy,100,0.84,13,3
random,100,4.77,13,0
bad_greedy,100,4.77,13,1
k=1,100,0.81,13,25
k=2,100,0.79,13,1183
greedy,100,2.85,5,3
random,100,4.66,5,0
bad_greedy,100,4.66,5,1
k=1,100,2.81,5,52
k=2,100,2.78,5,2557
greedy,100,2.74,5,4
random,100,4.21,5,0
bad_greedy,100,4.21,5,1
k=1,100,2.73,5,53
k=2,100,2.73,5,2612
greedy,100,3.34,5,3
random,100,4.59,5,0
bad_greedy,100,4.59,5,1
k=1,100,3.34,5,56
k=2,100,3.34,5,2746
greedy,100,3.37,5,3
random,100,4.47,5,0
bad_greedy,100,4.47,5,1
k=1,100,3.33,5,56
k=2,100,3.32,5,2717
greedy,100,3.01,5,3
random,100,4.27,5,0
bad_greedy,100,4.27,5,1
k=1,100,2.94,5,53
k=2,100,2.94,5,2645
