algorithm,coverage,cost_per_coverage,radius,time
k=2,100,4.52,1,3289
greedy,100,4.61,1,3
random,100,4.61,1,0
bad_greedy,100,4.61,1,1
k=1,100,4.61,1,63
k=2,100,4.61,1,3130
greedy,100,4.73,1,3
random,100,4.73,1,0
bad_greedy,100,4.73,1,1
k=1,100,4.73,1,62
k=2,100,4.73,1,3180
greedy,100,4.58,1,3
random,100,4.58,1,0
bad_greedy,100,4.58,1,1
k=1,100,4.58,1,73
k=2,100,4.58,1,3815
greedy,100,4.47,1,3
random,100,4.47,1,0
bad_greedy,100,4.47,1,1
k=1,100,4.47,1,69
k=2,100,4.47,1,3532
greedy,100,1.26,10,3
random,100,4.48,10,0
bad_greedy,100,4.48,10,1
k=1,100,1.21,10,35
k=2,100,1.19,10,1654
greedy,100,1.1,10,3
random,100,4.72,10,0
bad_greedy,100,4.72,10,1
k=1,100,1.04,10,29
k=2,100,1.03,10,1436
greedy,100,1.09,10,3
random,100,4.42,10,0
bad_greedy,100,4.42,10,1
k=1,100,1.06,10,31
k=2,100,1.05,10,1444
greedy,100,1.23,10,3
random,100,4.3,10,0
bad_greedy,100,4.3,10,1
k=1,100,1.22,10,34
k=2,100,1.22,10,1607
greedy,100,1.25,10,3
random,100,4.14,10,0
bad_greedy,100,4.14,10,1
k=1,100,1.21,10,38
k=2,100,1.18,10,1764
greedy,100,1.31,10,3
random,100,4.26,10,0
bad_greedy,100,4.26,10,1
k=1,100,1.28,10,35
k=2,100,1.25,10,1649
greedy,100,1.68,10,3
random,100,5.01,10,0
bad_greedy,100,5.01,10,1
k=1,100,1.64,10,35
k=2,100,1.61,10,1717
greedy,100,1.33,10,3
random,100,4.85,10,0
bad_greedy,100,4.85,10,1
k=1,100,1.26,10,32
k=2,100,1.26,10,1467
greedy,100,1.21,10,3
random,100,4.35,10,0
bad_greedy,100,4.35,10,1
k=1,100,1.18,10,33
k=2,100,1.17,10,1571
greedy,100,1.42,10,3
random,100,4.48,10,0
bad_greedy,100,4.48,10,1
k=1,100,1.4,10,37
k=2,100,1.38,10,1749
greedy,100,0.38,20,3
random,100,4.43,20,0
bad_greedy,100,4.43,20,1
k=1,100,0.36,20,17
k=2,100,0.35,20,734
greedy,100,0.23,20,3
random,100,4.24,20,0
bad_greedy,100,4.24,20,1
k=1,100,0.21,20,14
k=2,100,0.2,20,642
greedy,100,0.28,20,3
random,100,4.52,20,0
bad_greedy,100,4.52,20,1
k=1,100,0.26,20,16
k=2,100,0.25,20,699
greedy,100,0.26,20,3
random,100,4.23,20,0
bad_greedy,100,4.23,20,1
k=1,100,0.24,20,16
k=2,100,0.24,20,728
greedy,100,0.22,20,3
random,100,4.6,20,0
bad_greedy,100,4.6,20,1
k=1,100,0.22,20,15
k=2,100,0.22,20,654
greedy,100,0.32,20,3
random,100,4.6,20,0
bad_greedy,100,4.6,20,1
k=1,100,0.31,20,15
k=2,100,0.31,20,639
greedy,100,0.44,20,3
random,100,4.61,20,0
bad_greedy,100,4.61,20,1
k=1,100,0.38,20,18
k=2,100,0.36,20,767
greedy,100,0.34,20,3
random,100,4.43,20,0
bad_greedy,100,4.43,20,1
k=1,100,0.3,20,17
k=2,100,0.29,20,776
greedy,100,0.29,20,3
random,100,4.69,20,0
bad_greedy,100,4.69,20,1
k=1,100,0.26,20,14
k=2,100,0.26,20,618
greedy,100,0.26,20,3
random,100,4.28,20,0
bad_greedy,100,4.28,20,1
k=1,100,0.25,20,15
k=2,100,0.24,20,666
greedy,100,4.3,2,3
random,100,4.64,2,0
bad_greedy,100,4.64,2,1
k=1,100,4.3,2,62
k=2,100,4.3,2,3099
greedy,100,4.63,2,3
random,100,4.63,2,0
bad_greedy,100,4.63,2,1
k=1,100,4.63,2,63
k=2,100,4.63,2,3119
greedy,100,4.58,2,3
random,100,4.78,2,0
bad_greedy,100,4.78,2,1
k=1,100,4.58,2,61
k=2,100,4.58,2,3096
greedy,100,4.32,2,3
random,100,4.48,2,0
bad_greedy,100,4.48,2,1
k=1,100,4.32,2,63
k=2,100,4.32,2,3100
greedy,100,4.52,2,4
random,100,4.69,2,0
bad_greedy,100,4.69,2,1
k=1,100,4.52,2,64
k=2,100,4.52,2,3101
greedy,100,4.26,2,3
random,100,4.48,2,0
bad_greedy,100,4.48,2,1
k=1,100,4.26,2,62
k=2,100,4.26,2,3137
greedy,100,4.24,2,3
random,100,4.3,2,0
bad_greedy,100,4.3,2,1
k=1,100,4.24,2,62
k=2,100,4.24,2,3090
greedy,100,4.07,2,3
random,100,4.35,2,0
bad_greedy,100,4.35,2,1
k=1,100,4.07,2,62
k=2,100,4.07,2,3083
greedy,100,4.6,2,3
random,100,4.71,2,0
bad_greedy,100,4.71,2,1
k=1,100,4.6,2,64
k=2,100,4.6,2,3072
greedy,100,4.32,2,3
random,100,4.67,2,0
bad_greedy,100,4.67,2,1
k=1,100,4.32,2,62
k=2,100,4.32,2,3051
greedy,100,1.26,10,3
random,100,4.56,10,0
bad_greedy,100,4.56,10,1
k=1,100,1.25,10,33
k=2,100,1.24,10,1654
greedy,100,0.98,10,4
random,100,4.22,10,0
bad_greedy,100,4.22,10,2
k=1,100,0.96,10,40
k=2,100,0.94,10,1524
greedy,100,0.98,10,5
random,100,4.31,10,0
bad_greedy,100,4.31,10,2
k=1,100,0.95,10,52
k=2,100,0.94,10,2450
greedy,100,1.2,10,4
random,100,4.39,10,0
bad_greedy,100,4.39,10,2
k=1,100,1.17,10,59
k=2,100,1.15,10,1894
greedy,100,1.52,10,3
random,100,4.68,10,0
bad_greedy,100,4.68,10,1
k=1,100,1.43,10,34
k=2,100,1.4,10,1598
greedy,100,1.26,10,3
random,100,4.53,10,0
bad_greedy,100,4.53,10,1
k=1,100,1.23,10,36
k=2,100,1.2,10,1711
greedy,100,1.3,10,3
random,100,4.54,10,0
bad_greedy,100,4.54,10,1
k=1,100,1.26,10,35
k=2,100,1.24,10,1651
greedy,100,1.3,10,3
random,100,4.68,10,0
bad_greedy,100,4.68,10,2
k=1,100,1.27,10,40
k=2,100,1.24,10,2058
greedy,100,1.43,10,3
random,100,4.55,10,0
bad_greedy,100,4.55,10,1
k=1,100,1.4,10,44
k=2,100,1.37,10,2081
greedy,100,1.25,10,3
random,100,4.72,10,0
bad_greedy,100,4.72,10,1
k=1,100,1.22,10,38
k=2,100,1.21,10,2210
greedy,100,0.34,20,3
random,100,4.34,20,0
bad_greedy,100,4.34,20,1
k=1,100,0.32,20,17
k=2,100,0.3,20,751
greedy,100,0.37,20,3
random,100,4.78,20,0
bad_greedy,100,4.78,20,1
k=1,100,0.33,20,16
k=2,100,0.31,20,730
greedy,100,0.28,20,3
random,100,4.62,20,0
bad_greedy,100,4.62,20,1
k=1,100,0.28,20,13
k=2,100,0.28,20,558
greedy,100,0.32,20,3
random,100,4.73,20,0
bad_greedy,100,4.73,20,1
k=1,100,0.32,20,15
k=2,100,0.32,20,644
greedy,100,0.23,20,3
random,100,4.36,20,0
bad_greedy,100,4.36,20,1
k=1,100,0.21,20,15
k=2,100,0.21,20,677
greedy,100,0.39,20,3
random,100,4.83,20,0
bad_greedy,100,4.83,20,1
k=1,100,0.33,20,16
k=2,100,0.31,20,723
greedy,100,0.41,20,3
random,100,4.25,20,0
bad_greedy,100,4.25,20,1
k=1,100,0.36,20,16
k=2,100,0.34,20,707
greedy,100,0.26,20,3
random,100,4.69,20,0
bad_greedy,100,4.69,20,1
k=1,100,0.24,20,14
k=2,100,0.24,20,641
greedy,100,0.38,20,3
random,100,4.46,20,0
bad_greedy,100,4.46,20,1
k=1,100,0.27,20,17
k=2,100,0.23,20,751
greedy,100,0.25,20,3
random,100,4.27,20,0
bad_greedy,100,4.27,20,1
k=1,100,0.24,20,15
k=2,100,0.24,20,679
greedy,100,3.7,3,3
random,100,4.34,3,0
bad_greedy,100,4.34,3,1
k=1,100,3.7,3,63
k=2,100,3.7,3,3054
greedy,100,4.11,3,4
random,100,4.63,3,0
bad_greedy,100,4.63,3,1
k=1,100,4.11,3,61
k=2,100,4.11,3,3047
greedy,100,4,3,3
random,100,4.59,3,0
bad_greedy,100,4.59,3,1
k=1,100,3.98,3,60
k=2,100,3.98,3,3007
greedy,100,4.07,3,3
random,100,4.52,3,0
bad_greedy,100,4.52,3,1
k=1,100,4.07,3,62
k=2,100,4.07,3,3104
greedy,100,3.64,3,3
random,100,4.3,3,0
bad_greedy,100,4.3,3,1
k=1,100,3.64,3,62
k=2,100,3.64,3,2960
greedy,100,4.06,3,3
random,100,4.51,3,0
bad_greedy,100,4.51,3,1
k=1,100,4.06,3,61
k=2,100,4.06,3,3052
greedy,100,4.23,3,3
random,100,4.75,3,0
bad_greedy,100,4.75,3,1
k=1,100,4.23,3,60
k=2,100,4.23,3,3032
greedy,100,3.9,3,3
random,100,4.54,3,0
bad_greedy,100,4.54,3,1
k=1,100,3.88,3,63
k=2,100,3.88,3,2991
greedy,100,3.94,3,3
random,100,4.44,3,0
bad_greedy,100,4.44,3,1
k=1,100,3.94,3,65
k=2,100,3.94,3,3043
greedy,100,3.61,3,3
random,100,4.38,3,0
bad_greedy,100,4.38,3,1
k=1,100,3.58,3,58
k=2,100,3.58,3,2936
greedy,100,0.54,16,3
random,100,4.58,16,0
bad_greedy,100,4.58,16,2
k=1,100,0.48,16,21
k=2,100,0.47,16,982
greedy,100,0.53,16,3
random,100,4.85,16,0
bad_greedy,100,4.85,16,1
k=1,100,0.5,16,20
k=2,100,0.48,16,911
greedy,100,0.49,16,3
random,100,4.31,16,0
bad_greedy,100,4.31,16,1
k=1,100,0.45,16,22
k=2,100,0.45,16,1031
greedy,100,0.55,16,3
random,100,4.73,16,0
bad_greedy,100,4.73,16,1
k=1,100,0.53,16,21
k=2,100,0.51,16,960
greedy,100,0.65,16,3
random,100,4.62,16,0
bad_greedy,100,4.62,16,1
k=1,100,0.63,16,22
k=2,100,0.62,16,1085
greedy,100,0.48,16,3
random,100,4.37,16,0
bad_greedy,100,4.37,16,1
k=1,100,0.46,16,19
k=2,100,0.45,16,877
greedy,100,0.46,16,3
random,100,4.37,16,0
bad_greedy,100,4.37,16,1
k=1,100,0.45,16,20
k=2,100,0.44,16,1063
greedy,100,0.67,16,3
random,100,4.7,16,0
bad_greedy,100,4.7,16,1
k=1,100,0.62,16,19
k=2,100,0.59,16,901
greedy,100,0.55,16,3
random,100,4.85,16,0
bad_greedy,100,4.85,16,1
k=1,100,0.52,16,21
k=2,100,0.52,16,872
greedy,100,0.66,16,3
random,100,4.63,16,0
bad_greedy,100,4.63,16,1
k=1,100,0.65,16,21
k=2,100,0.64,16,962
greedy,100,0.95,11,3
random,100,4.42,11,0
bad_greedy,100,4.42,11,2
k=1,100,0.9,11,31
k=2,100,0.88,11,1481
greedy,100,1.14,11,3
random,100,4.63,11,0
bad_greedy,100,4.63,11,1
k=1,100,1.05,11,30
k=2,100,1.03,11,1468
greedy,100,0.98,11,3
random,100,4.65,11,0
bad_greedy,100,4.65,11,1
k=1,100,0.94,11,28
k=2,100,0.91,11,1329
greedy,100,1.22,11,3
random,100,4.64,11,0
bad_greedy,100,4.64,11,1
k=1,100,1.2,11,32
k=2,100,1.19,11,1530
greedy,100,0.97,11,3
random,100,4,11,0
bad_greedy,100,4,11,1
k=1,100,0.92,11,29
k=2,100,0.92,11,1419
greedy,100,1.05,11,3
random,100,4.58,11,0
bad_greedy,100,4.58,11,1
k=1,100,1.01,11,27
k=2,100,0.98,11,1371
greedy,100,1.26,11,3
random,100,4.5,11,0
bad_greedy,100,4.5,11,1
k=1,100,1.16,11,31
k=2,100,1.14,11,1509
greedy,100,1.21,11,3
random,100,4.75,11,0
bad_greedy,100,4.75,11,1
k=1,100,1.2,11,32
k=2,100,1.19,11,1501
greedy,100,1.12,11,3
random,100,4.35,11,0
bad_greedy,100,4.35,11,1
k=1,100,1.08,11,33
k=2,100,1.08,11,1608
greedy,100,1.13,11,3
random,100,4.54,11,0
bad_greedy,100,4.54,11,1
k=1,100,1.1,11,32
k=2,100,1.08,11,1499
greedy,100,0.51,17,3
random,100,4.76,17,0
bad_greedy,100,4.76,17,1
k=1,100,0.51,17,17
k=2,100,0.5,17,793
greedy,100,0.39,17,3
random,100,4.57,17,0
bad_greedy,100,4.57,17,1
k=1,100,0.37,17,18
k=2,100,0.36,17,828
greedy,100,0.5,17,3
random,100,4.58,17,0
bad_greedy,100,4.58,17,1
k=1,100,0.46,17,21
k=2,100,0.44,17,891
greedy,100,0.39,17,3
random,100,4.12,17,0
bad_greedy,100,4.12,17,1
k=1,100,0.37,17,20
k=2,100,0.36,17,932
greedy,100,0.41,17,3
random,100,4.37,17,0
bad_greedy,100,4.37,17,1
k=1,100,0.38,17,19
k=2,100,0.35,17,834
greedy,100,0.5,17,3
random,100,4.88,17,0
bad_greedy,100,4.88,17,1
k=1,100,0.48,17,19
k=2,100,0.46,17,858
greedy,100,0.46,17,3
random,100,4.53,17,0
bad_greedy,100,4.53,17,1
k=1,100,0.41,17,20
k=2,100,0.41,17,864
greedy,100,0.56,17,3
random,100,4.71,17,0
bad_greedy,100,4.71,17,1
k=1,100,0.55,17,18
k=2,100,0.53,17,832
greedy,100,0.57,17,3
random,100,4.55,17,0
bad_greedy,100,4.55,17,1
k=1,100,0.56,17,20
k=2,100,0.54,17,918
greedy,100,0.41,17,3
random,100,4.64,17,0
bad_greedy,100,4.64,17,1
k=1,100,0.4,17,17
k=2,100,0.39,17,782
greedy,100,2.82,4,3
random,100,4.15,4,0
bad_greedy,100,4.15,4,1
k=1,100,2.82,4,55
k=2,100,2.82,4,2741
greedy,100,3.28,4,3
random,100,4.34,4,0
bad_greedy,100,4.34,4,1
k=1,100,3.25,4,56
k=2,100,3.24,4,2823
greedy,100,3.56,4,3
random,100,4.57,4,0
bad_greedy,100,4.57,4,1
k=1,100,3.54,4,57
k=2,100,3.54,4,2872
greedy,100,3.46,4,3
random,100,4.24,4,0
bad_greedy,100,4.24,4,1
k=1,100,3.46,4,59
k=2,100,3.46,4,2883
greedy,100,3.56,4,3
random,100,4.39,4,0
bad_greedy,100,4.39,4,1
k=1,100,3.56,4,57
k=2,100,3.56,4,2895
greedy,100,3.32,4,3
random,100,4.26,4,0
bad_greedy,100,4.26,4,1
k=1,100,3.3,4,58
k=2,100,3.29,4,2823
greedy,100,3.54,4,3
random,100,4.49,4,0
bad_greedy,100,4.49,4,1
k=1,100,3.5,4,58
k=2,100,3.5,4,2978
greedy,100,3.35,4,3
random,100,4.61,4,0
bad_greedy,100,4.61,4,1
k=1,100,3.35,4,58
k=2,100,3.35,4,2764
greedy,100,4.28,4,3
random,100,5.13,4,0
bad_greedy,100,5.13,4,1
k=1,100,4.26,4,60
k=2,100,4.26,4,2909
greedy,100,3.5,4,3
random,100,4.54,4,0
bad_greedy,100,4.54,4,1
k=1,100,3.5,4,58
k=2,100,3.5,4,2943
greedy,100,3.04,6,3
random,100,4.87,6,0
bad_greedy,100,4.87,6,1
k=1,100,3.04,6,50
k=2,100,3.04,6,2527
greedy,100,2.86,6,3
random,100,4.64,6,0
bad_greedy,100,4.64,6,1
k=1,100,2.8,6,54
k=2,100,2.79,6,2828
greedy,100,2.45,6,3
random,100,4.42,6,0
bad_greedy,100,4.42,6,1
k=1,100,2.41,6,50
k=2,100,2.38,6,2554
greedy,100,2.7,6,3
random,100,4.39,6,0
bad_greedy,100,4.39,6,1
k=1,100,2.66,6,52
k=2,100,2.63,6,2601
greedy,99,2.59596,6,3
random,100,4.21,6,0
bad_greedy,100,4.21,6,1
k=1,100,2.56,6,51
k=2,100,2.52,6,2471
greedy,100,2.44,6,3
random,100,4.29,6,0
bad_greedy,100,4.29,6,1
k=1,100,2.42,6,52
k=2,100,2.41,6,2508
greedy,100,2.24,6,3
random,100,4.48,6,0
bad_greedy,100,4.48,6,1
k=1,100,2.19,6,48
k=2,100,2.19,6,2295
greedy,100,2.69,6,3
random,100,4.67,6,0
bad_greedy,100,4.67,6,1
k=1,100,2.68,6,51
k=2,100,2.68,6,2454
greedy,100,2.31,6,3
random,100,4.36,6,0
bad_greedy,100,4.36,6,1
k=1,100,2.27,6,47
k=2,100,2.25,6,2270
greedy,100,2.41,6,3
random,100,4.25,6,0
bad_greedy,100,4.25,6,1
k=1,100,2.38,6,49
k=2,100,2.36,6,2447
greedy,100,3.22,5,3
random,100,4.78,5,0
bad_greedy,100,4.78,5,1
k=1,100,3.19,5,53
k=2,100,3.17,5,2863
greedy,100,3.22,5,3
random,100,4.61,5,0
bad_greedy,100,4.61,5,1
k=1,100,3.19,5,72
k=2,100,3.17,5,3021
greedy,100,3.43,5,4
random,100,4.46,5,0
bad_greedy,100,4.46,5,1
k=1,100,3.43,5,59
k=2,100,3.43,5,2871
greedy,100,3.05,5,3
random,100,4.74,5,0
bad_greedy,100,4.74,5,2
k=1,100,3.02,5,77
k=2,100,3.01,5,3766
greedy,100,3.17,5,4
random,100,4.5,5,0
bad_greedy,100,4.5,5,1
k=1,100,3.14,5,65
k=2,100,3.14,5,2786
greedy,99,3.45455,5,3
random,100,4.71,5,0
bad_greedy,100,4.71,5,1
k=1,100,3.41,5,56
k=2,100,3.38,5,2734
greedy,99,2.77778,5,3
random,100,4.29,5,0
bad_greedy,100,4.29,5,1
k=1,100,2.74,5,51
k=2,100,2.71,5,2556
greedy,100,3.03,5,4
random,100,4.37,5,0
bad_greedy,100,4.37,5,2
k=1,100,3,5,92
k=2,100,2.97,5,3301
greedy,100,3.06,5,4
random,100,4.45,5,0
bad_greedy,100,4.45,5,1
k=1,100,3.06,5,87
k=2,100,3.06,5,3382
greedy,100,3.07,5,5
random,100,4.67,5,0
bad_greedy,100,4.67,5,1
k=1,100,3.06,5,69
k=2,100,3.04,5,3167
greedy,100,0.86,14,3
random,100,4.83,14,0
bad_greedy,100,4.83,14,1
k=1,100,0.8,14,26
k=2,100,0.77,14,1202
greedy,100,0.92,14,3
random,100,5.15,14,0
bad_greedy,100,5.15,14,1
k=1,100,0.87,14,25
k=2,100,0.84,14,1179
greedy,100,0.44,14,3
random,100,4.29,14,0
bad_greedy,100,4.29,14,1
k=1,100,0.41,14,22
k=2,100,0.41,14,987
greedy,100,0.74,14,3
random,100,4.44,14,0
bad_greedy,100,4.44,14,1
k=1,100,0.67,14,27
k=2,100,0.63,14,1231
greedy,100,0.67,14,3
random,100,4.85,14,0
bad_greedy,100,4.85,14,1
k=1,100,0.65,14,22
k=2,100,0.65,14,999
greedy,100,0.7,14,3
random,100,4.37,14,0
bad_greedy,100,4.37,14,1
k=1,100,0.66,14,25
k=2,100,0.64,14,1073
greedy,100,0.56,14,3
random,100,4.32,14,0
bad_greedy,100,4.32,14,1
k=1,100,0.54,14,24
k=2,100,0.54,14,1266
greedy,100,0.71,14,3
random,100,4.49,14,0
bad_greedy,100,4.49,14,1
k=1,100,0.68,14,25
k=2,100,0.65,14,1171
greedy,100,0.64,14,3
random,100,4.23,14,0
bad_greedy,100,4.23,14,1
k=1,100,0.63,14,23
k=2,100,0.62,14,1087
greedy,100,0.76,14,3
random,100,4.59,14,0
bad_greedy,100,4.59,14,1
k=1,100,0.7,14,25
k=2,100,0.68,14,1186
greedy,100,2.36,7,3
random,100,4.58,7,0
bad_greedy,100,4.58,7,1
k=1,100,2.34,7,47
k=2,100,2.33,7,2301
greedy,100,2.23,7,3
random,100,4.43,7,0
bad_greedy,100,4.43,7,1
k=1,100,2.2,7,46
k=2,100,2.19,7,2245
greedy,100,2.37,7,3
random,100,4.53,7,0
bad_greedy,100,4.53,7,1
k=1,100,2.35,7,47
k=2,100,2.34,7,2376
greedy,100,2.77,7,3
random,100,4.81,7,0
bad_greedy,100,4.81,7,1
k=1,100,2.7,7,50
k=2,100,2.67,7,2395
greedy,100,1.99,7,3
random,100,4.17,7,0
bad_greedy,100,4.17,7,1
k=1,100,1.97,7,51
k=2,100,1.96,7,2242
greedy,100,2.67,7,3
random,100,4.38,7,0
bad_greedy,100,4.38,7,1
k=1,100,2.67,7,52
k=2,100,2.67,7,2547
greedy,99,2.42424,7,3
random,100,4.42,7,0
bad_greedy,100,4.42,7,1
k=1,100,2.39,7,46
k=2,100,2.36,7,2302
greedy,100,1.9,7,3
random,100,4.13,7,0
bad_greedy,100,4.13,7,1
k=1,100,1.85,7,47
k=2,100,1.83,7,2188
greedy,100,2.37,7,3
random,100,4.34,7,0
bad_greedy,100,4.34,7,1
k=1,100,2.33,7,49
k=2,100,2.3,7,2338
greedy,99,2.37374,7,3
random,100,4.76,7,0
bad_greedy,100,4.76,7,1
k=1,100,2.3,7,45
k=2,100,2.27,7,2191
greedy,100,0.72,14,3
random,100,4.8,14,0
bad_greedy,100,4.8,14,1
k=1,100,0.67,14,24
k=2,100,0.64,14,1120
greedy,100,0.82,14,4
random,100,4.32,14,0
bad_greedy,100,4.32,14,1
k=1,100,0.76,14,26
k=2,100,0.74,14,1237
greedy,100,0.72,14,3
random,100,4.82,14,0
bad_greedy,100,4.82,14,1
k=1,100,0.7,14,23
k=2,100,0.7,14,1084
greedy,100,0.76,14,3
random,100,4.5,14,0
bad_greedy,100,4.5,14,1
k=1,100,0.72,14,25
k=2,100,0.69,14,1148
greedy,100,0.65,14,3
random,100,4.78,14,0
bad_greedy,100,4.78,14,1
k=1,100,0.61,14,22
k=2,100,0.58,14,1033
greedy,100,0.53,14,3
random,100,4.32,14,0
bad_greedy,100,4.32,14,1
k=1,100,0.53,14,20
k=2,100,0.53,14,929
greedy,100,0.62,14,3
random,100,4.79,14,0
bad_greedy,100,4.79,14,1
k=1,100,0.58,14,22
k=2,100,0.56,14,1000
greedy,100,0.57,14,4
random,100,4.25,14,0
bad_greedy,100,4.25,14,1
k=1,100,0.55,14,24
k=2,100,0.55,14,1094
greedy,100,0.77,14,3
random,100,4.44,14,0
bad_greedy,100,4.44,14,1
k=1,100,0.75,14,25
k=2,100,0.72,14,1133
greedy,100,0.76,14,3
random,100,4.52,14,0
bad_greedy,100,4.52,14,1
k=1,100,0.72,14,25
k=2,100,0.69,14,1181
greedy,100,0.8,15,3
random,100,4.59,15,0
bad_greedy,100,4.59,15,1
k=1,100,0.76,15,25
k=2,100,0.74,15,1142
greedy,100,0.55,15,3
random,100,4.45,15,0
bad_greedy,100,4.45,15,1
k=1,100,0.52,15,21
k=2,100,0.49,15,1043
greedy,100,0.47,15,4
random,100,4.17,15,0
bad_greedy,100,4.17,15,1
k=1,100,0.45,15,24
k=2,100,0.44,15,1127
greedy,100,0.45,15,3
random,100,4.4,15,0
bad_greedy,100,4.4,15,1
k=1,100,0.45,15,22
k=2,100,0.44,15,924
greedy,100,0.75,15,3
random,100,4.84,15,0
bad_greedy,100,4.84,15,1
k=1,100,0.7,15,22
k=2,100,0.67,15,1090
greedy,100,0.7,15,3
random,100,4.72,15,0
bad_greedy,100,4.72,15,1
k=1,100,0.67,15,26
k=2,100,0.65,15,1217
greedy,100,0.63,15,3
random,100,4.73,15,0
bad_greedy,100,4.73,15,1
k=1,100,0.63,15,34
k=2,100,0.61,15,1082
greedy,100,0.64,15,3
random,100,4.3,15,0
bad_greedy,100,4.3,15,1
k=1,100,0.62,15,24
k=2,100,0.6,15,1180
greedy,100,0.66,15,3
random,100,4.49,15,0
bad_greedy,100,4.49,15,1
k=1,100,0.64,15,24
k=2,100,0.62,15,1096
greedy,100,0.46,15,3
random,100,4.47,15,0
bad_greedy,100,4.47,15,1
k=1,100,0.46,15,22
k=2,100,0.46,15,1017
greedy,100,0.2,20,3
random,100,4.09,20,0
bad_greedy,100,4.09,20,1
k=1,100,0.19,20,15
k=2,100,0.19,20,667
greedy,100,0.22,20,3
random,100,4.27,20,0
bad_greedy,100,4.27,20,1
k=1,100,0.2,20,15
k=2,100,0.2,20,668
greedy,100,0.29,20,3
random,100,4.24,20,0
bad_greedy,100,4.24,20,1
k=1,100,0.26,20,16
k=2,100,0.24,20,725
greedy,100,0.31,20,3
random,100,4.51,20,0
bad_greedy,100,4.51,20,1
k=1,100,0.27,20,17
k=2,100,0.26,20,731
greedy,100,0.36,20,3
random,100,4.83,20,0
bad_greedy,100,4.83,20,1
k=1,100,0.33,20,16
k=2,100,0.31,20,687
greedy,100,0.24,20,3
random,100,4.8,20,0
bad_greedy,100,4.8,20,1
k=1,100,0.2,20,14
k=2,100,0.2,20,598
greedy,100,0.28,20,3
random,100,4.47,20,0
bad_greedy,100,4.47,20,1
k=1,100,0.24,20,16
k=2,100,0.22,20,718
greedy,100,0.45,20,3
random,100,4.77,20,0
bad_greedy,100,4.77,20,1
k=1,100,0.37,20,17
k=2,100,0.35,20,726
greedy,100,0.31,20,3
random,100,4.46,20,0
bad_greedy,100,4.46,20,1
k=1,100,0.29,20,15
k=2,100,0.29,20,662
greedy,100,0.31,20,3
random,100,4.42,20,0
bad_greedy,100,4.42,20,1
k=1,100,0.29,20,17
k=2,100,0.28,20,697
greedy,100,1.21,10,3
random,100,4.7,10,0
bad_greedy,100,4.7,10,1
k=1,100,1.17,10,30
k=2,100,1.14,10,1489
greedy,100,1.3,10,3
random,100,4.47,10,0
bad_greedy,100,4.47,10,1
k=1,100,1.27,10,36
k=2,100,1.25,10,1767
greedy,100,1.42,10,3
random,100,4.57,10,0
bad_greedy,100,4.57,10,1
k=1,100,1.35,10,35
k=2,100,1.32,10,1680
greedy,100,1.25,10,3
random,100,4.53,10,0
bad_greedy,100,4.53,10,1
k=1,100,1.22,10,36
k=2,100,1.2,10,1795
greedy,100,1.46,10,3
random,100,4.52,10,0
bad_greedy,100,4.52,10,1
k=1,100,1.39,10,43
k=2,100,1.37,10,2037
greedy,100,1.29,10,3
random,100,4.41,10,0
bad_greedy,100,4.41,10,1
k=1,100,1.25,10,33
k=2,100,1.24,10,1573
greedy,100,1.23,10,3
random,100,4.36,10,0
bad_greedy,100,4.36,10,1
k=1,100,1.21,10,34
k=2,100,1.19,10,1667
greedy,100,1.43,10,3
random,100,4.79,10,0
bad_greedy,100,4.79,10,1
k=1,100,1.4,10,35
k=2,100,1.37,10,1691
greedy,100,1.4,10,3
random,100,4.51,10,0
bad_greedy,100,4.51,10,1
k=1,100,1.36,10,36
k=2,100,1.33,10,2418
greedy,100,1.36,10,3
random,100,4.6,10,0
bad_greedy,100,4.6,10,1
k=1,100,1.3,10,37
k=2,100,1.27,10,1882
greedy,100,4.76,1,3
random,100,4.76,1,0
bad_greedy,100,4.76,1,1
k=1,100,4.76,1,64
k=2,100,4.76,1,3137
greedy,100,4.25,1,3
random,100,4.25,1,0
bad_greedy,100,4.25,1,1
k=1,100,4.25,1,64
k=2,100,4.25,1,3133
greedy,100,4.84,1,3
random,100,4.84,1,0
bad_greedy,100,4.84,1,1
k=1,100,4.84,1,64
k=2,100,4.84,1,3095
greedy,99,4.54545,1,3
random,100,4.55,1,0
bad_greedy,100,4.55,1,1
k=1,100,4.49,1,63
k=2,100,4.49,1,3087
greedy,99,4.73737,1,3
random,100,4.68,1,0
bad_greedy,100,4.68,1,1
k=1,100,4.68,1,64
k=2,100,4.68,1,3111
greedy,100,4.41,1,3
random,100,4.49,1,0
bad_greedy,100,4.49,1,1
k=1,100,4.41,1,63
k=2,100,4.41,1,3139
greedy,100,4.44,1,3
random,100,4.44,1,0
bad_greedy,100,4.44,1,1
k=1,100,4.44,1,64
k=2,100,4.44,1,3139
greedy,100,4.54,1,3
random,100,4.54,1,0
bad_greedy,100,4.54,1,1
k=1,100,4.54,1,64
k=2,100,4.54,1,3128
greedy,100,4.55,1,3
random,100,4.58,1,0
bad_greedy,100,4.58,1,1
k=1,100,4.55,1,63
k=2,100,4.55,1,3186
greedy,99,4.77778,1,4
random,100,4.72,1,0
bad_greedy,100,4.72,1,1
k=1,100,4.72,1,76
k=2,100,4.72,1,3599
greedy,100,0.52,16,3
random,100,4.74,16,0
bad_greedy,100,4.74,16,1
