budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,82.62,1.1968989,1.07,97.71,0.9886210899999994,3.1,98.22,0.9764742799999996,34.14,98.49,0.9717265799999997,1612.58,66.38,1.5153389,0.0
200.0,94.58,2.0950025,1.1,100.0,1.1127000000000005,3.09,100.0,1.0776000000000003,33.44,100.0,1.0591000000000002,1585.29,87.79,2.2818402,0.0
300.0,98.45,3.0205068,1.07,100.0,1.0913000000000002,3.07,100.0,1.0527000000000002,31.93,100.0,1.0332000000000001,1517.63,96.48,3.1091161000000005,0.0
400.0,99.68,3.975077400000001,1.03,100.0,1.1077,3.08,100.0,1.0696,32.36,100.0,1.0491,1531.82,99.36,4.020273400000001,0.0
500.0,100.0,4.510299999999999,1.05,100.0,1.106,3.05,100.0,1.0686000000000002,32.18,100.0,1.0489,1509.15,100.0,4.511599999999999,0.01
600.0,100.0,4.5028,1.11,100.0,1.1093000000000004,3.07,100.0,1.0707,32.51,100.0,1.0499999999999998,1558.37,100.0,4.5028,0.0
700.0,100.0,4.5083,1.07,100.0,1.0887000000000002,3.11,100.0,1.0560000000000003,32.64,100.0,1.0377000000000003,1542.79,100.0,4.5083,0.0
800.0,100.0,4.502000000000002,1.04,100.0,1.0873999999999997,3.07,100.0,1.0542000000000002,31.84,100.0,1.0363999999999998,1498.4,100.0,4.502000000000002,0.0
900.0,100.0,4.4761000000000015,1.08,100.0,1.0807999999999995,3.07,100.0,1.0457999999999996,32.59,100.0,1.0267,1525.62,100.0,4.4761000000000015,0.0
1000.0,100.0,4.5108,1.07,99.97,1.1014252000000002,3.15,100.0,1.0649000000000002,33.45,100.0,1.0445999999999993,1589.56,100.0,4.5108,0.0
1100.0,100.0,4.5055000000000005,1.03,99.99,1.1018091000000005,3.03,100.0,1.0652,31.99,100.0,1.0450000000000006,1516.85,100.0,4.5055000000000005,0.0
1200.0,100.0,4.458800000000001,1.03,99.98,1.0654222000000002,3.1,100.0,1.0320000000000003,32.3,100.0,1.0129000000000001,1524.38,100.0,4.458800000000001,0.0
1300.0,100.0,4.5098,1.03,99.99,1.0961384,3.05,100.0,1.0596000000000003,31.54,100.0,1.0392000000000001,1514.66,100.0,4.5098,0.0
1400.0,100.0,4.509000000000003,1.05,100.0,1.1017000000000001,3.01,100.0,1.0652999999999997,31.54,100.0,1.0453999999999999,1504.65,100.0,4.509000000000003,0.0
1500.0,100.0,4.526600000000001,1.1,99.99,1.1072283,3.06,100.0,1.0708000000000002,32.89,100.0,1.052,1563.49,100.0,4.526600000000001,0.0
1600.0,100.0,4.512,1.05,100.0,1.0925999999999998,3.07,100.0,1.0583000000000002,33.03,100.0,1.0395999999999996,1545.5,100.0,4.512,0.0
1700.0,100.0,4.491399999999999,1.06,100.0,1.089,3.05,100.0,1.0557999999999998,32.19,100.0,1.0371000000000001,1519.26,100.0,4.491399999999999,0.0
1800.0,100.0,4.492899999999999,1.06,100.0,1.0965999999999996,3.07,100.0,1.0587000000000004,32.25,100.0,1.0394000000000003,1526.34,100.0,4.492899999999999,0.0
1900.0,100.0,4.483700000000002,1.12,100.0,1.0892,3.08,100.0,1.0535,33.47,100.0,1.0348999999999997,1567.51,100.0,4.483700000000002,0.0
2000.0,100.0,4.5171,1.11,99.99,1.1108393999999995,3.1,100.0,1.0724,32.94,100.0,1.0534999999999999,1562.06,100.0,4.5171,0.0
2100.0,100.0,4.5054,1.01,100.0,1.1036999999999997,3.11,100.0,1.0673,32.04,100.0,1.0479999999999996,1523.53,100.0,4.5054,0.0
2200.0,100.0,4.496400000000001,1.11,100.0,1.0968999999999998,3.12,100.0,1.0587000000000004,33.27,100.0,1.0399,1555.92,100.0,4.496400000000001,0.0
2300.0,100.0,4.5371,1.13,100.0,1.0998999999999997,3.11,100.0,1.0666000000000007,32.87,100.0,1.0487000000000004,1579.28,100.0,4.5371,0.0
2400.0,100.0,4.501100000000002,1.1,100.0,1.1158,3.09,100.0,1.0798999999999999,33.61,100.0,1.0590999999999997,1600.27,100.0,4.501100000000002,0.0
2500.0,100.0,4.53,1.13,100.0,1.1099000000000003,3.14,100.0,1.0724,32.76,100.0,1.0537999999999996,1556.9,100.0,4.53,0.0
2600.0,100.0,4.497199999999999,1.07,99.98,1.0982131700000002,3.09,100.0,1.0637,33.74,100.0,1.0453000000000001,1535.56,100.0,4.497199999999999,0.0
2700.0,100.0,4.498200000000001,1.02,99.99,1.0878808099999997,3.09,100.0,1.0543000000000002,32.16,100.0,1.0373999999999997,1516.9,100.0,4.498200000000001,0.0
2800.0,100.0,4.526000000000002,1.04,99.98,1.1120333999999998,3.03,100.0,1.0749999999999995,31.98,100.0,1.0568999999999995,1514.71,100.0,4.526000000000002,0.0
2900.0,100.0,4.470699999999999,1.02,99.99,1.0954979800000002,3.08,100.0,1.0598999999999996,32.43,100.0,1.0415999999999996,1528.89,100.0,4.470699999999999,0.0
