algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
random,2100,40,51.35,4,11,0
bad_greedy,2100,53,39.5849,4,11,1
k=1,2100,76,26.9737,4,11,40
k=2,2100,76,26.9605,4,11,1911
greedy,2100,100,7.6,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7.4,2,11,34
k=2,2100,100,7.4,2,11,1616
greedy,2100,100,0.95,3,11,4
random,2100,100,4.45,3,11,0
bad_greedy,2100,100,4.45,3,11,1
k=1,2100,100,0.95,3,11,28
k=2,2100,100,0.92,3,11,1368
greedy,2100,68,29.8824,4,11,3
random,2100,40,51.55,4,11,0
bad_greedy,2100,48,41.6458,4,11,1
k=1,2100,68,29.8824,4,11,54
k=2,2100,68,29.8824,4,11,2662
greedy,2100,100,7.6,2,11,4
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7.6,2,11,33
k=2,2100,100,7.6,2,11,1644
greedy,2100,100,1.02,3,11,3
random,2100,100,4.62,3,11,0
bad_greedy,2100,100,4.62,3,11,1
k=1,2100,100,0.98,3,11,33
k=2,2100,100,0.96,3,11,1487
greedy,2100,82,25.2073,4,11,3
random,2100,32,65.5625,4,11,0
bad_greedy,2100,52,39.9038,4,11,1
k=1,2100,82,25.1098,4,11,37
k=2,2100,82,25.1098,4,11,1825
greedy,2100,100,8,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7.8,2,11,35
k=2,2100,100,7.8,2,11,1662
greedy,2100,100,1.15,3,11,3
random,2100,100,4.78,3,11,0
bad_greedy,2100,100,4.78,3,11,1
k=1,2100,100,1.15,3,11,31
k=2,2100,100,1.11,3,11,1485
greedy,2100,72,28.7778,4,11,3
random,2100,42,49.5476,4,11,0
bad_greedy,2100,50,41.56,4,11,1
k=1,2100,73,28.726,4,11,43
k=2,2100,73,28.726,4,11,2125
greedy,2100,100,7.2,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7,2,11,32
k=2,2100,100,7,2,11,1531
greedy,2100,100,1.16,3,11,3
random,2100,100,4.54,3,11,0
bad_greedy,2100,100,4.54,3,11,1
k=1,2100,100,1.03,3,11,31
k=2,2100,100,0.95,3,11,1473
greedy,2100,73,28.7123,4,11,4
random,2100,46,44.6957,4,11,0
bad_greedy,2100,57,35.5263,4,11,1
k=1,2100,73,28.7123,4,11,48
k=2,2100,73,28.7123,4,11,2512
greedy,2100,100,7.6,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7.4,2,11,33
k=2,2100,100,7.2,2,11,1602
greedy,2100,100,1.18,3,11,3
random,2100,100,4.8,3,11,0
bad_greedy,2100,100,4.8,3,11,1
k=1,2100,100,1.18,3,11,30
k=2,2100,100,1.15,3,11,1452
greedy,2100,70,29.7286,4,11,3
random,2100,32,65.625,4,11,0
bad_greedy,2100,52,38.9231,4,11,2
k=1,2100,70,29.4,4,11,51
k=2,2100,70,29.3286,4,11,2491
greedy,2100,100,7,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,6.8,2,11,37
k=2,2100,100,6.8,2,11,1607
greedy,2100,100,1.29,3,11,3
random,2100,100,4.51,3,11,0
bad_greedy,2100,100,4.51,3,11,1
k=1,2100,100,1.26,3,11,34
k=2,2100,100,1.24,3,11,1553
greedy,2100,75,27.52,4,11,3
random,2100,48,43.0208,4,11,0
bad_greedy,2100,54,38.5,4,11,1
k=1,2100,75,26.8533,4,11,46
k=2,2100,75,26.8533,4,11,2244
greedy,2100,100,7.4,2,11,3
random,2100,100,20,2,11,0
