algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
random,1500,100,4.14,3,10,0
bad_greedy,1500,100,4.14,3,10,1
k=1,1500,100,1.21,3,10,38
k=2,1500,100,1.18,3,10,1764
greedy,1500,59,25.339,4,10,3
random,1500,24,60.5417,4,10,0
bad_greedy,1500,37,40.2432,4,10,1
k=1,1500,59,25.339,4,10,53
k=2,1500,59,25.339,4,10,2586
greedy,1500,100,9.4,2,10,3
random,1500,90,16.6667,2,10,0
bad_greedy,1500,84,17.8571,2,10,1
k=1,1500,100,9.2,2,10,39
k=2,1500,100,9.2,2,10,1908
greedy,1500,100,1.31,3,10,3
random,1500,100,4.26,3,10,0
bad_greedy,1500,100,4.26,3,10,1
k=1,1500,100,1.28,3,10,35
k=2,1500,100,1.25,3,10,1649
greedy,1500,62,23.6452,4,10,3
random,1500,29,51.3103,4,10,0
bad_greedy,1500,29,50.9655,4,10,1
k=1,1500,62,23.2097,4,10,47
k=2,1500,62,23.2097,4,10,2410
greedy,1500,100,8.4,2,10,3
random,1500,92,16.3043,2,10,0
bad_greedy,1500,85,17.6471,2,10,1
k=1,1500,100,8.4,2,10,36
k=2,1500,100,8.4,2,10,1706
greedy,1500,100,1.68,3,10,3
random,1500,100,5.01,3,10,0
bad_greedy,1500,100,5.01,3,10,1
k=1,1500,100,1.64,3,10,35
k=2,1500,100,1.61,3,10,1717
greedy,1500,61,24.1148,4,10,3
random,1500,30,49.8,4,10,0
bad_greedy,1500,36,38.9167,4,10,1
k=1,1500,61,24.1148,4,10,50
k=2,1500,61,24.1148,4,10,2461
greedy,1500,100,9,2,10,3
random,1500,96,15.625,2,10,0
bad_greedy,1500,80,18.75,2,10,1
k=1,1500,100,8.8,2,10,38
k=2,1500,100,8.6,2,10,1796
greedy,1500,100,1.33,3,10,3
random,1500,100,4.85,3,10,0
bad_greedy,1500,100,4.85,3,10,1
k=1,1500,100,1.26,3,10,32
k=2,1500,100,1.26,3,10,1467
greedy,1500,60,25,4,10,4
random,1500,31,47.3226,4,10,0
bad_greedy,1500,37,38.9459,4,10,1
k=1,1500,60,24.1167,4,10,50
k=2,1500,60,24.1167,4,10,2402
greedy,1500,100,7.8,2,10,3
random,1500,97,15.4639,2,10,0
bad_greedy,1500,85,17.6471,2,10,1
k=1,1500,100,7.8,2,10,34
k=2,1500,100,7.8,2,10,1610
greedy,1500,100,1.21,3,10,3
random,1500,100,4.35,3,10,0
bad_greedy,1500,100,4.35,3,10,1
k=1,1500,100,1.18,3,10,33
k=2,1500,100,1.17,3,10,1571
greedy,1500,61,24.3607,4,10,3
random,1500,38,38.8684,4,10,0
bad_greedy,1500,36,41.1944,4,10,1
k=1,1500,61,24.3607,4,10,50
k=2,1500,61,24.3607,4,10,2359
greedy,1500,100,9.2,2,10,3
random,1500,89,16.8539,2,10,0
bad_greedy,1500,82,18.2927,2,10,1
k=1,1500,100,9,2,10,40
k=2,1500,100,9,2,10,1853
greedy,1500,100,1.42,3,10,3
random,1500,100,4.48,3,10,0
bad_greedy,1500,100,4.48,3,10,1
k=1,1500,100,1.4,3,10,37
k=2,1500,100,1.38,3,10,1749
greedy,1500,65,22.8923,4,10,3
random,1500,33,44.303,4,10,0
bad_greedy,1500,43,32.8372,4,10,1
k=1,1500,65,22.5538,4,10,47
k=2,1500,65,22.4154,4,10,2304
greedy,1500,100,3.4,2,20,6
random,1500,99,15.1515,2,20,0
bad_greedy,1500,95,15.7895,2,20,1
k=1,1500,100,3,2,20,17
k=2,1500,100,3,2,20,762
greedy,1500,100,0.38,3,20,3
random,1500,100,4.43,3,20,0
bad_greedy,1500,100,4.43,3,20,1
k=1,1500,100,0.36,3,20,17
k=2,1500,100,0.35,3,20,734
greedy,1500,89,16.6067,4,20,3
random,1500,66,22.6364,4,20,0
bad_greedy,1500,61,24.2131,4,20,1
k=1,1500,90,16.5,4,20,38
k=2,1500,90,16.4111,4,20,1899
greedy,1500,100,4.6,2,20,3
random,1500,96,15.625,2,20,0
bad_greedy,1500,93,16.129,2,20,1
k=1,1500,100,4,2,20,21
k=2,1500,100,4,2,20,950
greedy,1500,100,0.23,3,20,3
random,1500,100,4.24,3,20,0
bad_greedy,1500,100,4.24,3,20,1
k=1,1500,100,0.21,3,20,14
k=2,1500,100,0.2,3,20,642
greedy,1500,88,16.0682,4,20,3
random,1500,61,23.9672,4,20,0
bad_greedy,1500,51,28.5294,4,20,1
k=1,1500,89,16.1798,4,20,33
k=2,1500,89,15.9888,4,20,1543
greedy,1500,100,3.2,2,20,3
random,1500,100,15,2,20,0
bad_greedy,1500,94,15.9574,2,20,1
k=1,1500,100,3,2,20,15
k=2,1500,100,3,2,20,692
greedy,1500,100,0.28,3,20,3
random,1500,100,4.52,3,20,0
bad_greedy,1500,100,4.52,3,20,1
k=1,1500,100,0.26,3,20,16
k=2,1500,100,0.25,3,20,699
greedy,1500,93,15.5376,4,20,3
random,1500,59,24.7966,4,20,0
bad_greedy,1500,61,23.1803,4,20,1
k=1,1500,93,15.5376,4,20,35
k=2,1500,93,15.5376,4,20,1687
greedy,1500,100,3,2,20,3
random,1500,99,15.1515,2,20,0
bad_greedy,1500,91,16.4835,2,20,1
k=1,1500,100,3,2,20,16
k=2,1500,100,3,2,20,737
greedy,1500,100,0.26,3,20,3
random,1500,100,4.23,3,20,0
bad_greedy,1500,100,4.23,3,20,1
k=1,1500,100,0.24,3,20,16
k=2,1500,100,0.24,3,20,728
greedy,1500,90,16.3556,4,20,3
random,1500,64,22.6875,4,20,0
bad_greedy,1500,57,25.6316,4,20,1
k=1,1500,91,16.3626,4,20,27
k=2,1500,91,16.3626,4,20,1276
greedy,1500,100,3.6,2,20,3
random,1500,98,15.3061,2,20,0
bad_greedy,1500,89,16.8539,2,20,1
k=1,1500,100,3.6,2,20,18
k=2,1500,100,3.6,2,20,824
greedy,1500,100,0.22,3,20,3
random,1500,100,4.6,3,20,0
bad_greedy,1500,100,4.6,3,20,1
k=1,1500,100,0.22,3,20,15
k=2,1500,100,0.22,3,20,654
greedy,1500,86,17.3256,4,20,3
random,1500,48,30.5833,4,20,0
bad_greedy,1500,61,24.1639,4,20,1
k=1,1500,87,17.0575,4,20,42
k=2,1500,87,17.0575,4,20,1995
greedy,1500,100,3.4,2,20,3
random,1500,99,15.1515,2,20,0
bad_greedy,1500,92,16.3043,2,20,1
k=1,1500,100,3.4,2,20,17
k=2,1500,100,3.2,2,20,737
greedy,1500,100,0.32,3,20,3
random,1500,100,4.6,3,20,0
bad_greedy,1500,100,4.6,3,20,1
k=1,1500,100,0.31,3,20,15
k=2,1500,100,0.31,3,20,639
greedy,1500,84,16.9167,4,20,3
random,1500,47,31.7234,4,20,0
bad_greedy,1500,51,28.2745,4,20,1
k=1,1500,85,17.1059,4,20,39
k=2,1500,85,17.0588,4,20,1850
greedy,1500,100,3,2,20,3
random,1500,99,15.1515,2,20,0
bad_greedy,1500,93,16.129,2,20,1
k=1,1500,100,3,2,20,16
k=2,1500,100,3,2,20,707
greedy,1500,100,0.44,3,20,3
random,1500,100,4.61,3,20,0
bad_greedy,1500,100,4.61,3,20,1
k=1,1500,100,0.38,3,20,18
k=2,1500,100,0.36,3,20,767
greedy,1500,89,16.0899,4,20,3
random,1500,55,27.2182,4,20,0
bad_greedy,1500,63,22.6984,4,20,1
k=1,1500,89,15.9438,4,20,29
k=2,1500,89,15.9438,4,20,1258
greedy,1500,100,3.6,2,20,3
random,1500,100,15,2,20,0
bad_greedy,1500,89,16.8539,2,20,1
k=1,1500,100,3.4,2,20,17
k=2,1500,100,3.4,2,20,780
greedy,1500,100,0.34,3,20,3
random,1500,100,4.43,3,20,0
bad_greedy,1500,100,4.43,3,20,1
k=1,1500,100,0.3,3,20,17
k=2,1500,100,0.29,3,20,776
greedy,1500,89,16.1348,4,20,3
random,1500,69,21.3768,4,20,0
bad_greedy,1500,54,26.3333,4,20,1
k=1,1500,91,16.4286,4,20,31
k=2,1500,91,16.4286,4,20,1538
greedy,1500,100,3.6,2,20,3
random,1500,98,15.3061,2,20,0
bad_greedy,1500,96,15.625,2,20,1
k=1,1500,100,3.6,2,20,18
k=2,1500,100,3.4,2,20,811
greedy,1500,100,0.29,3,20,3
random,1500,100,4.69,3,20,0
bad_greedy,1500,100,4.69,3,20,1
k=1,1500,100,0.26,3,20,14
k=2,1500,100,0.26,3,20,618
greedy,1500,92,15.3696,4,20,3
random,1500,76,19.3816,4,20,0
bad_greedy,1500,58,25.2759,4,20,1
k=1,1500,93,16.1183,4,20,24
k=2,1500,93,16.1183,4,20,1210
greedy,1500,100,4,2,20,3
random,1500,96,15.625,2,20,0
bad_greedy,1500,91,16.4835,2,20,1
k=1,1500,100,3.8,2,20,19
k=2,1500,100,3.6,2,20,876
greedy,1500,100,0.26,3,20,3
random,1500,100,4.28,3,20,0
bad_greedy,1500,100,4.28,3,20,1
k=1,1500,100,0.25,3,20,15
k=2,1500,100,0.24,3,20,666
greedy,1500,92,15.8152,4,20,3
random,1500,56,26.6071,4,20,0
bad_greedy,1500,59,23.8814,4,20,1
k=1,1500,92,15.2283,4,20,27
k=2,1500,93,15.4516,4,20,1293
greedy,600,91,6.59341,2,11,9
random,600,70,8.57143,2,11,0
bad_greedy,600,56,10.7143,2,11,1
k=1,600,92,6.52174,2,11,36
k=2,600,93,6.45161,2,11,1754
greedy,600,100,0.95,3,11,3
random,600,100,4.34,3,11,0
bad_greedy,600,100,4.34,3,11,1
k=1,600,100,0.89,3,11,28
k=2,600,100,0.85,3,11,1334
greedy,600,38,15.3421,4,11,3
random,600,13,45.3846,4,11,0
bad_greedy,600,22,24.6364,4,11,1
k=1,600,38,15.3421,4,11,59
k=2,600,38,15.3421,4,11,2917
greedy,600,90,6.66667,2,11,3
random,600,63,9.52381,2,11,0
bad_greedy,600,63,9.52381,2,11,1
k=1,600,91,6.59341,2,11,35
k=2,600,91,6.59341,2,11,1721
greedy,600,100,1.02,3,11,3
random,600,100,4.65,3,11,0
bad_greedy,600,100,4.65,3,11,1
k=1,600,100,0.99,3,11,31
k=2,600,100,0.96,3,11,1460
greedy,600,38,15.3947,4,11,3
random,600,27,21.7778,4,11,0
bad_greedy,600,20,27.7,4,11,1
k=1,600,38,15.3947,4,11,60
k=2,600,38,15.3947,4,11,2918
greedy,600,95,6.31579,2,11,5
random,600,64,9.375,2,11,0
bad_greedy,600,52,11.5385,2,11,1
k=1,600,95,6.31579,2,11,32
k=2,600,95,6.31579,2,11,1533
greedy,600,100,0.96,3,11,3
random,600,100,4.18,3,11,0
bad_greedy,600,100,4.18,3,11,1
k=1,600,100,0.93,3,11,32
k=2,600,100,0.91,3,11,1529
greedy,600,40,14.075,4,11,3
random,600,17,33.5294,4,11,0
bad_greedy,600,22,26.2273,4,11,1
k=1,600,40,14.075,4,11,56
k=2,600,40,14.075,4,11,2796
greedy,600,89,6.74157,2,11,3
random,600,69,8.69565,2,11,0
bad_greedy,600,42,14.2857,2,11,1
k=1,600,89,6.74157,2,11,37
k=2,600,89,6.74157,2,11,1859
greedy,600,100,1.08,3,11,3
random,600,100,4.65,3,11,0
bad_greedy,600,100,4.65,3,11,1
k=1,600,100,1.04,3,11,31
k=2,600,100,1.01,3,11,1477
greedy,600,35,15.8571,4,11,3
random,600,19,29.0526,4,11,0
bad_greedy,600,18,33.2222,4,11,1
k=1,600,35,15.8571,4,11,61
k=2,600,35,15.8571,4,11,2988
greedy,600,91,6.59341,2,11,3
random,600,70,8.57143,2,11,0
bad_greedy,600,50,12,2,11,1
k=1,600,92,6.52174,2,11,42
k=2,600,92,6.52174,2,11,2008
greedy,600,100,0.97,3,11,3
random,600,100,4.44,3,11,0
bad_greedy,600,100,4.44,3,11,1
k=1,600,100,0.91,3,11,30
k=2,600,100,0.9,3,11,1409
greedy,600,31,19.129,4,11,3
random,600,13,45.4615,4,11,0
bad_greedy,600,14,40,4,11,1
k=1,600,31,19.0645,4,11,60
k=2,600,31,19.0645,4,11,2974
greedy,600,94,6.38298,2,11,3
random,600,74,8.10811,2,11,0
bad_greedy,600,49,12.2449,2,11,1
k=1,600,95,6.31579,2,11,34
k=2,600,95,6.31579,2,11,1598
greedy,600,100,0.96,3,11,3
random,600,100,4.5,3,11,0
bad_greedy,600,100,4.5,3,11,1
k=1,600,100,0.94,3,11,27
k=2,600,100,0.92,3,11,1294
greedy,600,39,14.4359,4,11,3
random,600,10,55.9,4,11,0
bad_greedy,600,19,30.9474,4,11,1
k=1,600,39,14.4359,4,11,58
k=2,600,39,14.4359,4,11,2821
greedy,600,91,6.59341,2,11,3
random,600,78,7.69231,2,11,0
bad_greedy,600,56,10.7143,2,11,1
k=1,600,92,6.52174,2,11,35
k=2,600,92,6.52174,2,11,1655
greedy,600,100,1.14,3,11,3
random,600,100,4.46,3,11,0
bad_greedy,600,100,4.46,3,11,1
k=1,600,100,1.01,3,11,33
k=2,600,100,1,3,11,1462
greedy,600,49,11.3878,4,11,3
random,600,27,21.7778,4,11,0
bad_greedy,600,35,15.6571,4,11,1
k=1,600,49,11.3878,4,11,58
k=2,600,49,11.3878,4,11,2841
greedy,600,93,6.45161,2,11,3
random,600,68,8.82353,2,11,0
bad_greedy,600,46,13.0435,2,11,1
k=1,600,94,6.38298,2,11,38
k=2,600,94,6.38298,2,11,1780
greedy,600,100,1.45,3,11,3
random,600,100,4.58,3,11,0
bad_greedy,600,100,4.58,3,11,1
k=1,600,100,1.41,3,11,34
k=2,600,100,1.38,3,11,1587
greedy,600,43,13.8372,4,11,3
random,600,14,39.5,4,11,0
bad_greedy,600,24,23.125,4,11,1
k=1,600,43,13.8372,4,11,61
k=2,600,43,13.8372,4,11,2980
greedy,600,90,6.66667,2,11,3
random,600,72,8.33333,2,11,0
bad_greedy,600,51,11.7647,2,11,1
k=1,600,91,6.59341,2,11,37
k=2,600,91,6.59341,2,11,1787
greedy,600,100,1.02,3,11,3
random,600,100,4.61,3,11,0
bad_greedy,600,100,4.61,3,11,1
k=1,600,100,1.01,3,11,32
k=2,600,100,1,3,11,1489
greedy,600,37,16.027,4,11,3
random,600,18,33.2222,4,11,0
bad_greedy,600,21,28,4,11,1
k=1,600,37,16.027,4,11,57
k=2,600,37,16.027,4,11,2803
greedy,600,93,6.45161,2,11,3
random,600,72,8.33333,2,11,0
bad_greedy,600,58,10.3448,2,11,1
k=1,600,94,6.38298,2,11,34
k=2,600,94,6.38298,2,11,1601
greedy,600,100,1.14,3,11,3
random,600,100,4.49,3,11,0
bad_greedy,600,100,4.49,3,11,1
k=1,600,100,1.11,3,11,34
k=2,600,100,1.09,3,11,1588
greedy,600,39,14.4872,4,11,3
random,600,22,27.0909,4,11,0
bad_greedy,600,24,24.1667,4,11,1
k=1,600,41,14.561,4,11,60
k=2,600,41,14.561,4,11,3036
greedy,1300,100,7.4,2,11,8
random,1300,93,13.9785,2,11,0
bad_greedy,1300,84,15.4762,2,11,1
k=1,1300,100,7.2,2,11,32
k=2,1300,100,7.2,2,11,1566
greedy,1300,100,1.02,3,11,3
random,1300,100,4.35,3,11,0
bad_greedy,1300,100,4.35,3,11,1
k=1,1300,100,1,3,11,30
k=2,1300,100,0.98,3,11,1447
greedy,1300,64,19.875,4,11,3
random,1300,23,56,4,11,0
bad_greedy,1300,42,29.5,4,11,1
k=1,1300,65,19.7692,4,11,52
k=2,1300,65,19.7692,4,11,2558
greedy,1300,100,7.6,2,11,3
random,1300,93,13.9785,2,11,0
bad_greedy,1300,79,16.4557,2,11,1
k=1,1300,100,7.4,2,11,32
k=2,1300,100,7.4,2,11,1562
greedy,1300,100,1.13,3,11,3
random,1300,100,4.61,3,11,0
bad_greedy,1300,100,4.61,3,11,1
k=1,1300,100,1.1,3,11,30
k=2,1300,100,1.07,3,11,1417
greedy,1300,61,21.1311,4,11,4
random,1300,37,34.3243,4,11,0
bad_greedy,1300,30,42.0333,4,11,1
k=1,1300,61,21.1311,4,11,50
k=2,1300,61,21.1311,4,11,2508
greedy,1300,100,6.6,2,11,3
random,1300,94,13.8298,2,11,0
bad_greedy,1300,89,14.6067,2,11,1
k=1,1300,100,6.4,2,11,29
k=2,1300,100,6.2,2,11,1380
greedy,1300,100,1.17,3,11,3
random,1300,100,4.76,3,11,0
bad_greedy,1300,100,4.76,3,11,1
k=1,1300,100,1.13,3,11,32
k=2,1300,100,1.09,3,11,1557
greedy,1300,60,21.65,4,11,4
random,1300,28,45.3571,4,11,0
bad_greedy,1300,35,36.6857,4,11,1
k=1,1300,60,21.55,4,11,53
k=2,1300,60,21.55,4,11,2611
greedy,1300,100,7.8,2,11,3
random,1300,90,14.4444,2,11,0
bad_greedy,1300,77,16.8831,2,11,1
k=1,1300,100,7.6,2,11,34
k=2,1300,100,7.6,2,11,1618
greedy,1300,100,1.24,3,11,3
random,1300,100,5.09,3,11,0
bad_greedy,1300,100,5.09,3,11,1
k=1,1300,100,1.19,3,11,29
k=2,1300,100,1.17,3,11,1394
greedy,1300,59,21.2712,4,11,3
random,1300,38,33.7368,4,11,0
bad_greedy,1300,39,31.3333,4,11,1
k=1,1300,59,21.2712,4,11,50
k=2,1300,59,21.2712,4,11,2425
greedy,1300,100,7.2,2,11,3
random,1300,98,13.2653,2,11,0
bad_greedy,1300,89,14.6067,2,11,1
k=1,1300,100,7.2,2,11,32
k=2,1300,100,7.2,2,11,1485
greedy,1300,100,1.17,3,11,3
random,1300,100,4.67,3,11,0
bad_greedy,1300,100,4.67,3,11,1
k=1,1300,100,1.11,3,11,31
k=2,1300,100,1.09,3,11,1490
greedy,1300,57,22.4386,4,11,3
random,1300,27,47.8519,4,11,0
bad_greedy,1300,39,32.0769,4,11,1
k=1,1300,57,22.4386,4,11,52
k=2,1300,57,22.4386,4,11,2525
greedy,1300,100,8.4,2,11,3
random,1300,91,14.2857,2,11,0
bad_greedy,1300,79,16.4557,2,11,1
k=1,1300,100,8.2,2,11,36
k=2,1300,100,8,2,11,1722
greedy,1300,100,1.09,3,11,3
random,1300,100,4.41,3,11,0
bad_greedy,1300,100,4.41,3,11,1
k=1,1300,100,1.07,3,11,32
k=2,1300,100,1.05,3,11,1532
greedy,1300,57,22.5965,4,11,3
random,1300,32,40.5,4,11,0
bad_greedy,1300,32,38.9062,4,11,1
k=1,1300,58,22.1552,4,11,57
k=2,1300,58,22.1552,4,11,2720
greedy,1300,100,8,2,11,3
random,1300,95,13.6842,2,11,0
bad_greedy,1300,81,16.0494,2,11,1
k=1,1300,100,7.8,2,11,33
k=2,1300,100,7.8,2,11,1634
greedy,1300,100,1.3,3,11,3
random,1300,100,4.61,3,11,0
bad_greedy,1300,100,4.61,3,11,1
k=1,1300,100,1.3,3,11,32
k=2,1300,100,1.28,3,11,1583
greedy,1300,58,21.8448,4,11,4
random,1300,16,78.75,4,11,0
bad_greedy,1300,35,36.0571,4,11,1
k=1,1300,58,21.8448,4,11,53
k=2,1300,58,21.8448,4,11,2570
greedy,1300,100,7,2,11,3
random,1300,91,14.2857,2,11,0
bad_greedy,1300,83,15.6627,2,11,1
k=1,1300,100,7,2,11,32
k=2,1300,100,7,2,11,1471
greedy,1300,100,1.11,3,11,3
random,1300,100,4.41,3,11,0
bad_greedy,1300,100,4.41,3,11,1
k=1,1300,100,1.08,3,11,34
k=2,1300,100,1.05,3,11,1644
greedy,1300,61,21.2951,4,11,3
random,1300,28,45.8929,4,11,0
bad_greedy,1300,40,32.15,4,11,1
k=1,1300,61,20.6721,4,11,50
k=2,1300,61,20.6721,4,11,2552
greedy,1300,100,7.4,2,11,3
random,1300,93,13.9785,2,11,0
bad_greedy,1300,84,15.4762,2,11,1
k=1,1300,100,7.2,2,11,31
k=2,1300,100,7.2,2,11,1506
greedy,1300,100,1.17,3,11,3
random,1300,100,4.68,3,11,0
bad_greedy,1300,100,4.68,3,11,1
k=1,1300,100,1.11,3,11,31
k=2,1300,100,1.09,3,11,1451
greedy,1300,54,24.0556,4,11,3
random,1300,21,60.0952,4,11,0
bad_greedy,1300,32,38.4375,4,11,1
k=1,1300,54,24.0556,4,11,54
k=2,1300,54,24.0556,4,11,2657
greedy,1300,100,6.6,2,11,3
random,1300,96,13.5417,2,11,0
bad_greedy,1300,85,15.2941,2,11,1
k=1,1300,100,6.4,2,11,29
k=2,1300,100,6.2,2,11,1375
greedy,1300,100,0.78,3,11,3
random,1300,100,4.23,3,11,0
bad_greedy,1300,100,4.23,3,11,1
k=1,1300,100,0.77,3,11,31
k=2,1300,100,0.76,3,11,1413
greedy,1300,57,22.1579,4,11,3
random,1300,25,51.44,4,11,0
bad_greedy,1300,38,32.2368,4,11,1
k=1,1300,58,22,4,11,50
k=2,1300,58,22,4,11,2522
greedy,900,99,9.09091,2,11,6
random,900,73,12.3288,2,11,0
bad_greedy,900,62,14.5161,2,11,2
k=1,900,99,9.09091,2,11,95
k=2,900,99,9.09091,2,11,3073
greedy,900,100,0.99,3,11,4
random,900,100,4.21,3,11,0
bad_greedy,900,100,4.21,3,11,1
k=1,900,100,0.95,3,11,36
k=2,900,100,0.95,3,11,2153
greedy,900,50,17.58,4,11,4
random,900,19,47,4,11,0
bad_greedy,900,31,28.7097,4,11,1
k=1,900,50,17.58,4,11,92
k=2,900,50,17.58,4,11,4077
greedy,900,100,7.2,2,11,3
random,900,80,11.25,2,11,0
bad_greedy,900,70,12.8571,2,11,1
k=1,900,100,7.2,2,11,40
k=2,900,100,7.2,2,11,1880
greedy,900,100,1.11,3,11,3
random,900,100,4.6,3,11,0
bad_greedy,900,100,4.6,3,11,2
k=1,900,100,1.07,3,11,48
k=2,900,100,1.04,3,11,1776
greedy,900,49,18.1429,4,11,3
random,900,26,32.9231,4,11,0
bad_greedy,900,29,29.2414,4,11,1
k=1,900,49,18.1429,4,11,80
k=2,900,49,18.1429,4,11,3440
greedy,900,100,7.2,2,11,4
random,900,89,10.1124,2,11,0
bad_greedy,900,64,14.0625,2,11,1
k=1,900,100,7,2,11,35
k=2,900,100,7,2,11,1893
greedy,900,100,1.17,3,11,3
random,900,100,4.61,3,11,0
bad_greedy,900,100,4.61,3,11,1
k=1,900,100,1.12,3,11,42
k=2,900,100,1.1,3,11,1876
greedy,900,50,17.78,4,11,3
random,900,35,25.3143,4,11,0
bad_greedy,900,26,33.7692,4,11,1
k=1,900,50,17.4,4,11,60
k=2,900,50,17.4,4,11,3188
greedy,900,100,8.8,2,11,3
random,900,75,12,2,11,0
bad_greedy,900,64,14.0625,2,11,1
k=1,900,100,8.8,2,11,42
k=2,900,100,8.8,2,11,1915
greedy,900,100,1.04,3,11,3
random,900,100,4.61,3,11,0
bad_greedy,900,100,4.61,3,11,1
k=1,900,100,1.04,3,11,31
k=2,900,100,1.02,3,11,1480
greedy,900,47,18.4468,4,11,3
random,900,17,49.8824,4,11,0
bad_greedy,900,24,35.9167,4,11,1
k=1,900,48,18.2292,4,11,66
k=2,900,48,18.2292,4,11,2809
greedy,900,100,6.6,2,11,3
random,900,83,10.8434,2,11,0
bad_greedy,900,70,12.8571,2,11,1
k=1,900,100,6.4,2,11,30
k=2,900,100,6.2,2,11,1447
greedy,900,100,1.02,3,11,3
random,900,100,4.64,3,11,0
bad_greedy,900,100,4.64,3,11,1
k=1,900,100,0.98,3,11,30
k=2,900,100,0.98,3,11,1415
greedy,900,43,20.8605,4,11,3
random,900,20,44.55,4,11,0
bad_greedy,900,22,40.2273,4,11,1
k=1,900,43,20.3721,4,11,58
k=2,900,43,20.0698,4,11,2950
greedy,900,100,6.8,2,11,3
random,900,88,10.2273,2,11,0
bad_greedy,900,74,12.1622,2,11,1
k=1,900,100,6.6,2,11,32
k=2,900,100,6.6,2,11,1446
greedy,900,100,0.9,3,11,3
random,900,100,4.37,3,11,0
bad_greedy,900,100,4.37,3,11,1
k=1,900,100,0.87,3,11,28
k=2,900,100,0.85,3,11,1331
greedy,900,54,16.6296,4,11,3
random,900,24,37.375,4,11,0
bad_greedy,900,37,23.2162,4,11,1
k=1,900,54,16.6296,4,11,60
k=2,900,54,16.6296,4,11,2767
greedy,900,100,7.8,2,11,3
random,900,83,10.8434,2,11,0
bad_greedy,900,63,14.2857,2,11,1
k=1,900,100,7.6,2,11,33
k=2,900,100,7.6,2,11,1662
greedy,900,100,0.91,3,11,3
random,900,100,4.13,3,11,0
bad_greedy,900,100,4.13,3,11,1
k=1,900,100,0.88,3,11,32
k=2,900,100,0.85,3,11,1473
greedy,900,56,15.9286,4,11,3
random,900,27,32.9259,4,11,0
bad_greedy,900,43,20.5116,4,11,1
k=1,900,56,15.1964,4,11,55
k=2,900,57,15.5263,4,11,2760
greedy,900,100,8,2,11,3
random,900,79,11.3924,2,11,0
bad_greedy,900,59,15.2542,2,11,1
k=1,900,100,7.8,2,11,35
k=2,900,100,7.8,2,11,1675
greedy,900,100,1.13,3,11,3
random,900,100,4.44,3,11,0
bad_greedy,900,100,4.44,3,11,1
k=1,900,100,1.1,3,11,36
k=2,900,100,1.1,3,11,1868
greedy,900,47,18.5745,4,11,3
random,900,20,44.15,4,11,0
bad_greedy,900,32,26.3125,4,11,1
k=1,900,47,18.5745,4,11,92
k=2,900,47,18.5745,4,11,4186
greedy,900,100,6.8,2,11,3
random,900,87,10.3448,2,11,0
bad_greedy,900,68,13.2353,2,11,2
k=1,900,100,6.8,2,11,48
k=2,900,100,6.8,2,11,2239
greedy,900,100,1.06,3,11,4
random,900,100,4.36,3,11,0
bad_greedy,900,100,4.36,3,11,2
k=1,900,100,1.05,3,11,48
k=2,900,100,1.02,3,11,2144
greedy,900,47,18.7234,4,11,4
random,900,33,26.1818,4,11,0
bad_greedy,900,27,32.1852,4,11,2
k=1,900,48,18.7083,4,11,86
k=2,900,48,18.7083,4,11,3607
greedy,900,100,8,2,11,3
random,900,87,10.3448,2,11,0
bad_greedy,900,58,15.5172,2,11,1
k=1,900,100,8,2,11,36
k=2,900,100,8,2,11,1771
greedy,900,100,1.17,3,11,3
random,900,100,4.63,3,11,0
bad_greedy,900,100,4.63,3,11,1
k=1,900,100,1.15,3,11,31
k=2,900,100,1.14,3,11,1456
greedy,900,52,16.8269,4,11,3
random,900,17,51.5882,4,11,0
bad_greedy,900,28,29.9643,4,11,1
k=1,900,52,16.6923,4,11,56
k=2,900,52,16.6923,4,11,2897
greedy,1500,78,19.2308,2,2,8
random,1500,75,20,2,2,0
bad_greedy,1500,75,20,2,2,1
k=1,1500,78,19.2308,2,2,59
k=2,1500,78,19.2308,2,2,2941
greedy,1500,100,4.3,3,2,3
random,1500,100,4.64,3,2,0
bad_greedy,1500,100,4.64,3,2,1
k=1,1500,100,4.3,3,2,62
k=2,1500,100,4.3,3,2,3099
greedy,1500,24,60.5833,4,2,3
random,1500,12,122.083,4,2,0
bad_greedy,1500,23,62.6522,4,2,1
k=1,1500,24,60.5833,4,2,60
k=2,1500,24,60.5833,4,2,3018
greedy,1500,81,18.5185,2,2,4
random,1500,77,19.4805,2,2,0
bad_greedy,1500,76,19.7368,2,2,1
k=1,1500,81,18.5185,2,2,60
k=2,1500,81,18.5185,2,2,3028
greedy,1500,100,4.63,3,2,3
random,1500,100,4.63,3,2,0
bad_greedy,1500,100,4.63,3,2,1
k=1,1500,100,4.63,3,2,63
k=2,1500,100,4.63,3,2,3119
greedy,1500,25,59,4,2,3
random,1500,13,113.846,4,2,0
bad_greedy,1500,25,59,4,2,1
k=1,1500,25,59,4,2,60
k=2,1500,25,59,4,2,3045
greedy,1500,77,19.4805,2,2,3
random,1500,76,19.7368,2,2,0
bad_greedy,1500,76,19.7368,2,2,1
k=1,1500,77,19.4805,2,2,60
k=2,1500,77,19.4805,2,2,2974
greedy,1500,100,4.58,3,2,3
random,1500,100,4.78,3,2,0
bad_greedy,1500,100,4.78,3,2,1
k=1,1500,100,4.58,3,2,61
k=2,1500,100,4.58,3,2,3096
greedy,1500,25,57.28,4,2,3
