algorithm,budget,coverage,cost_per_coverage,time
greedy,1400,100,8.2,9
random,1400,89,15.7303,0
bad_greedy,1400,78,17.9487,1
k=1,1400,100,8,36
k=2,1400,100,8,1697
greedy,1400,100,7,3
random,1400,96,14.5833,0
bad_greedy,1400,89,15.7303,1
k=1,1400,100,7,30
k=2,1400,100,7,1472
greedy,1400,100,7.8,3
random,1400,94,14.8936,0
bad_greedy,1400,80,17.5,1
k=1,1400,100,7.6,34
k=2,1400,100,7.6,1648
greedy,1400,100,6.2,3
random,1400,95,14.7368,0
bad_greedy,1400,83,16.8675,2
k=1,1400,100,6.2,30
k=2,1400,100,6.2,1418
greedy,1400,100,7.6,3
random,1400,93,15.0538,0
bad_greedy,1400,88,15.9091,1
k=1,1400,100,7.6,33
k=2,1400,100,7.6,1712
greedy,1400,100,6.8,3
random,1400,94,14.8936,0
bad_greedy,1400,82,17.0732,1
k=1,1400,100,6.6,30
k=2,1400,100,6.6,1466
greedy,1400,100,6.8,3
random,1400,95,14.7368,0
bad_greedy,1400,90,15.5556,1
k=1,1400,100,6.8,32
k=2,1400,100,6.8,1468
greedy,1400,100,6.8,3
random,1400,95,14.7368,0
bad_greedy,1400,81,17.284,1
k=1,1400,100,6.8,30
k=2,1400,100,6.8,1444
greedy,1400,100,7.8,3
random,1400,95,14.7368,0
bad_greedy,1400,79,17.7215,1
k=1,1400,100,7.8,33
k=2,1400,100,7.8,1622
greedy,1400,100,7,3
random,1400,95,14.7368,0
bad_greedy,1400,82,17.0732,1
k=1,1400,100,6.8,30
k=2,1400,100,6.8,1482
greedy,2100,100,8,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.8,36
k=2,2100,100,7.8,1634
greedy,2100,100,7.6,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.4,34
k=2,2100,100,7.4,1616
greedy,2100,100,7.6,4
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.6,33
k=2,2100,100,7.6,1644
greedy,2100,100,8,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.8,35
k=2,2100,100,7.8,1662
greedy,2100,100,7.2,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7,32
k=2,2100,100,7,1531
greedy,2100,100,7.6,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.4,33
k=2,2100,100,7.2,1602
greedy,2100,100,7,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,6.8,37
k=2,2100,100,6.8,1607
greedy,2100,100,7.4,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7,32
k=2,2100,100,7,1529
greedy,2100,100,7.4,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7.4,33
k=2,2100,100,7.4,1586
greedy,2100,100,7.2,3
random,2100,100,20,0
bad_greedy,2100,100,20,1
k=1,2100,100,7,32
k=2,2100,100,7,1568
greedy,300,71,4.22535,3
random,300,47,6.38298,0
bad_greedy,300,33,9.09091,1
k=1,300,71,4.22535,49
k=2,300,71,4.22535,2355
greedy,300,72,4.16667,3
random,300,42,7.14286,0
bad_greedy,300,31,9.67742,1
k=1,300,73,4.10959,44
k=2,300,73,4.10959,2146
greedy,300,70,4.28571,3
random,300,40,7.5,0
bad_greedy,300,30,10,1
k=1,300,70,4.28571,50
k=2,300,70,4.28571,2506
greedy,300,78,3.84615,3
random,300,48,6.25,0
bad_greedy,300,38,7.89474,1
k=1,300,79,3.79747,44
k=2,300,80,3.75,2192
greedy,300,81,3.7037,4
random,300,51,5.88235,0
bad_greedy,300,31,9.67742,1
k=1,300,81,3.7037,40
k=2,300,81,3.7037,1952
greedy,300,71,4.22535,3
random,300,49,6.12245,0
bad_greedy,300,49,6.12245,1
k=1,300,72,4.16667,46
k=2,300,73,4.10959,2336
greedy,300,75,4,3
random,300,40,7.5,0
bad_greedy,300,33,9.09091,1
k=1,300,75,4,45
k=2,300,75,4,2241
greedy,300,72,4.16667,4
random,300,43,6.97674,0
bad_greedy,300,24,12.5,1
k=1,300,72,4.16667,55
k=2,300,72,4.16667,2692
greedy,300,70,4.28571,3
random,300,52,5.76923,0
bad_greedy,300,33,9.09091,1
k=1,300,70,4.28571,61
k=2,300,70,4.28571,2579
greedy,300,75,4,3
random,300,50,6,0
bad_greedy,300,29,10.3448,1
k=1,300,76,3.94737,43
k=2,300,76,3.94737,2123
greedy,600,93,6.45161,4
random,600,69,8.69565,0
bad_greedy,600,46,13.0435,2
k=1,600,93,6.45161,45
k=2,600,94,6.38298,2589
greedy,600,91,6.59341,4
random,600,71,8.4507,0
bad_greedy,600,42,14.2857,1
k=1,600,91,6.59341,57
k=2,600,91,6.59341,2944
greedy,600,91,6.59341,3
random,600,74,8.10811,0
bad_greedy,600,57,10.5263,1
k=1,600,92,6.52174,48
k=2,600,92,6.52174,2169
greedy,600,94,6.38298,3
random,600,64,9.375,0
bad_greedy,600,52,11.5385,1
k=1,600,95,6.31579,33
k=2,600,95,6.31579,1660
greedy,600,94,6.38298,3
random,600,69,8.69565,0
bad_greedy,600,41,14.6341,1
k=1,600,94,6.38298,33
k=2,600,95,6.31579,1689
greedy,600,91,6.59341,3
random,600,70,8.57143,0
bad_greedy,600,56,10.7143,1
k=1,600,92,6.52174,36
k=2,600,92,6.52174,1835
greedy,600,91,6.59341,3
random,600,68,8.82353,0
bad_greedy,600,46,13.0435,1
k=1,600,92,6.52174,37
k=2,600,92,6.52174,1779
greedy,600,86,6.97674,3
random,600,71,8.4507,0
bad_greedy,600,54,11.1111,1
k=1,600,88,6.81818,40
k=2,600,88,6.81818,2023
greedy,600,92,6.52174,3
random,600,69,8.69565,0
bad_greedy,600,50,12,1
k=1,600,93,6.45161,34
k=2,600,94,6.38298,1636
greedy,600,92,6.52174,4
random,600,71,8.4507,0
bad_greedy,600,46,13.0435,2
k=1,600,92,6.52174,55
k=2,600,92,6.52174,2597
greedy,1700,100,7.8,3
random,1700,93,18.2796,0
bad_greedy,1700,95,17.8947,1
k=1,1700,100,7.8,41
k=2,1700,100,7.8,1768
greedy,1700,100,8,3
random,1700,98,17.3469,0
bad_greedy,1700,94,18.0851,1
k=1,1700,100,7.4,33
k=2,1700,100,7.4,1637
greedy,1700,100,8.2,3
random,1700,99,17.1717,0
bad_greedy,1700,90,18.8889,1
k=1,1700,100,8,37
k=2,1700,100,8,1707
greedy,1700,100,6.6,3
random,1700,98,17.3469,0
bad_greedy,1700,97,17.5258,1
k=1,1700,100,6.6,28
k=2,1700,100,6.6,1427
greedy,1700,100,7.6,3
random,1700,93,18.2796,0
bad_greedy,1700,96,17.7083,1
k=1,1700,100,7.6,34
k=2,1700,100,7.6,1605
greedy,1700,100,8,3
random,1700,99,17.1717,0
bad_greedy,1700,96,17.7083,1
k=1,1700,100,7.8,33
k=2,1700,100,7.8,1671
greedy,1700,100,7.8,3
random,1700,97,17.5258,0
bad_greedy,1700,96,17.7083,1
k=1,1700,100,7.8,39
k=2,1700,100,7.8,1629
greedy,1700,100,7.6,3
random,1700,96,17.7083,0
bad_greedy,1700,97,17.5258,1
k=1,1700,100,7.4,33
k=2,1700,100,7.4,1580
greedy,1700,100,8,3
random,1700,97,17.5258,0
bad_greedy,1700,93,18.2796,1
k=1,1700,100,7.8,35
k=2,1700,100,7.8,1728
greedy,1700,100,7.4,3
random,1700,97,17.5258,0
bad_greedy,1700,96,17.7083,1
k=1,1700,100,7.4,32
k=2,1700,100,7.4,1545
greedy,500,88,5.68182,9
random,500,62,8.06452,0
bad_greedy,500,45,11.1111,1
k=1,500,89,5.61798,37
k=2,500,89,5.61798,1869
greedy,500,76,6.57895,4
random,500,53,9.43396,0
bad_greedy,500,35,14.2857,1
k=1,500,77,6.49351,45
k=2,500,77,6.49351,2223
greedy,500,90,5.55556,3
random,500,62,8.06452,0
bad_greedy,500,45,11.1111,1
k=1,500,91,5.49451,35
k=2,500,92,5.43478,1704
greedy,500,86,5.81395,3
random,500,64,7.8125,0
bad_greedy,500,44,11.3636,1
k=1,500,87,5.74713,35
k=2,500,87,5.74713,1708
greedy,500,94,5.31915,3
random,500,74,6.75676,0
bad_greedy,500,41,12.1951,1
k=1,500,95,5.26316,36
k=2,500,95,5.26316,1742
greedy,500,88,5.68182,3
random,500,69,7.24638,0
bad_greedy,500,39,12.8205,1
k=1,500,89,5.61798,40
k=2,500,89,5.61798,1943
greedy,500,87,5.74713,3
random,500,66,7.57576,0
bad_greedy,500,48,10.4167,1
k=1,500,87,5.74713,38
k=2,500,87,5.74713,1880
greedy,500,89,5.61798,3
random,500,64,7.8125,0
bad_greedy,500,39,12.8205,1
k=1,500,89,5.61798,34
k=2,500,89,5.61798,1671
greedy,500,83,6.0241,3
random,500,61,8.19672,0
bad_greedy,500,36,13.8889,1
k=1,500,83,6.0241,40
k=2,500,83,6.0241,1874
greedy,500,87,5.74713,4
random,500,61,8.19672,0
bad_greedy,500,36,13.8889,1
k=1,500,87,5.74713,39
k=2,500,87,5.74713,1926
greedy,800,97,8.24742,9
random,800,82,9.7561,0
bad_greedy,800,65,12.3077,1
k=1,800,97,8.24742,37
k=2,800,97,8.24742,1860
greedy,800,100,6,3
random,800,87,9.1954,0
bad_greedy,800,77,10.3896,1
k=1,800,100,6,27
k=2,800,100,6,1280
greedy,800,100,7.6,3
random,800,87,9.1954,0
bad_greedy,800,68,11.7647,1
k=1,800,100,7.2,35
k=2,800,100,7.2,1552
greedy,800,100,7,3
random,800,81,9.87654,0
bad_greedy,800,66,12.1212,1
k=1,800,100,7,32
k=2,800,100,7,1536
greedy,800,100,7.6,4
random,800,78,10.2564,0
bad_greedy,800,72,11.1111,1
k=1,800,100,7.4,46
k=2,800,100,7.4,1590
greedy,800,98,8.16327,3
random,800,78,10.2564,0
bad_greedy,800,59,13.5593,1
k=1,800,98,8.16327,41
k=2,800,98,8.16327,1748
greedy,800,99,8.08081,3
random,800,81,9.87654,0
bad_greedy,800,58,13.7931,1
k=1,800,100,8,34
k=2,800,100,8,1754
greedy,800,100,7.2,3
random,800,77,10.3896,0
bad_greedy,800,62,12.9032,1
k=1,800,100,7.2,32
k=2,800,100,7.2,1523
greedy,800,100,7.2,3
random,800,82,9.7561,0
bad_greedy,800,65,12.3077,1
k=1,800,100,7,32
k=2,800,100,7,1519
greedy,800,100,8,4
random,800,79,10.1266,0
bad_greedy,800,62,12.9032,1
k=1,800,100,8,35
k=2,800,100,8,1727
greedy,700,96,7.29167,11
random,700,72,9.72222,0
bad_greedy,700,60,11.6667,1
k=1,700,97,7.21649,36
k=2,700,97,7.21649,1840
greedy,700,98,7.14286,3
random,700,77,9.09091,0
bad_greedy,700,65,10.7692,1
k=1,700,98,7.14286,34
k=2,700,99,7.07071,1610
greedy,700,97,7.21649,5
random,700,80,8.75,0
bad_greedy,700,59,11.8644,2
k=1,700,97,7.21649,61
k=2,700,97,7.21649,2678
greedy,700,100,7,3
random,700,72,9.72222,0
bad_greedy,700,57,12.2807,1
k=1,700,100,7,31
k=2,700,100,7,1478
greedy,700,100,7,3
random,700,80,8.75,0
bad_greedy,700,66,10.6061,1
k=1,700,100,7,30
k=2,700,100,7,1519
greedy,700,98,7.14286,3
random,700,74,9.45946,0
bad_greedy,700,58,12.069,1
k=1,700,98,7.14286,32
k=2,700,98,7.14286,1568
greedy,700,97,7.21649,3
random,700,74,9.45946,0
