algorithm,coverage,cost_per_coverage,radius,time
greedy,100,7.4,12,4
random,96,15.625,12,0
bad_greedy,79,18.9873,12,2
k=1,100,7.2,12,41
k=2,100,7.2,12,2064
greedy,100,6.4,12,3
random,97,15.4639,12,0
bad_greedy,91,16.4835,12,1
k=1,100,6.2,12,37
k=2,100,6.2,12,1715
greedy,100,6.2,12,3
random,99,15.1515,12,0
bad_greedy,88,17.0455,12,2
k=1,100,6.2,12,30
k=2,100,6.2,12,1570
greedy,100,7,12,3
random,92,16.3043,12,0
bad_greedy,81,18.5185,12,1
k=1,100,6.8,12,33
k=2,100,6.8,12,1501
greedy,100,6.4,12,3
random,96,15.625,12,0
bad_greedy,89,16.8539,12,1
k=1,100,6.4,12,29
k=2,100,6.4,12,1411
greedy,100,6.8,12,3
random,93,16.129,12,0
bad_greedy,91,16.4835,12,1
k=1,100,6.8,12,31
k=2,100,6.8,12,1465
greedy,100,6.8,12,3
random,94,15.9574,12,0
bad_greedy,88,17.0455,12,1
k=1,100,6.6,12,31
k=2,100,6.6,12,1437
greedy,100,7.2,12,3
random,96,15.625,12,0
bad_greedy,82,18.2927,12,1
k=1,100,7,12,31
k=2,100,7,12,1545
greedy,100,6.4,12,3
random,98,15.3061,12,0
bad_greedy,88,17.0455,12,1
k=1,100,6.2,12,28
k=2,100,6,12,1560
greedy,100,6.6,12,4
random,97,15.4639,12,0
bad_greedy,81,18.5185,12,2
k=1,100,6.6,12,49
k=2,100,6.6,12,2142
greedy,90,16.6667,3,17
random,83,18.0723,3,0
bad_greedy,77,19.4805,3,1
k=1,90,16.6667,3,58
k=2,90,16.6667,3,2873
greedy,82,18.2927,3,3
random,77,19.4805,3,0
bad_greedy,77,19.4805,3,1
k=1,82,18.2927,3,61
k=2,82,18.2927,3,2991
greedy,85,17.6471,3,3
random,79,18.9873,3,0
bad_greedy,76,19.7368,3,1
k=1,85,17.6471,3,60
k=2,85,17.6471,3,2993
greedy,85,17.6471,3,3
random,78,19.2308,3,0
bad_greedy,79,18.9873,3,1
k=1,85,17.6471,3,60
k=2,85,17.6471,3,2919
greedy,90,16.6667,3,3
random,81,18.5185,3,0
bad_greedy,77,19.4805,3,1
k=1,90,16.6667,3,58
k=2,90,16.6667,3,2881
greedy,89,16.8539,3,3
random,81,18.5185,3,0
bad_greedy,77,19.4805,3,1
k=1,90,16.6667,3,59
k=2,90,16.6667,3,2874
greedy,85,17.6471,3,3
random,79,18.9873,3,0
bad_greedy,76,19.7368,3,1
k=1,85,17.6471,3,60
k=2,85,17.6471,3,2945
greedy,82,18.2927,3,3
random,76,19.7368,3,0
bad_greedy,75,20,3,1
k=1,82,18.2927,3,60
k=2,82,18.2927,3,2971
greedy,87,17.2414,3,3
random,80,18.75,3,0
bad_greedy,78,19.2308,3,1
k=1,87,17.2414,3,59
k=2,87,17.2414,3,2897
greedy,77,19.4805,3,3
random,76,19.7368,3,0
bad_greedy,75,20,3,1
k=1,77,19.4805,3,61
k=2,77,19.4805,3,3005
greedy,100,4.4,18,3
random,99,15.1515,18,0
bad_greedy,87,17.2414,18,1
k=1,100,4.2,18,23
k=2,100,4.2,18,995
greedy,100,5,18,3
random,100,15,18,0
bad_greedy,91,16.4835,18,1
k=1,100,4.8,18,23
k=2,100,4.8,18,1065
greedy,100,3.8,18,3
random,98,15.3061,18,0
bad_greedy,93,16.129,18,1
k=1,100,3.6,18,19
k=2,100,3.6,18,842
greedy,100,4.6,18,3
random,99,15.1515,18,0
bad_greedy,91,16.4835,18,1
k=1,100,4.4,18,21
k=2,100,4.2,18,990
greedy,100,3.4,18,3
random,98,15.3061,18,0
bad_greedy,88,17.0455,18,1
k=1,100,3.4,18,17
k=2,100,3.4,18,788
greedy,100,4,18,3
random,99,15.1515,18,0
bad_greedy,91,16.4835,18,1
k=1,100,3.8,18,36
k=2,100,3.8,18,867
greedy,100,4,18,3
random,99,15.1515,18,0
bad_greedy,94,15.9574,18,1
k=1,100,3.8,18,19
k=2,100,3.8,18,887
greedy,100,4,18,3
random,99,15.1515,18,0
bad_greedy,85,17.6471,18,1
k=1,100,3.8,18,19
k=2,100,3.6,18,878
greedy,100,3.8,18,3
random,100,15,18,0
bad_greedy,91,16.4835,18,1
k=1,100,3.6,18,18
k=2,100,3.6,18,865
greedy,100,4.4,18,3
random,98,15.3061,18,0
bad_greedy,87,17.2414,18,1
k=1,100,4.4,18,21
k=2,100,4.2,18,1081
greedy,90,16.6667,4,11
random,81,18.5185,4,0
bad_greedy,77,19.4805,4,1
k=1,90,16.6667,4,58
k=2,90,16.6667,4,2856
greedy,99,15.1515,4,3
random,84,17.8571,4,0
bad_greedy,81,18.5185,4,1
k=1,99,15.1515,4,55
k=2,99,15.1515,4,2718
greedy,90,16.6667,4,3
random,77,19.4805,4,0
bad_greedy,78,19.2308,4,1
k=1,90,16.6667,4,57
k=2,90,16.6667,4,2834
greedy,95,15.7895,4,3
random,86,17.4419,4,0
bad_greedy,80,18.75,4,1
k=1,95,15.7895,4,55
k=2,95,15.7895,4,2748
greedy,96,15.625,4,3
random,82,18.2927,4,0
bad_greedy,79,18.9873,4,1
k=1,96,15.625,4,57
k=2,96,15.625,4,2767
greedy,92,16.3043,4,3
random,83,18.0723,4,0
bad_greedy,78,19.2308,4,1
k=1,92,16.3043,4,58
k=2,92,16.3043,4,2830
greedy,91,16.4835,4,3
random,77,19.4805,4,0
bad_greedy,76,19.7368,4,1
k=1,91,16.4835,4,58
k=2,91,16.4835,4,2826
greedy,94,15.9574,4,3
random,79,18.9873,4,0
bad_greedy,76,19.7368,4,1
k=1,94,15.9574,4,56
k=2,94,15.9574,4,2778
greedy,89,16.8539,4,3
random,76,19.7368,4,0
bad_greedy,75,20,4,1
k=1,89,16.8539,4,68
k=2,89,16.8539,4,2882
greedy,93,16.129,4,3
random,82,18.2927,4,0
bad_greedy,76,19.7368,4,1
k=1,93,16.129,4,57
k=2,93,16.129,4,2826
greedy,100,4.4,18,7
random,98,15.3061,18,0
bad_greedy,90,16.6667,18,1
k=1,100,4.2,18,21
k=2,100,4,18,944
greedy,100,3.4,18,3
random,100,15,18,0
bad_greedy,95,15.7895,18,1
k=1,100,3.2,18,17
k=2,100,3.2,18,769
greedy,100,4.4,18,3
random,99,15.1515,18,0
bad_greedy,96,15.625,18,1
k=1,100,4.2,18,21
k=2,100,4.2,18,964
greedy,100,4.4,18,3
random,99,15.1515,18,0
bad_greedy,92,16.3043,18,1
k=1,100,4.2,18,20
k=2,100,4.2,18,987
greedy,100,4.2,18,3
random,98,15.3061,18,0
bad_greedy,96,15.625,18,1
k=1,100,4,18,21
k=2,100,3.8,18,1077
greedy,100,4.4,18,3
random,98,15.3061,18,0
bad_greedy,85,17.6471,18,1
k=1,100,4.4,18,23
k=2,100,4.4,18,990
greedy,100,3.6,18,4
random,99,15.1515,18,0
bad_greedy,87,17.2414,18,1
k=1,100,3.4,18,21
k=2,100,3.2,18,897
greedy,100,4,18,3
random,99,15.1515,18,0
bad_greedy,89,16.8539,18,1
k=1,100,3.8,18,21
k=2,100,3.8,18,1004
greedy,100,4,18,3
random,100,15,18,0
bad_greedy,88,17.0455,18,1
k=1,100,3.8,18,19
k=2,100,3.8,18,979
greedy,100,4.4,18,4
random,100,15,18,0
bad_greedy,92,16.3043,18,1
k=1,100,4.2,18,22
k=2,100,4.2,18,1033
greedy,100,6.2,13,3
random,95,15.7895,13,0
bad_greedy,82,18.2927,13,1
k=1,100,6,13,29
k=2,100,6,13,1370
greedy,100,5.8,13,3
random,96,15.625,13,0
bad_greedy,88,17.0455,13,1
k=1,100,5.8,13,26
k=2,100,5.8,13,1279
greedy,100,6,13,3
random,97,15.4639,13,0
bad_greedy,86,17.4419,13,1
k=1,100,5.6,13,26
k=2,100,5.6,13,1260
greedy,100,8.2,13,3
random,93,16.129,13,0
bad_greedy,85,17.6471,13,1
k=1,100,8,13,39
k=2,100,7.8,13,1676
greedy,100,6.4,13,3
random,97,15.4639,13,0
bad_greedy,87,17.2414,13,1
k=1,100,6.2,13,29
k=2,100,6.2,13,1370
greedy,100,6.8,13,3
random,97,15.4639,13,0
bad_greedy,85,17.6471,13,1
k=1,100,6.6,13,31
k=2,100,6.6,13,1462
greedy,100,6,13,3
random,97,15.4639,13,0
bad_greedy,83,18.0723,13,1
k=1,100,5.8,13,27
k=2,100,5.8,13,1290
greedy,100,5.4,13,3
random,97,15.4639,13,0
bad_greedy,82,18.2927,13,1
k=1,100,5.2,13,25
k=2,100,5.2,13,1192
greedy,100,5.4,13,3
random,99,15.1515,13,0
bad_greedy,89,16.8539,13,1
k=1,100,5.4,13,25
k=2,100,5.4,13,1178
greedy,100,6.6,13,3
random,96,15.625,13,0
bad_greedy,87,17.2414,13,1
k=1,100,6.6,13,29
k=2,100,6.6,13,1423
greedy,100,14.8,5,3
random,85,17.6471,5,0
bad_greedy,77,19.4805,5,1
k=1,100,14.8,5,55
k=2,100,14.8,5,2738
greedy,96,15.625,5,3
random,82,18.2927,5,0
bad_greedy,76,19.7368,5,1
k=1,96,15.625,5,55
k=2,96,15.625,5,2756
greedy,100,14,5,3
random,83,18.0723,5,0
bad_greedy,80,18.75,5,1
k=1,100,14,5,63
k=2,100,14,5,2608
greedy,100,14.8,5,3
random,84,17.8571,5,0
bad_greedy,78,19.2308,5,1
k=1,100,14.8,5,54
k=2,100,14.8,5,2647
greedy,100,14.8,5,3
random,84,17.8571,5,0
bad_greedy,76,19.7368,5,1
k=1,100,14.8,5,55
k=2,100,14.8,5,2693
greedy,100,13.6,5,3
random,86,17.4419,5,0
bad_greedy,80,18.75,5,1
k=1,100,13.6,5,52
k=2,100,13.6,5,2543
greedy,100,14.4,5,3
random,90,16.6667,5,0
bad_greedy,80,18.75,5,1
k=1,100,14.2,5,53
k=2,100,14.2,5,2561
greedy,100,13.8,5,3
random,88,17.0455,5,0
bad_greedy,81,18.5185,5,1
k=1,100,13.8,5,89
