algorithm,coverage,cost_per_coverage,radius,time
k=2,100,13.8,5,3051
greedy,100,14.8,5,3
random,87,17.2414,5,0
bad_greedy,78,19.2308,5,1
k=1,100,14.8,5,60
k=2,100,14.8,5,2910
greedy,99,15.1515,5,4
random,85,17.6471,5,0
bad_greedy,78,19.2308,5,1
k=1,99,15.1515,5,59
k=2,99,15.1515,5,2876
greedy,100,3.4,19,5
random,96,15.625,19,0
bad_greedy,88,17.0455,19,2
k=1,100,3.4,19,36
k=2,100,3.4,19,1730
greedy,100,3.6,19,4
random,100,15,19,0
bad_greedy,95,15.7895,19,2
k=1,100,3.4,19,29
k=2,100,3.4,19,1366
greedy,100,4.4,19,15
random,98,15.3061,19,0
bad_greedy,95,15.7895,19,2
k=1,100,4.2,19,33
k=2,100,4.2,19,1791
greedy,100,4.6,19,3
random,99,15.1515,19,0
bad_greedy,94,15.9574,19,2
k=1,100,4.6,19,31
k=2,100,4.4,19,1653
greedy,100,4,19,4
random,100,15,19,0
bad_greedy,94,15.9574,19,1
k=1,100,3.8,19,24
k=2,100,3.8,19,1167
greedy,100,4.2,19,3
random,97,15.4639,19,0
bad_greedy,92,16.3043,19,1
k=1,100,3.8,19,20
k=2,100,3.8,19,963
greedy,100,4.2,19,3
random,99,15.1515,19,0
bad_greedy,95,15.7895,19,2
k=1,100,3.8,19,20
k=2,100,3.8,19,938
greedy,100,4,19,3
random,100,15,19,0
bad_greedy,88,17.0455,19,1
k=1,100,3.8,19,19
k=2,100,3.8,19,884
greedy,100,4.6,19,3
random,99,15.1515,19,0
bad_greedy,94,15.9574,19,1
k=1,100,4.2,19,21
k=2,100,4,19,957
greedy,100,4.4,19,3
random,99,15.1515,19,0
bad_greedy,90,16.6667,19,1
k=1,100,4,19,20
k=2,100,4,19,943
greedy,100,5.4,14,4
random,97,15.4639,14,0
bad_greedy,89,16.8539,14,1
k=1,100,5.2,14,25
k=2,100,5.2,14,1297
greedy,100,5.6,14,3
random,97,15.4639,14,0
bad_greedy,93,16.129,14,1
k=1,100,5.4,14,27
k=2,100,5.2,14,1290
greedy,100,5.4,14,3
random,99,15.1515,14,0
bad_greedy,91,16.4835,14,1
k=1,100,5.2,14,27
k=2,100,5.2,14,1327
greedy,100,5.2,14,3
random,98,15.3061,14,0
bad_greedy,90,16.6667,14,1
k=1,100,5.2,14,30
k=2,100,5.2,14,1326
greedy,100,6.2,14,3
random,97,15.4639,14,0
bad_greedy,87,17.2414,14,1
k=1,100,6,14,38
k=2,100,6,14,1555
greedy,100,5.4,14,3
random,98,15.3061,14,0
bad_greedy,88,17.0455,14,1
k=1,100,5.2,14,24
k=2,100,5,14,1201
greedy,100,5.2,14,3
random,96,15.625,14,0
bad_greedy,87,17.2414,14,1
k=1,100,5,14,27
k=2,100,5,14,1254
greedy,100,6.2,14,3
random,96,15.625,14,0
bad_greedy,88,17.0455,14,1
k=1,100,6,14,31
k=2,100,6,14,1452
greedy,100,5.6,14,3
random,100,15,14,0
bad_greedy,87,17.2414,14,1
k=1,100,5.6,14,25
k=2,100,5.4,14,1218
greedy,100,5.2,14,3
random,100,15,14,0
bad_greedy,87,17.2414,14,1
k=1,100,5,14,24
k=2,100,4.8,14,1119
greedy,100,14,6,3
random,82,18.2927,6,0
bad_greedy,78,19.2308,6,1
k=1,100,14,6,53
k=2,100,14,6,2852
greedy,100,13.2,6,3
random,87,17.2414,6,0
bad_greedy,79,18.9873,6,1
k=1,100,13.2,6,60
k=2,100,13.2,6,3034
greedy,100,13.2,6,3
random,84,17.8571,6,0
bad_greedy,78,19.2308,6,1
k=1,100,13.2,6,52
k=2,100,13.2,6,2562
greedy,100,13.6,6,4
random,91,16.4835,6,0
bad_greedy,82,18.2927,6,1
k=1,100,13.6,6,63
k=2,100,13.6,6,2725
greedy,100,14,6,3
random,85,17.6471,6,0
bad_greedy,79,18.9873,6,1
k=1,100,14,6,53
k=2,100,14,6,2610
greedy,100,10.6,6,3
random,93,16.129,6,0
bad_greedy,80,18.75,6,1
k=1,100,10.6,6,177
k=2,100,10.6,6,7338
greedy,100,11.2,6,3
random,86,17.4419,6,0
bad_greedy,79,18.9873,6,1
k=1,100,11.2,6,47
k=2,100,11.2,6,2294
greedy,100,12.6,6,3
random,89,16.8539,6,0
bad_greedy,85,17.6471,6,1
k=1,100,12.6,6,50
k=2,100,12.6,6,2380
greedy,100,12.8,6,3
random,92,16.3043,6,0
bad_greedy,80,18.75,6,1
k=1,100,12.8,6,50
k=2,100,12.8,6,2465
greedy,100,12.2,6,3
random,89,16.8539,6,0
bad_greedy,81,18.5185,6,1
k=1,100,12.2,6,48
k=2,100,12.2,6,2313
greedy,100,11.8,7,5
random,90,16.6667,7,0
bad_greedy,79,18.9873,7,2
k=1,100,11.8,7,81
k=2,100,11.8,7,2885
greedy,100,9.2,7,3
random,92,16.3043,7,0
bad_greedy,83,18.0723,7,1
k=1,100,9.2,7,39
k=2,100,9.2,7,1885
greedy,100,12.2,7,3
random,88,17.0455,7,0
bad_greedy,78,19.2308,7,1
k=1,100,12.2,7,48
k=2,100,12.2,7,2364
greedy,100,11.8,7,3
random,88,17.0455,7,0
bad_greedy,79,18.9873,7,1
k=1,100,11.8,7,51
k=2,100,11.8,7,2524
greedy,100,12.2,7,3
random,88,17.0455,7,0
bad_greedy,83,18.0723,7,1
k=1,100,12.2,7,48
k=2,100,12.2,7,2340
greedy,100,10.8,7,3
random,93,16.129,7,0
bad_greedy,83,18.0723,7,2
k=1,100,10.8,7,45
k=2,100,10.8,7,2244
greedy,100,13.4,7,3
random,88,17.0455,7,0
bad_greedy,76,19.7368,7,1
k=1,100,13.4,7,51
k=2,100,13.4,7,2513
greedy,100,11.4,7,3
random,86,17.4419,7,0
bad_greedy,81,18.5185,7,1
k=1,100,11.4,7,46
k=2,100,11.4,7,2248
greedy,100,14,7,3
random,84,17.8571,7,0
bad_greedy,79,18.9873,7,1
k=1,100,14,7,53
k=2,100,14,7,2584
greedy,100,11.8,7,3
random,89,16.8539,7,0
bad_greedy,83,18.0723,7,1
k=1,100,11.8,7,46
k=2,100,11.8,7,2275
greedy,100,4.2,19,4
random,97,15.4639,19,0
bad_greedy,86,17.4419,19,1
k=1,100,4.2,19,20
k=2,100,4,19,998
greedy,100,3.6,19,3
random,99,15.1515,19,0
bad_greedy,91,16.4835,19,1
k=1,100,3.6,19,18
k=2,100,3.6,19,824
greedy,100,4.4,19,3
random,97,15.4639,19,0
bad_greedy,96,15.625,19,1
k=1,100,4.2,19,21
k=2,100,4,19,1000
greedy,100,3.4,19,3
random,99,15.1515,19,0
bad_greedy,88,17.0455,19,1
k=1,100,3.4,19,17
k=2,100,3.4,19,767
greedy,100,3.2,19,3
random,100,15,19,0
bad_greedy,92,16.3043,19,1
k=1,100,3,19,16
k=2,100,3,19,1525
greedy,100,4.2,19,3
random,99,15.1515,19,0
bad_greedy,89,16.8539,19,1
k=1,100,4.2,19,91
k=2,100,4.2,19,3315
greedy,100,3.4,19,3
random,98,15.3061,19,0
bad_greedy,92,16.3043,19,1
k=1,100,3.2,19,69
k=2,100,3.2,19,3057
greedy,100,3.8,19,3
random,99,15.1515,19,0
bad_greedy,90,16.6667,19,1
k=1,100,3.6,19,36
k=2,100,3.6,19,911
greedy,100,3.2,19,3
random,100,15,19,0
bad_greedy,92,16.3043,19,1
k=1,100,3.2,19,16
k=2,100,3,19,757
greedy,100,4.4,19,3
random,97,15.4639,19,0
bad_greedy,91,16.4835,19,1
k=1,100,3.8,19,20
k=2,100,3.8,19,928
greedy,100,9.2,8,7
random,90,16.6667,8,0
bad_greedy,85,17.6471,8,1
k=1,100,9.2,8,39
k=2,100,9.2,8,1890
greedy,100,10.8,8,3
random,89,16.8539,8,0
bad_greedy,84,17.8571,8,1
k=1,100,10.6,8,44
k=2,100,10.6,8,2141
greedy,100,10.4,8,4
random,94,15.9574,8,0
bad_greedy,83,18.0723,8,1
k=1,100,10.2,8,43
k=2,100,10.2,8,2096
greedy,100,10.4,8,4
random,98,15.3061,8,0
bad_greedy,85,17.6471,8,2
k=1,100,10.4,8,65
k=2,100,10.4,8,3105
greedy,100,9.4,8,5
random,94,15.9574,8,0
bad_greedy,85,17.6471,8,1
k=1,100,9.2,8,48
k=2,100,9.2,8,2160
greedy,100,11.2,8,3
random,90,16.6667,8,0
bad_greedy,83,18.0723,8,1
k=1,100,11.2,8,45
k=2,100,11.2,8,2203
greedy,100,11.8,8,3
random,86,17.4419,8,0
bad_greedy,79,18.9873,8,1
k=1,100,11.8,8,48
k=2,100,11.8,8,2281
greedy,100,11,8,4
random,88,17.0455,8,0
bad_greedy,80,18.75,8,1
k=1,100,11,8,44
k=2,100,11,8,2253
greedy,100,10.4,8,3
random,90,16.6667,8,0
bad_greedy,81,18.5185,8,1
k=1,100,10.4,8,42
k=2,100,10.4,8,2048
greedy,100,10.2,8,3
random,91,16.4835,8,0
bad_greedy,80,18.75,8,1
k=1,100,10.2,8,40
k=2,100,10.2,8,2032
greedy,100,7.4,11,5
random,93,16.129,11,0
bad_greedy,86,17.4419,11,2
k=1,100,7.4,11,59
k=2,100,7.4,11,2819
greedy,100,7.6,11,4
random,94,15.9574,11,0
bad_greedy,88,17.0455,11,2
k=1,100,7.6,11,56
k=2,100,7.6,11,2533
greedy,100,8,11,4
random,98,15.3061,11,0
bad_greedy,88,17.0455,11,2
k=1,100,8,11,57
k=2,100,8,11,2368
greedy,100,8.2,11,3
random,92,16.3043,11,0
bad_greedy,77,19.4805,11,1
k=1,100,8,11,43
k=2,100,8,11,2157
greedy,100,8.2,11,3
random,93,16.129,11,0
bad_greedy,88,17.0455,11,2
k=1,100,8,11,36
k=2,100,8,11,1732
greedy,100,7,11,3
random,96,15.625,11,0
bad_greedy,87,17.2414,11,1
k=1,100,7,11,32
k=2,100,7,11,1528
greedy,100,7.4,11,3
random,95,15.7895,11,0
bad_greedy,85,17.6471,11,1
k=1,100,7.2,11,33
k=2,100,7.2,11,1573
greedy,100,7.8,11,3
random,96,15.625,11,0
bad_greedy,77,19.4805,11,1
k=1,100,7.8,11,35
k=2,100,7.8,11,1642
greedy,100,8.2,11,3
random,94,15.9574,11,0
bad_greedy,90,16.6667,11,1
k=1,100,7.8,11,35
k=2,100,7.4,11,1687
greedy,100,7.2,11,3
random,96,15.625,11,0
bad_greedy,81,18.5185,11,1
k=1,100,7.2,11,32
k=2,100,7.2,11,1538
greedy,100,9.2,9,8
random,95,15.7895,9,0
bad_greedy,79,18.9873,9,1
k=1,100,9,9,39
k=2,100,9,9,1853
greedy,100,8.6,9,3
random,95,15.7895,9,0
bad_greedy,85,17.6471,9,1
k=1,100,8.4,9,38
k=2,100,8.4,9,1752
greedy,100,8.6,9,3
random,97,15.4639,9,0
bad_greedy,84,17.8571,9,1
k=1,100,8.6,9,37
k=2,100,8.6,9,1791
greedy,100,8.2,9,3
random,95,15.7895,9,0
bad_greedy,82,18.2927,9,1
k=1,100,8.2,9,36
k=2,100,8.2,9,1704
greedy,100,8.8,9,3
random,94,15.9574,9,0
bad_greedy,87,17.2414,9,1
k=1,100,8.8,9,37
k=2,100,8.8,9,1802
greedy,100,8.6,9,3
random,94,15.9574,9,0
bad_greedy,86,17.4419,9,1
k=1,100,8.4,9,36
k=2,100,8.4,9,1753
greedy,100,10.8,9,3
random,88,17.0455,9,0
bad_greedy,84,17.8571,9,1
k=1,100,10.8,9,43
k=2,100,10.8,9,2146
greedy,100,8.6,9,3
random,90,16.6667,9,0
bad_greedy,92,16.3043,9,1
k=1,100,8.6,9,40
k=2,100,8.6,9,1774
greedy,100,7.4,9,3
random,95,15.7895,9,0
bad_greedy,85,17.6471,9,1
k=1,100,7.4,9,33
k=2,100,7.4,9,1567
greedy,100,10.6,9,3
random,91,16.4835,9,0
bad_greedy,85,17.6471,9,1
k=1,100,10.6,9,42
k=2,100,10.6,9,2096
greedy,100,8.8,11,10
random,97,15.4639,11,0
bad_greedy,79,18.9873,11,1
k=1,100,8.8,11,37
k=2,100,8.8,11,1818
greedy,100,7,11,3
random,96,15.625,11,0
bad_greedy,82,18.2927,11,1
k=1,100,6.8,11,31
k=2,100,6.8,11,1466
greedy,100,6.6,11,3
random,97,15.4639,11,0
bad_greedy,80,18.75,11,1
k=1,100,6.6,11,30
k=2,100,6.6,11,1411
greedy,100,6.8,11,3
random,96,15.625,11,0
bad_greedy,87,17.2414,11,1
k=1,100,6.6,11,29
k=2,100,6.6,11,1431
greedy,100,8.6,11,3
random,95,15.7895,11,0
bad_greedy,86,17.4419,11,1
k=1,100,8.6,11,37
k=2,100,8.6,11,1720
greedy,100,7.6,11,3
random,95,15.7895,11,0
bad_greedy,82,18.2927,11,2
k=1,100,7.4,11,33
k=2,100,7.2,11,1574
greedy,100,7.8,11,3
random,95,15.7895,11,0
bad_greedy,84,17.8571,11,1
k=1,100,7.6,11,33
k=2,100,7.6,11,1596
greedy,100,8.2,11,3
random,95,15.7895,11,0
bad_greedy,82,18.2927,11,1
k=1,100,8,11,35
k=2,100,8,11,1672
greedy,100,7.8,11,3
random,94,15.9574,11,0
bad_greedy,88,17.0455,11,1
k=1,100,7.6,11,33
k=2,100,7.6,11,1653
greedy,100,8,11,3
random,98,15.3061,11,0
bad_greedy,87,17.2414,11,1
k=1,100,8,11,34
k=2,100,8,11,1660
greedy,100,4.8,17,8
random,98,15.3061,17,0
bad_greedy,90,16.6667,17,1
k=1,100,4.8,17,23
k=2,100,4.8,17,1067
greedy,100,4.2,17,3
random,99,15.1515,17,0
bad_greedy,90,16.6667,17,1
k=1,100,4,17,20
k=2,100,4,17,951
greedy,100,4.4,17,3
random,98,15.3061,17,0
bad_greedy,92,16.3043,17,1
k=1,100,4.4,17,21
k=2,100,4.4,17,996
greedy,100,4.2,17,3
random,100,15,17,0
bad_greedy,88,17.0455,17,1
k=1,100,4.2,17,20
k=2,100,4.2,17,951
greedy,100,4.4,17,3
random,97,15.4639,17,0
bad_greedy,91,16.4835,17,1
k=1,100,4,17,21
k=2,100,4,17,957
greedy,100,4.4,17,3
random,97,15.4639,17,0
bad_greedy,93,16.129,17,1
k=1,100,4.4,17,21
k=2,100,4.2,17,973
greedy,100,3.8,17,3
random,98,15.3061,17,0
bad_greedy,88,17.0455,17,1
k=1,100,3.8,17,19
k=2,100,3.6,17,852
greedy,100,4.4,17,3
random,99,15.1515,17,0
bad_greedy,81,18.5185,17,1
k=1,100,4.2,17,22
k=2,100,4.2,17,1006
greedy,100,4,17,3
random,100,15,17,0
bad_greedy,94,15.9574,17,1
k=1,100,4,17,20
k=2,100,4,17,895
greedy,100,5.2,17,3
random,100,15,17,0
bad_greedy,91,16.4835,17,1
k=1,100,5.2,17,25
k=2,100,5.2,17,1157
greedy,100,7.4,12,8
random,95,15.7895,12,0
bad_greedy,82,18.2927,12,1
k=1,100,7.4,12,32
k=2,100,7.4,12,1582
greedy,100,6.6,12,3
random,96,15.625,12,0
bad_greedy,85,17.6471,12,1
k=1,100,6.6,12,29
k=2,100,6.6,12,1416
greedy,100,6,12,3
random,98,15.3061,12,0
bad_greedy,80,18.75,12,1
k=1,100,5.8,12,28
k=2,100,5.8,12,1300
greedy,100,7.4,12,3
random,95,15.7895,12,0
bad_greedy,86,17.4419,12,1
k=1,100,7.4,12,32
k=2,100,7.4,12,1540
greedy,100,7.4,12,3
random,94,15.9574,12,0
bad_greedy,85,17.6471,12,1
k=1,100,7.4,12,32
k=2,100,7.4,12,1581
greedy,100,6.6,12,3
random,97,15.4639,12,0
bad_greedy,91,16.4835,12,1
k=1,100,6.6,12,29
k=2,100,6.6,12,1400
greedy,100,6.4,12,3
random,94,15.9574,12,0
bad_greedy,90,16.6667,12,1
k=1,100,6.2,12,28
k=2,100,6.2,12,1365
greedy,100,6.2,12,3
random,98,15.3061,12,0
bad_greedy,83,18.0723,12,1
k=1,100,5.8,12,28
k=2,100,5.8,12,1333
greedy,100,7.4,12,3
random,97,15.4639,12,0
bad_greedy,85,17.6471,12,1
k=1,100,7.2,12,32
k=2,100,7.2,12,1537
greedy,100,6.2,12,3
random,99,15.1515,12,0
bad_greedy,84,17.8571,12,1
k=1,100,6.2,12,29
k=2,100,6.2,12,1356
greedy,100,4.2,18,4
random,97,15.4639,18,0
bad_greedy,86,17.4419,18,2
k=1,100,4,18,34
k=2,100,4,18,1651
greedy,100,4.4,18,5
random,99,15.1515,18,0
bad_greedy,89,16.8539,18,2
k=1,100,4.2,18,36
k=2,100,4.2,18,1644
greedy,100,4.6,18,6
random,97,15.4639,18,0
bad_greedy,96,15.625,18,3
k=1,100,4.4,18,37
k=2,100,4.4,18,1720
greedy,100,4.4,18,4
random,97,15.4639,18,0
bad_greedy,89,16.8539,18,2
k=1,100,4,18,29
k=2,100,3.8,18,1510
greedy,100,3.6,18,3
random,100,15,18,0
bad_greedy,89,16.8539,18,1
k=1,100,3.4,18,20
k=2,100,3.4,18,1045
greedy,100,4.2,18,3
random,100,15,18,0
bad_greedy,95,15.7895,18,2
k=1,100,4,18,23
k=2,100,4,18,1142
greedy,100,5.4,18,3
random,100,15,18,0
bad_greedy,89,16.8539,18,1
k=1,100,5.2,18,25
k=2,100,5.2,18,1236
greedy,100,4.8,18,3
random,97,15.4639,18,0
bad_greedy,89,16.8539,18,2
k=1,100,4.4,18,21
k=2,100,4.4,18,1024
greedy,100,4.4,18,3
random,97,15.4639,18,0
bad_greedy,91,16.4835,18,1
k=1,100,4.4,18,21
k=2,100,4.4,18,972
greedy,100,4.4,18,3
random,99,15.1515,18,0
bad_greedy,83,18.0723,18,1
k=1,100,4.4,18,23
k=2,100,4.4,18,996
greedy,100,6,13,3
random,96,15.625,13,0
bad_greedy,80,18.75,13,1
k=1,100,5.8,13,28
k=2,100,5.8,13,1320
greedy,100,6.2,13,3
random,98,15.3061,13,0
bad_greedy,85,17.6471,13,1
k=1,100,6,13,28
