algorithm,budget,coverage,cost_per_coverage,time
k=2,1700,70,24.2571,2259
greedy,1700,65,26.0308,3
random,1700,34,48.4706,0
bad_greedy,1700,36,45.3056,1
k=1,1700,65,25.8154,50
k=2,1700,65,25.8154,2479
greedy,1700,57,29.1579,4
random,1700,23,72.1304,0
bad_greedy,1700,38,43.5263,1
k=1,1700,57,29.0526,60
k=2,1700,57,29.0526,2618
greedy,1700,69,24.6377,3
random,1700,33,51.4848,0
bad_greedy,1700,39,42.7949,1
k=1,1700,69,24.6377,47
k=2,1700,69,24.6377,2341
greedy,1700,65,25.6154,4
random,1700,34,49.7647,0
bad_greedy,1700,35,47.5143,1
k=1,1700,65,25.4462,54
k=2,1700,65,25.4462,2494
greedy,1700,59,28.8136,3
random,1700,29,57.4138,0
bad_greedy,1700,38,42.9737,1
k=1,1700,59,28.1356,51
k=2,1700,59,28.1356,2978
greedy,1700,74,22.1351,3
random,1700,38,44.5526,0
bad_greedy,1700,51,32.1373,1
k=1,1700,74,22.1351,43
k=2,1700,74,22.1351,2087
greedy,1700,57,29.2456,3
random,1700,39,42.8974,0
bad_greedy,1700,40,41.15,1
k=1,1700,58,28.8448,53
k=2,1700,58,28.8448,2642
greedy,1700,65,25.9538,3
random,1700,37,45.5676,0
bad_greedy,1700,45,36.3111,1
k=1,1700,66,25.1515,52
k=2,1700,66,25.1515,2348
greedy,1700,71,23.0986,3
random,1700,37,44.5676,0
bad_greedy,1700,42,39.7143,1
k=1,1700,71,23.0986,56
k=2,1700,71,23.0986,2175
greedy,500,37,13,3
random,500,18,27.7778,0
bad_greedy,500,30,15.5,1
k=1,500,37,13,58
k=2,500,37,13,2893
greedy,500,35,12.8286,3
random,500,16,29.5,0
bad_greedy,500,22,20.0909,1
k=1,500,35,12.8286,60
k=2,500,35,12.8286,2899
greedy,500,34,13.3235,3
random,500,11,40.9091,0
bad_greedy,500,27,18.2593,1
k=1,500,35,13.5143,61
k=2,500,35,13.5143,2957
greedy,500,35,13.3429,3
random,500,19,25.7368,0
bad_greedy,500,26,18.2692,1
k=1,500,35,13.2286,58
k=2,500,35,13.2286,2837
greedy,500,34,13.7941,3
random,500,14,32.3571,0
bad_greedy,500,20,23.05,1
k=1,500,35,13.4857,60
k=2,500,35,13.4857,2990
greedy,500,42,11.7381,3
random,500,11,44.1818,0
bad_greedy,500,26,18.1538,1
k=1,500,42,11.7143,60
k=2,500,42,11.7143,2871
greedy,500,35,14.1429,3
random,500,10,48.3,0
bad_greedy,500,31,14.4194,1
k=1,500,35,14.1429,63
k=2,500,35,14.1429,3010
greedy,500,36,13.75,3
random,500,13,35.5385,0
bad_greedy,500,19,24.8947,1
k=1,500,36,13.75,62
k=2,500,36,13.75,3211
greedy,500,39,12.5128,4
random,500,20,24.5,0
bad_greedy,500,35,13.7143,1
k=1,500,39,12.5128,70
k=2,500,39,12.5128,2943
greedy,500,43,11.5814,3
random,500,16,29.5,0
bad_greedy,500,31,14.5484,1
k=1,500,43,11.3256,57
k=2,500,43,11.3256,2919
greedy,800,42,18.8571,3
