budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,4.48,22.3317661,1.06,7.95,7.843348000000004,3.27,8.27,8.273718100000002,67.49,8.28,8.278627200000003,3263.09,3.39,31.945323400000007,0.0
200.0,10.49,16.5677201,1.08,18.25,9.467888200000003,3.29,18.77,9.618893000000002,66.8,18.8,9.648350900000002,3245.64,6.58,41.160386000000024,0.0
300.0,14.36,19.682481999999997,1.07,24.57,11.519154799999997,3.21,25.01,11.5485445,63.85,25.07,11.564448100000002,3127.72,8.97,42.299161999999995,0.0
400.0,19.14,20.487925999999995,1.1,30.39,12.6528627,3.14,30.82,12.654149199999997,63.19,30.84,12.658848199999998,3110.64,10.88,40.181515999999995,0.0
500.0,23.29,21.30235100000001,1.03,35.89,13.372914000000003,3.08,36.28,13.391562999999994,61.98,36.34,13.402707999999995,2996.83,13.17,42.835697,0.0
600.0,24.55,24.003655999999996,1.09,38.72,15.074141000000004,3.14,39.12,15.007299,61.82,39.17,15.010411000000001,3042.49,15.19,44.057854999999975,0.0
700.0,27.43,25.00649899999999,1.06,42.49,16.066667000000002,3.19,42.95,15.988307000000004,60.64,43.0,15.982986000000007,2981.67,16.79,45.382013,0.0
800.0,29.55,26.744076999999994,1.01,46.56,16.881192000000002,3.09,46.97,16.797779,58.57,46.99,16.778503000000004,2851.58,20.35,42.283878999999985,0.0
900.0,30.71,28.932565999999998,1.04,49.25,17.975184000000006,3.16,49.59,17.896216000000003,58.89,49.64,17.900982000000003,2879.1,21.44,43.61005299999998,0.0
1000.0,32.83,29.940147000000003,1.12,52.3,18.778074,3.23,52.75,18.681732,58.39,52.86,18.67942500000001,2893.75,23.57,44.979575999999994,0.0
1100.0,34.24,31.897179,1.06,54.81,19.768629999999995,3.14,55.21,19.659363000000003,55.28,55.26,19.648143,2697.79,25.86,43.57988300000004,0.0
1200.0,35.53,33.33087599999999,1.09,56.52,20.933055000000003,3.17,56.99,20.802684999999997,55.99,57.14,20.803427000000003,2711.16,26.56,46.75347300000003,0.0
1300.0,37.03,34.68044200000001,1.03,59.58,21.489129000000002,3.16,59.98,21.350384,52.92,60.03,21.335683999999997,2582.7,29.12,45.551595999999996,0.0
1400.0,37.66,36.510611000000004,1.02,61.69,22.420768,3.08,62.0,22.24144500000001,52.23,62.07,22.233471000000005,2542.29,31.1,46.09322,0.0
1500.0,37.93,38.958383000000005,1.13,63.33,23.397752999999998,3.15,63.69,23.249740999999993,53.56,63.73,23.23999,2600.06,32.81,46.95862799999998,0.0
1600.0,41.24,38.274058,1.06,65.77,24.011588999999987,3.11,66.14,23.866451,52.31,66.21,23.854594999999996,2542.9,35.6,45.974054,0.0
1700.0,41.42,40.306793,1.07,66.48,25.265839,3.08,66.83,25.143736999999984,50.57,66.9,25.11844999999999,2450.03,35.04,48.926645,0.0
1800.0,44.08,40.05412500000001,1.05,67.85,26.15988200000001,3.08,68.23,26.005834000000004,50.14,68.29,25.984065,2422.81,36.52,50.050551999999996,0.0
1900.0,45.39,41.194756,1.08,70.12,26.706998999999996,3.17,70.51,26.594102000000007,50.54,70.6,26.541485999999995,2452.82,38.45,50.96063800000002,0.0
2000.0,48.05,41.244485000000026,1.09,71.92,27.45093599999999,3.11,72.23,27.305146,49.47,72.31,27.289208,2410.72,39.87,51.08771499999999,0.0
2100.0,50.17,41.26618500000001,1.02,74.15,27.903161,3.11,74.42,27.774798999999987,46.7,74.47,27.76608599999999,2283.1,42.34,50.461895000000005,0.0
2200.0,51.82,41.897416,1.09,74.48,29.049369000000006,3.08,74.83,28.941312999999994,49.31,74.9,28.934879999999993,2387.33,43.55,51.229404999999986,0.0
2300.0,52.2,43.44185000000002,1.09,76.05,29.761144000000005,3.11,76.3,29.626371000000002,47.98,76.36,29.625514000000006,2331.15,44.93,52.069423,0.0
2400.0,53.96,43.911413,1.09,77.49,30.390149000000005,3.13,77.74,30.26558,47.6,77.8,30.250244,2298.06,46.32,52.30958500000001,0.0
2500.0,54.56,45.30491900000003,1.05,78.3,31.383728,3.11,78.57,31.27007399999999,46.22,78.62,31.23429699999999,2257.2,46.64,53.940796999999996,0.0
2600.0,56.2,45.49698599999998,1.09,79.41,32.207302999999996,3.04,79.66,32.09370199999999,45.09,79.7,32.06157399999999,2180.98,47.77,54.80963300000001,0.0
2700.0,56.49,47.08501000000001,1.02,80.0,33.184098000000006,3.11,80.24,33.08124500000001,44.13,80.28,33.068478,2141.42,49.17,55.599626999999984,0.0
2800.0,57.58,47.975929000000015,1.07,80.69,34.108520999999996,3.04,80.93,34.007281000000006,44.29,80.97,33.987598000000006,2154.91,50.68,55.58130599999997,0.0
2900.0,58.35,49.211506000000014,1.05,82.15,34.716030999999994,3.06,82.44,34.628847,43.43,82.49,34.579426999999995,2105.13,52.21,55.92475800000001,0.0
