algorithm,budget,coverage,cost_per_coverage,time
greedy,1400,100,1.17,3
random,1400,100,4.55,0
bad_greedy,1400,100,4.55,1
k=1,1400,100,1.14,28
k=2,1400,100,1.12,1399
greedy,1400,100,1.17,3
random,1400,100,4.69,0
bad_greedy,1400,100,4.69,1
k=1,1400,100,1.1,32
k=2,1400,100,1.07,1466
greedy,1400,100,0.94,3
random,1400,100,4.51,0
bad_greedy,1400,100,4.51,1
k=1,1400,100,0.93,29
k=2,1400,100,0.92,1494
greedy,1400,100,1.26,3
random,1400,100,4.75,0
bad_greedy,1400,100,4.75,1
k=1,1400,100,1.23,33
k=2,1400,100,1.2,1630
greedy,1400,100,1.06,3
random,1400,100,4.84,0
bad_greedy,1400,100,4.84,1
k=1,1400,100,1.03,30
k=2,1400,100,1.01,1450
greedy,1400,100,1.03,3
random,1400,100,4.42,0
bad_greedy,1400,100,4.42,1
k=1,1400,100,0.98,31
k=2,1400,100,0.98,1508
greedy,1400,100,1.48,3
random,1400,100,4.59,0
bad_greedy,1400,100,4.59,1
k=1,1400,100,1.42,35
k=2,1400,100,1.4,1655
greedy,1400,100,1.1,3
random,1400,100,4.19,0
bad_greedy,1400,100,4.19,1
k=1,1400,100,1.05,33
k=2,1400,100,1.02,1601
greedy,1400,100,0.99,3
random,1400,100,4.47,0
bad_greedy,1400,100,4.47,1
k=1,1400,100,0.98,31
k=2,1400,100,0.96,1490
greedy,1400,100,1.13,3
random,1400,100,4.51,0
bad_greedy,1400,100,4.51,1
k=1,1400,100,1.1,32
k=2,1400,100,1.07,1506
greedy,2100,100,1.1,3
random,2100,100,4.32,0
bad_greedy,2100,100,4.32,1
k=1,2100,100,1.03,32
k=2,2100,100,1,1495
greedy,2100,100,0.95,4
random,2100,100,4.45,0
bad_greedy,2100,100,4.45,1
k=1,2100,100,0.95,28
k=2,2100,100,0.92,1368
greedy,2100,100,1.02,3
random,2100,100,4.62,0
bad_greedy,2100,100,4.62,1
k=1,2100,100,0.98,33
k=2,2100,100,0.96,1487
greedy,2100,100,1.15,3
random,2100,100,4.78,0
bad_greedy,2100,100,4.78,1
k=1,2100,100,1.15,31
k=2,2100,100,1.11,1485
greedy,2100,100,1.16,3
random,2100,100,4.54,0
bad_greedy,2100,100,4.54,1
k=1,2100,100,1.03,31
k=2,2100,100,0.95,1473
greedy,2100,100,1.18,3
random,2100,100,4.8,0
bad_greedy,2100,100,4.8,1
k=1,2100,100,1.18,30
k=2,2100,100,1.15,1452
greedy,2100,100,1.29,3
random,2100,100,4.51,0
bad_greedy,2100,100,4.51,1
k=1,2100,100,1.26,34
k=2,2100,100,1.24,1553
greedy,2100,100,1.16,3
random,2100,100,4.59,0
bad_greedy,2100,100,4.59,1
k=1,2100,100,1.12,32
k=2,2100,100,1.1,1577
greedy,2100,100,1.06,3
random,2100,100,4.38,0
bad_greedy,2100,100,4.38,1
k=1,2100,100,1.04,31
k=2,2100,100,1.03,1481
